When ^wrb+who+++=When
Colonel ^npt++++=Colonel
Anstruther ^np+nom++??+=Anstruther
inherited ^vbd+++xvbn+=inherited
Westfield ^np+++??+=Westfield
Hall ^nn++++=Hall
from ^in++++=from
his ^pp$+pp3+++=his
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
generally ^rb+down+splt++=generally
agreed ^vpsv++agls+xvbnx+=agreed
that ^tht+vcmp+++=that
the ^ati++++=the
estate ^npl++++=estate
required ^vbd+++xvbn+=required
a ^at++++=a
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phrase ^nn++++=phrase,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
means ^vbz+vprv+++=means
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
things ^nns++++=things
and ^cc++++=and
commonly ^rb++++=commonly
costs ^vbz++++=costs
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
money ^nn++++=money,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
repeated ^vpsv++agls+xvbnx+=repeated
with ^in++++=with
particular ^jj+atrb+++=particular
confidence ^nn+nom+++=confidence
by ^in++++=by
the ^ati++++=the
Colonel ^np++++=Colonel's
's ^$++++=EXTRAWORD
neighbours ^nns++++=neighbours.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Anstruther ^np+nom+++=Anstruther
justified ^vwbn+++xvbn+=justified
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Within ^in++++=Within
eighteen ^cd++++=eighteen
months ^nns++++=months
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
altered ^vprf+++xvbnx+=altered
the ^ati++++=the
morning ^nn++++=morning-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
reopened ^xvbn+++xvbn+=reopened
a ^at++++=a
disused ^jj+atrb++xvbn+=disused
drive ^nn++++=drive,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
two ^cd++++=two
cedar ^nn++++=cedar
trees ^nns++++=trees
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
darkened ^vprf+++xvbnx+=darkened
the ^ati++++=the
south ^np+pl+++=south
windows ^nns++++=windows
since ^in++++=since
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
George ^np++++=George
Iii ^np+++??+=III,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
caused ^vbd+++xvbn+=caused
hot ^jj+atrb+++=hot
water ^nn++++=water
to ^to++++=to
be ^vbi+vbi+aux++=be
carried ^vpsv++agls+xvbnx+=carried
to ^in++++=to
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
housekeeper ^nn+nom+++=housekeeper,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
expected ^vpsv++agls+xvbnx+=expected
to ^to+vcmp+++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Colonel ^npt++++=Colonel
offered ^vbd+++xvbn+=offered
no ^at++++=no
serious ^jj+atrb+++=serious
opposition ^nn+nom+++=opposition.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hunted ^vbd+++xvbnx+=hunted
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
hunting ^vbg+++xvbgx+=hunting,
, ^zz++++=EXTRAWORD
played ^jj+atrb++xvbn+=played
golf ^nn++++=golf
when ^wrb+who+++=when
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
the ^ati++++=the
useful ^jj+atrb+++=useful
domestic ^jj+atrb+++=domestic
art ^nn++++=art
of ^in++++=of
saying ^xvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
dear ^nn++++=dear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
without ^in++++=without
necessarily ^rb++++=necessarily
committing ^vbg+++xvbg+=committing
himself ^ppl+pp3+++=himself
to ^in++++=to
an ^at++++=an
opinion ^nn++++=opinion.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
attention ^nn+nom+++=attention
next ^ap++++=next
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
a ^at++++=a
piece ^nn++++=piece
of ^in++++=of
ground ^nn++++=ground
beyond ^in++++=beyond
the ^ati++++=the
kitchen ^nn++++=kitchen
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
churchyard ^nn++++=churchyard
wall ^nn++++=wall
and ^cc++++=and
a ^at++++=a
belt ^nn++++=belt
of ^in++++=of
evergreen ^jj+atrb+++=evergreen
