I ^pp1a+pp1+++=I
Eeldrop ^np+++??+=Eeldrop
and ^cc++++=and
Appleplex ^np+++??+=Appleplex
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
two ^cd++++=two
rooms ^nns++++=rooms
above ^in+pl+++=above
a ^at++++=a
laundress ^nns+nom+++=laundress
in ^in++++=in
a ^at++++=a
street ^nn++++=street
which ^whp+rel+obj++=which
no ^at++++=no
guide ^nn++++=guide
to ^in++++=to
London ^np++++=London
mentioned ^vbd+vpub++xvbn+=mentioned
and ^cc++++=and
no ^at++++=no
cabman ^nn++++=cabman
admitted ^vwbn+vpub++xvbn+=admitted
knowing ^vbg+vprv++xvbg+=knowing
until ^cs+sub+++=until
the ^ati++++=the
fare ^nn++++=fare
was ^vbd+bedz+aux++=was
doubled ^vpsv++agls+xvbnx+=doubled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
street ^npl++++=street
maintained ^vbd+vpub++xvbn+=maintained,
, ^zz++++=EXTRAWORD
by ^in++++=by
daylight ^nn++++=daylight,
, ^zz++++=EXTRAWORD
a ^at++++=a
defeated ^jj+atrb++xvbn+=defeated
respectability ^nn+nom+++=respectability.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
houses ^nns++++=houses
had ^vbd+hvd+aux++=had
fanlights ^vbz+++??+=fanlights,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron
knockers ^nns+nom+++=knockers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
narrow ^jj+atrb+++=narrow
areas ^nns++++=areas
in ^in++++=in
which ^whp+rel+pied++=which
geraniums ^nns++++=geraniums
survived ^vwbn+++xvbn+=survived
by ^in++++=by
taking ^xvbg+++xvbg+=taking
nourishment ^nn+nom+++=nourishment
from ^in++++=from
soot ^nn++++=soot.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
the ^ati++++=the
blinds ^nns++++=blinds
disclosed ^vbd+vpub++xvbn+=disclosed
complicated ^vbd+++xvbn+=complicated
domesticities ^nns+nom+++=domesticities:
: ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
ironing ^nn++++=ironing
beneath ^in+pl+++=beneath
a ^at++++=a
green ^nn++++=green
shade ^nn++++=shade;
; ^zz++++=EXTRAWORD
a ^at++++=a
clerk ^nn++++=clerk
removing ^vwbg+++xvbg+=removing
his ^pp$+pp3+++=his
collar ^nn++++=collar
with ^in++++=with
the ^ati++++=the
solemnity ^nn+nom+++=solemnity
of ^in++++=of
a ^at++++=a
priest ^nn++++=priest;
; ^zz++++=EXTRAWORD
a ^at++++=a
child ^nn++++=child
smearing ^vwbg+++xvbg+=smearing
treacle ^nn++++=treacle
upon ^in++++=upon
a ^at++++=a
newspaper ^nn+nom+++=newspaper;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
a ^at++++=a
hand ^nn++++=hand
which ^whp+rel+subj++=which
extinguished ^vbd+++xvbn+=extinguished
the ^ati++++=the
lamp ^nn++++=lamp
immediately ^rb+tm+++=immediately
upon ^in++++=upon
being ^nn+nn+aux++=being
observed ^vbd+vprv++xvbn+=observed.
. ^zz++++=EXTRAWORD
Opposite ^in++++=Opposite
stood ^vbd+++xvbn+=stood
a ^at++++=a
police ^nns++++=police
station ^nn+nom+++=station.
. ^zz++++=EXTRAWORD
The ^ati++++=The
laundress ^nns+nom+++=laundress
believed ^vbd+vprv++xvbn+=believed
that ^tht+vcmp+++=that
Eeldrop ^np+++??+=Eeldrop
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
publishing ^xvbg+++xvbg+=publishing
and ^cc++++=and
that ^tht+vcmp+++=that
Appleplex ^np+++??+=Appleplex
was ^vbd+bedz+aux++=was
connected ^vpsv++agls+xvbnx+=connected
with ^in++++=with
the ^ati++++=the
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
therefore ^rb+cnj+++=therefore
mistrusted ^vbd+++xvbn+=mistrusted
the ^ati++++=the
former ^ap++++=former
and ^cc++++=and
respected ^vbd+++xvbn+=respected
the ^ati++++=the
latter ^ap++++=latter.
. ^zz++++=EXTRAWORD
In ^in++++=In
reality ^nn+nom+++=reality,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
occupation ^nn+nom+++=occupation
described ^vbd+++xvbn+=described
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
each ^dt++++=each
description ^nn+nom+++=description
afforded ^vbd+++xvbn+=afforded
a ^at++++=a
certain ^jj+atrb+++=certain
protection ^nn+nom+++=protection.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
rooms ^nns++++=rooms
contained ^vbd+++xvbn+=contained
a ^at++++=a
camp ^nn++++=camp
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
two ^cd++++=two
cane ^nn++++=cane
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
cracked ^jj+atrb++xvbn+=cracked
washstand ^nn+++??+=washstand,
, ^zz++++=EXTRAWORD
a ^at++++=a
spirit ^nn++++=spirit
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
three ^cd++++=three
volumes ^nns++++=volumes
of ^in++++=of
speculative ^jj+atrb+++=speculative
philosophy ^nn++++=philosophy,
, ^zz++++=EXTRAWORD
a ^at++++=a
tin ^nn++++=tin
of ^in++++=of
oatmeal ^nn++++=oatmeal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
field ^nn++++=field-glasses.
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Appleplex ^np+++??+=Appleplex
also ^rb++++=also
kept ^vbd+++xvbn+=kept
twelve ^cd++++=twelve
black ^jj+atrb+++=black
notebooks ^nns++++=notebooks,
, ^zz++++=EXTRAWORD
labelled ^xvbn+++xvbn+=labelled
in ^in++++=in
his ^pp$+pp3+++=his
small ^jj+atrb+++=small
upright ^jj+atrb+++=upright
hand ^nn++++=hand:
: ^zz++++=EXTRAWORD
Occupations ^nns+nom+++=OCCUPATIONS,
, ^zz++++=EXTRAWORD
Faces ^nns++++=FACES,
, ^zz++++=EXTRAWORD
Metaphysical ^jj+atrb+++=METAPHYSICAL
Pretensions ^nns++++=PRETENSIONS,
, ^zz++++=EXTRAWORD
Habits ^nns++++=HABITS
Of ^in++++=OF
Eating ^xvbg+++xvbg+=EATING,
, ^zz++++=EXTRAWORD
Unclassified ^np+++??+=UNCLASSIFIED,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
forth ^rb"++++=forth.
. ^zz++++=EXTRAWORD
Eeldrop ^np+++??+=Eeldrop
objected ^vbd+vpub++xvbn+=objected
to ^in++++=to
the ^ati++++=the
labels ^nns++++=labels
and ^cc++++=and
