There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
six ^cd++++=six
positions ^nns+nom+++=positions
advertised ^vbd+++xvbn+=advertised
that ^dt+dem+++=that
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
three ^cd++++=three
o'clock ^rb++++=o'clock
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman
had ^vbd+hvd+aux++=had
applied ^vprf+++xvbnx+=applied
for ^in++++=for
all ^rb++++=all
of ^in++++=of
them ^pp3o+pp3+++=them
and ^cc++++=and
received ^vbd+++xvbn+=received,
, ^zz++++=EXTRAWORD
in ^in++++=in
one ^cd1++++=one
form ^nn++++=form
or ^cc++++=or
another ^dt++++=another,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
first ^od++++=first
place ^nn++++=place
the ^ati++++=the
manager ^nn++++=manager
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
she ^pp3a+pp3+++=she
lacked ^vbd+++xvbnx+=lacked
experience ^nn+nom+++=experience;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
too ^ql++++=too
much ^ap++++=much
education ^nn+nom+++=education
for ^in++++=for
the ^ati++++=the
work ^nn++++=work;
; ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
third ^nn++++=third,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
girl ^nn++++=girl
with ^in++++=with
relatives ^nns++++=relatives
in ^in++++=in
Chicago ^np++++=Chicago
would ^md+prd+++=would
be ^vb+be+aux++=be
preferred ^vpsv++agls+xvbnx+=preferred.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
offices ^nns++++=offices
had ^vb+hv+aux++=had
already ^rb++splt++=already
filled ^vprf+++xvbnx+=filled
their ^pp$+pp3+++=their
vacancies ^nns++++=vacancies,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
notices ^nns++++=notices
were ^vbd+bed+vrb++=were
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
sixth ^od++++=sixth
a ^at++++=a
tired ^jj+atrb++xvbn+=tired
clerk ^nn++++=clerk
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
carefully ^rb++++=carefully
brushed ^jj+atrb++xvbn+=brushed
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Colorado ^np++++=Colorado
address ^nns+nom+++=address
on ^in++++=on
her ^pp$+pp3+++=her
letter ^nn++++=letter
of ^in++++=of
reference ^nn+nom+++=reference,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
wanted ^vbd+++xvbnx+=wanted
someone ^pn++++=someone
who ^whp+who+++=who
understood ^vbd+vprv++xvbn+=understood
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
building ^jj+++xvbg+=building
with ^in++++=with
eleven ^cd++++=eleven
dollars ^nns++++=dollars
in ^in++++=in
her ^pp$+pp3+++=her
purse ^nn++++=purse
two ^cd++++=two
five ^cd++++=five-dollar
- ^zz++++=EXTRAWORD
dollar ^nn++++=EXTRAWORD
bills ^nns++++=bills
and ^cc++++=and
one ^cd1++++=one
silver ^nn++++=silver
dollar ^nn++++=dollar
and ^cc++++=and
no ^at++++=no
understanding ^jj+++xvbg+=understanding
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
Chicago ^np++++=Chicago
moved ^vbd+++xvbn+=moved
about ^rb+phrv+++=about
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
dreadful ^jj+atrb+++=dreadful
assurance ^nn+nom+++=assurance
of ^in++++=of
something ^pn++++=something
that ^dt+pdem+++=that
could ^md+pos+++=could
not ^xnot++not++=not
stop ^vb++++=stop
to ^to++++=to
ask ^vbi++++=ask
whether ^cs+who+++=whether
one ^cd1++++=one
small ^jj+atrb+++=small
human ^jj+atrb+++=human
being ^nvbg+++xvbg+=being
was ^vbd+bedz+aux++=was
keeping ^vbg+++xvbgx+=keeping
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
Elevated ^jj+atrb++xvbn+=Elevated
trains ^nns++++=trains
roared ^vbd+++xvbn+=roared
overhead ^jjb++++=overhead;
; ^zz++++=EXTRAWORD
streetcars ^vbz+++??+=streetcars
clanged ^vbd+++xvbn+=clanged;
; ^zz++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women
hurried ^vwbn+++xvbn+=hurried
by ^in++++=by
with ^in++++=with
their ^pp$+pp3+++=their
faces ^vbz++++=faces
turned ^vbd+++xvbn+=turned
toward ^in++++=toward
engagements ^nns+nom+++=engagements,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
girl ^nn++++=girl
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
pavement ^nn+nom+++=pavement
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
holding ^nvbg+++xvbg+=holding
her ^pp3o+pp3+++=her
gloves ^nns++++=gloves
in ^in++++=in
one ^cd1++++=one
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^vprf+++xvbn+=thought
that ^tht+vcmp+++=that
even ^rb++++=even
the ^ati++++=the
wind ^nn++++=wind
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
where ^wrb+who+whcl++=where
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
Chicago ^np++++=Chicago
eight ^cd++++=eight
weeks ^nns++++=weeks.
. ^zz++++=EXTRAWORD
During ^in++++=During
that ^dt+dem+++=that
time ^nn++++=time
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
a ^at++++=a
hall ^nn++++=hall
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
coffee ^nn++++=coffee
and ^cc++++=and
rolls ^nns++++=rolls,
, ^zz++++=EXTRAWORD
the ^ati++++=the
price ^nn++++=price
of ^in++++=of
having ^xvbg+++xvbg+=having
a ^at++++=a
dress ^nn++++=dress
cleaned ^vwbn+++xvbn+=cleaned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
greater ^jjr+atrb+++=greater
cost ^nn++++=cost
of ^in++++=of
letting ^xvbg+++xvbg+=letting
it ^pp3+it+++=it
go ^vb++++=go
shabby ^jj++++=shabby.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
that ^tht+vcmp+++=that
advertisements ^nns+nom+++=advertisements
reading ^vwbg+++xvbg+=reading
" ^zz++++="Young
young ^jj+atrb+++=EXTRAWORD
woman ^nn++++=woman
wanted ^vbd+++xvbn+=wanted"
" ^zz++++=EXTRAWORD
brought ^vbd+++xvbn+=brought
forty ^cd++++=forty
young ^jj+atrb+++=young
women ^nns++++=women
to ^to++++=to
one ^cd1++++=one
narrow ^jj+atrb+++=narrow
stairway ^nn++++=stairway;
; ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
references ^nns+nom+++=references
from ^in++++=from
respected ^vbd+++xvbn+=respected
people ^nns++++=people
in ^in++++=in
a ^at++++=a
Colorado ^np++++=Colorado
town ^nn++++=town
meant ^vbd+vprv++xvbn+=meant
little ^ap++++=little
to ^in++++=to
a ^at++++=a
superintendent ^npt++++=superintendent
born ^vwbn+++xvbn+=born
in ^in++++=in
New ^jj+atrb+++=New
York ^np++++=York
and ^cc++++=and
promoted ^vpsv++agls+xvbn+=promoted
in ^in++++=in
Illinois ^np+++??+=Illinois;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
like ^in++++=like
shoe ^nn++++=shoe
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
wore ^j+++xvbn+=wore
thin ^jj++++=thin
when ^wrb+who+++=when
used ^vbd+++xvbn+=used
upon ^in++++=upon
pavements ^nns+nom+++=pavements.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
place ^nn++++=place
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
could ^md+pos+++=could
go ^vb++++=go
without ^in++++=without
spending ^xvbg+++xvbg+=spending
anything ^pn++++=anything
and ^cc++++=and
without ^in++++=without
being ^nn+nn+aux++=being
required ^vbd+++xvbn+=required
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
why ^wrb+who+whcl++=why
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
place ^nn++++=place
was ^vbd+bedz+vrb++=was
the ^ati++++=the
public ^jj+atrb+++=public
library ^npl+nom+++=library.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
entered ^vbd+++xvbnx+=entered
it ^pp3+it+++=it
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
her ^pp3o+pp3+++=her
room ^nn++++=room
at ^in++++=at
the ^ati++++=the
boarding ^nn++++=boarding
house ^nn++++=house
would ^md+prd+++=would
be ^vb+be+vrb++=be
cold ^jj+pred+++=cold
until ^in++++=until
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
bear ^vb+vprv+++=bear
to ^to+vcmp+++=to
count ^vbi++++=count
her ^pp$+pp3+++=her
money ^nn++++=money
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chiefly ^rb++++=chiefly
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
certain ^jj+atrb+++=certain
alcove ^nn++++=alcove
of ^in++++=of
the ^ati++++=the
reading ^jj+++xvbg+=reading-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Denver ^np+++??+=Denver
newspaper ^nn+nom+++=newspaper
waited ^vbd+++xvbn+=waited
upon ^in++++=upon
its ^pp$+it+++=its
wooden ^jj+atrb+++=wooden
rod ^nn++++=rod.
. ^zz++++=EXTRAWORD
The ^ati++++=The
paper ^nn++++=paper
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
two ^cd++++=two
days ^nns++++=days
old ^jj++++=old.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
very ^ap+amp+++=very
name ^nn++++=name
was ^vbd+bedz+vrb++=was
a ^at++++=a
comforting ^jj+atrb+++=comforting
companionship ^nn+nom+++=companionship.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
the ^ati++++=the
reports ^nns++++=reports
of ^in++++=of
snow ^nn++++=snow
in ^in++++=in
the ^ati++++=the
passes ^nns++++=passes,
, ^zz++++=EXTRAWORD
of ^in++++=of
cattle ^nns++++=cattle
shipped ^vbd+++xvbn+=shipped
from ^in++++=from
the ^ati++++=the
western ^jj+atrb+++=western
slope ^nn++++=slope,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
school ^nn++++=school
election ^nn+nom+++=election
in ^in++++=in
a ^at++++=a
town ^nn++++=town
she ^pp3a+pp3+++=she
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
wedding ^nn++++=wedding
at ^in++++=at
which ^whp+rel+pied++=which
the ^ati++++=the
bride ^nn++++=bride's
's ^$++++=EXTRAWORD
aunt ^nn++++=aunt
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
taught ^vprf+++xvbnx+=taught
her ^pp$+pp3+++=her
geography ^nn++++=geography.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
advertisements ^nns+nom+++=advertisements
for ^in++++=for
seed ^nn++++=seed,
, ^zz++++=EXTRAWORD
mining ^nn++++=mining
machinery ^nn+nom+++=machinery,
, ^zz++++=EXTRAWORD
irrigated ^xvbn+++xvbn+=irrigated
land ^nn++++=land,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
excursions ^nns++++=excursions
into ^in++++=into
the ^ati++++=the
mountains ^nns++++=mountains.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
streets ^nns++++=streets
gave ^vbd+++xvbn+=gave
her ^pp$+pp3+++=her
anchorage ^nn+nom+++=anchorage.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
Chicago ^np++++=Chicago
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
stretching ^vbg+++xvbg+=stretching
grimly ^rb++++=grimly
between ^in++++=between
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
streets ^nns++++=streets
down ^in++++=down
which ^whp+rel+pied++=which
one ^cd1++++=one
might ^md+pos+++=might
look ^vb++++=look,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
proper ^jj+atrb+++=proper
turning ^nvbg+++xvbg+=turning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
the ^ati++++=the
far ^rb+pl+++=far
blue ^jj+atrb+++=blue
lift ^nn++++=lift
of ^in++++=of
the ^ati++++=the
hills ^nns++++=hills.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
afternoon ^nn++++=afternoon
the ^ati++++=the
paper ^nn++++=paper
was ^vbd+bedz+vrb++=was
already ^rb++++=already
in ^in++++=in
use ^nn++++=use.
. ^zz++++=EXTRAWORD
An ^at++++=An
elderly ^jj+atrb+++=elderly
woman ^nn++++=woman
sat ^vbd+++xvbn+=sat
beneath ^in+pl+++=beneath
the ^ati++++=the
shaded ^jj+atrb++xvbn+=shaded
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
holding ^vbg+vprv++xvbg+=holding
it ^pp3+it+++=it
close ^in+cmpx+++=close
to ^in"++++=to
her ^pp$+pp3+++=her
face ^nn++++=face.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
poorly ^rb++splt++=poorly
dressed ^vpsv++agls+xvbnx+=dressed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
that ^dt+dem+++=that
careful ^jj+atrb+++=careful
neatness ^nns+nom+++=neatness
