At ^in++++=At
noon ^nn++++=noon
the ^ati++++=the
galley ^nn++++=galley
lay ^vbd+++xvbn+=lay
becalmed ^vbd+++xvbn+=becalmed
within ^in++++=within
sight ^nn++++=sight
of ^in++++=of
Bugia ^np+++??+=Bugia,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
long ^rb++++=long
red ^jj+atrb+++=red
oars ^nns+++??+=oars
drawn ^vwbn+++xvbn+=drawn
in ^in++++=in
and ^cc++++=and
ranged ^vbd+++xvbn+=ranged
above ^jjb++++=above
the ^ati++++=the
water ^nn++++=water
like ^in++++=like
the ^ati++++=the
folded ^jj+atrb++xvbn+=folded
legs ^nns++++=legs
of ^in++++=of
some ^dti++++=some
exhausted ^jj+atrb++xvbn+=exhausted
vermin ^nn++++=vermin.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
before ^cs+sub+++=before
sunrise ^nn++++=sunrise
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
violet ^jj++++=violet,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterward ^rb++++=afterward
green ^jj++++=green,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
of ^in++++=of
a ^at++++=a
whiteness ^nns+nom+++=whiteness
so ^ql+emph+++=so
dazzling ^jj+++xvbg+=dazzling
that ^dt+dem+++=that
the ^ati++++=the
eye ^nn++++=eye
could ^md+pos+++=could
scarcely ^rb+down+splt++=scarcely
distinguish ^vb++++=distinguish
water ^nn++++=water
from ^in++++=from
light ^nn++++=light.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
slowly ^rb++++=slowly
the ^ati++++=the
vessel ^nn++++=vessel
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
her ^pp$+pp3+++=her
own ^ap++++=own
shadow ^nn++++=shadow;
; ^zz++++=EXTRAWORD
very ^ql+amp+++=very
slowly ^rb++++=slowly
the ^ati++++=the
lateen ^nn++++=lateen
sail ^vb++++=sail
stirred ^vbd+++xvbn+=stirred
and ^cc+phrs+++=and
collapsed ^vbd+++xvbn+=collapsed
against ^in++++=against
the ^ati++++=the
yard ^nn++++=yard;
; ^zz++++=EXTRAWORD
very ^ql+amp+++=very
slowly ^rb++++=slowly
