There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
twelve ^cd++++=twelve
of ^in++++=of
us ^pp1o+pp1+++=us
in ^in++++=in
Anton ^np+++??+=Anton
Antonitch ^np++++=Antonitch's
's ^$++++=EXTRAWORD
drawing ^nvbg+++xvbg+=drawing
room ^nn++++=room
that ^tht+rel+++=that
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
why ^wrb+who+++=why
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
precisely ^rb++splt++=precisely
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
neither ^dt++neg++=neither
a ^at++++=a
name ^nn++++=name
day ^nn++++=day
nor ^cc++neg++=nor
a ^at++++=a
farewell ^nn++++=farewell
supper ^nn++++=supper;
; ^zz++++=EXTRAWORD
no ^at++++=no
cards ^nns++++=cards
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
announced ^vpsv++agls+xvbnx+=announced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
samovar ^nn+++??+=samovar,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
hissed ^vbd+++xvbn+=hissed
itself ^ppl++++=itself
into ^in++++=into
exhaustion ^nn+nom+++=exhaustion,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
forgotten ^jj+++xvbn+=forgotten
beside ^in+pl+++=beside
a ^at++++=a
plate ^nn++++=plate
of ^in++++=of
sugared ^jj+atrb+++=sugared
biscuits ^nns++++=biscuits.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
everyone ^pn++++=everyone
remained ^vbd+++xvbn+=remained.
. ^zz++++=EXTRAWORD
In ^in++++=In
provincial ^jj+atrb+++=provincial
towns ^nns++++=towns
people ^nns++++=people
often ^rb++++=often
remain ^vb++++=remain
simply ^rb++++=simply
because ^cs+cos+++=because
to ^to++++=to
go ^vbi++++=go
home ^nr++++=home
is ^vbz+bez+aux++=is
to ^to++++=to
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
awaits ^nns+++??+=awaits
them ^pp3o+pp3+++=them
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
we ^pp1a+pp1+++=we
discussed ^vbd+++xvbn+=discussed
the ^ati++++=the
new ^jj+atrb+++=new
inspector ^nn++++=inspector,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
a ^at++++=a
fire ^nn++++=fire
in ^in++++=in
the ^ati++++=the
merchants ^nns+nom+++=merchants'
' ^zz++++=EXTRAWORD
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
whether ^cs+who+++=whether
a ^at++++=a
certain ^jj+atrb+++=certain
lieutenant ^npt+nom+++=lieutenant
had ^vb+hv+aux++=had
really ^rb+emph+splt++=really
lost ^vprf+++xvbnx+=lost
three ^cd++++=three
thousand ^cd++++=thousand
roubles ^nns++++=roubles
at ^in++++=at
billiards ^nn++++=billiards.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
the ^ati++++=the
conversation ^nn+nom+++=conversation
grew ^vbd+++xvbn+=grew
louder ^jjr++++=louder
and ^cc++++=and
less ^rbr++++=less
charitable ^jj++++=charitable.
. ^zz++++=EXTRAWORD
