# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Maymeys ^np+++??+=MAYMEYS
From ^in++++=FROM
Cuba ^np++++=CUBA
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
of ^in++++=of
the ^ati++++=the
Hungry ^jj+atrb+++=Hungry
Girl ^nn++++=Girl
in ^in++++=in
the ^ati++++=the
Great ^jj+atrb+++=Great
City ^nn++++=City.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
through ^in++++=through
every ^at++++=every
printing ^jj+atrb++xvbg+=printing
press ^nn++++=press
from ^in++++=from
Nineveh ^np+++??+=Nineveh
to ^in++++=to
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
in ^in++++=in
a ^at++++=a
thin ^jj+atrb+++=thin
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
frequently ^rb++++=frequently
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
within ^in++++=within
smelling ^xvbg+++xvbg+=smelling
distance ^nn+nom+++=distance
of ^in++++=of
a ^at++++=a
restaurant ^nn+nom+++=restaurant
where ^wrb+who+++=where
a ^at++++=a
millionaire ^nn++++=millionaire
is ^vbz+bez+aux++=is
ordering ^vbg+++xvbgx+=ordering
another ^dt++++=another
bird ^nn++++=bird
under ^in++++=under
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
invented ^vprf+++xvbnx+=invented
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
some ^dti++++=some
conscientious ^jj+atrb+++=conscientious
librarian ^nn++++=librarian
would ^md+prd+++=would
produce ^vb++++=produce
a ^at++++=a
Babylonian ^jj+atrb+++=Babylonian
tablet ^nn++++=tablet
proving ^vb+++xvbg+=proving
that ^tht+vcmp+++=that
a ^at++++=a
young ^jj+atrb+++=young
person ^nn++++=person
named ^vbd+++xvbn+=named
Ishtar ^np+++??+=Ishtar
once ^cs+tm+++=once
fainted ^vprf+++xvbn+=fainted
outside ^jjb++++=outside
a ^at++++=a
date ^nn++++=date
market ^nn++++=market.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
new ^jj++++=new
under ^in++++=under
the ^ati++++=the
sun ^nn++++=sun
not ^xnot++not++=not
even ^rb++++=even
starvation ^nn+nom+++=starvation,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
municipal ^jj+atrb+++=municipal
authorities ^nns+nom+++=authorities
continue ^vb++++=continue
to ^to++++=to
treat ^vbi++++=treat
each ^dt++++=each
case ^nn++++=case
as ^in++++=as
an ^at++++=an
unexpected ^jj+atrb+++=unexpected
novelty ^nn++++=novelty.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
make ^vb++++=make
no ^at++++=no
claim ^vb++++=claim
to ^to+vcmp+++=to
the ^ati++++=the
plot ^nn++++=plot.
. ^zz++++=EXTRAWORD
