# ^zz++++=#
Something ^pn++++=SOMETHING
Better ^jjr++++=BETTER
Than ^in++++=THAN
Money ^nn++++=MONEY
# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
promised ^vprf+++xvbnx+=promised
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry,
, ^zz++++=EXTRAWORD
how ^wrb+who+whq++=how
can ^md+pos+++=can
you ^pp2+pp2+++=you
ask ^vb++++=ask
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jerry ^np++++=Jerry
Trelevan ^np+nom++??+=Trelevan
turned ^vbd+++xvbn+=turned
sharply ^rb++++=sharply
from ^in++++=from
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
room ^nn++++=room
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
darkening ^vbg+++xvbgx+=darkening,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
four ^cd++++=four
o ^zz++++=o'clock,
'clock, ^nn+++??+=EXTRAWORD
and ^cc++++=and
his ^pp$+pp3+++=his
handsome ^jj+atrb+++=handsome
face ^nn++++=face
showed ^vbd+vprv++xvbn+=showed
pale ^nn++++=pale
and ^cc++++=and
impatient ^jj++++=impatient
against ^in++++=against
the ^ati++++=the
grey ^np++++=grey
square ^nn++++=square
of ^in++++=of
the ^ati++++=the
glass ^nn++++=glass.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
promise ^vb++++=promise
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
Vi ^np+++??+=Vi."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Violet ^jj++++=Violet
stood ^vbd+++xvbn+=stood
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
hand ^nn++++=hand
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
the ^ati++++=the
mantelpiece ^nn++++=mantelpiece.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fire ^nn++++=fire
was ^vbd+bedz+vrb++=was
low ^jj+pred+++=low.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
coal ^nn++++=coal
in ^in++++=in
the ^ati++++=the
scuttle ^vb++++=scuttle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
both ^abx++++=both
of ^in++++=of
them ^pp3o+pp3+++=them
knew ^vbd+vprv++xvbn+=knew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv++xvbnx+=knew
also ^rb++++=also
that ^cs+sub+++=that
the ^ati++++=the
landlady ^nn++++=landlady's
's ^$++++=EXTRAWORD
bill ^nn++++=bill
lay ^vbd+++xvbn+=lay
unanswered ^jj++++=unanswered
in ^in++++=in
Jerry ^np++++=Jerry's
's ^$++++=EXTRAWORD
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Violet ^np++++=Violet's
's ^$++++=EXTRAWORD
last ^rb++++=last
trinket ^nn+++??+=trinket
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
pawnbroker ^jjr+atrb+++=pawnbroker
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
the ^ati++++=the
Trelevan ^np+nom++??+=Trelevan
fortune ^nn++++=fortune
were ^vbd+bed+aux++=were
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
a ^at++++=a
bundle ^nn++++=bundle
of ^in++++=of
railway ^nn++++=railway
certificates ^nns+nom+++=certificates
which ^whp+rel+obj++=which
no ^at++++=no
sane ^jj+atrb+++=sane
man ^nn++++=man
would ^md+prd+++=would
buy ^vb++++=buy
for ^in++++=for
waste ^nn++++=waste-paper.
- ^zz++++=EXTRAWORD
paper ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
cannot ^md+pos+not++=cannot
marry ^vb++++=marry
a ^at++++=a
man ^nn++++=man
I ^pp1a+pp1+++=I
