It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
latter ^ap++++=latter
part ^nn++++=part
of ^in++++=of
December ^nr+nom+++=December
when ^wrb+who+++=when
the ^ati++++=the
year ^nn++++=year,
, ^zz++++=EXTRAWORD
like ^in++++=like
an ^at++++=an
aged ^jj+atrb+++=aged
traveller ^nn+nom+++=traveller,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
nearly ^rb+down+splt++=nearly
reached ^vprf+++xvbnx+=reached
his ^pp$+pp3+++=his
inn ^nn++++=inn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
begins ^vbz++++=begins
to ^to++++=to
shake ^vbi++++=shake
the ^ati++++=the
snow ^nn++++=snow
from ^in++++=from
his ^pp$+pp3+++=his
cloak ^nn++++=cloak
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
favored ^vpsv++agls+xvbnx+=favored
with ^in++++=with
a ^at++++=a
flying ^nn++++=flying
visit ^vb++++=visit
from ^in++++=from
my ^pp$+pp1+++=my
young ^jj+atrb+++=young
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Eustace ^np++++=Eustace
Bright ^jj++++=Bright.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
arrived ^vbd+++xvbnx+=arrived
at ^rb++++=at
my ^pp$+pp1+++=my
cottage ^nn+nom+++=cottage
shortly ^rb+tm+++=shortly
after ^in++++=after
noon ^nn++++=noon,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
sleigh ^nn+++??+=sleigh
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
jingled ^vprf+++xvbnx+=jingled
all ^abn++++=all
the ^ati++++=the
way ^nn++++=way
from ^in++++=from
the ^ati++++=the
railway ^nn++++=railway
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
horse ^nn++++=horse
stood ^vbd+++xvbn+=stood
steaming ^vbg+++xvbg+=steaming
at ^in++++=at
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
with ^in++++=with
icicles ^nns+++??+=icicles
depending ^vwbg+++xvbg+=depending
from ^in++++=from
his ^pp$+pp3+++=his
bridle ^nn++++=bridle
as ^cs+sub+++=as
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
along ^rb+phrv+++=along
a ^at++++=a
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
winter ^nn++++=winter
for ^in++++=for
my ^pp$+pp1+++=my
especial ^jj+atrb+++=especial
entertainment ^nn+nom+++=entertainment.
. ^zz++++=EXTRAWORD
Eustace ^np++++=Eustace
sprang ^vbd+++xvbn+=sprang
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
elasticity ^nn+nom+++=elasticity
proper ^jj++++=proper
to ^in++++=to
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
likewise ^rb+cnj+++=likewise
with ^in++++=with
a ^at++++=a
green ^jj+atrb+++=green
portfolio ^nn++++=portfolio
under ^in++++=under
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
circumstance ^nn+nom+++=circumstance
I ^pp1a+pp1+++=I
observed ^vbd+vprv++xvbnx+=observed
immediately ^rb+tm+++=immediately;
; ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
elderly ^jj+atrb+++=elderly
author ^nn++++=author
acquires ^vbz++++=acquires,
, ^zz++++=EXTRAWORD
by ^in++++=by
long ^jj+atrb+++=long
exposure ^nn++++=exposure
to ^in++++=to
manuscripts ^nns++++=manuscripts,
, ^zz++++=EXTRAWORD
a ^at++++=a
perception ^nn+nom+++=perception
of ^in++++=of
them ^pp3o+pp3+++=them
almost ^rb+hdg+++=almost
as ^in++++=as
instinctive ^jj++++=instinctive
as ^ql++++=as
that ^cs+sub+++=that
by ^in++++=by
which ^whp+rel+pied++=which
a ^at++++=a
physician ^nn++++=physician
recognizes ^vbz+vprv+++=recognizes
the ^ati++++=the
approach ^nn++++=approach
of ^in++++=of
an ^at++++=an
epidemic ^nn++++=epidemic.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Eustace ^np++++=Eustace,
, ^zz++++=EXTRAWORD
grasping ^vbg+++xvbg+=grasping
both ^abx++++=both
my ^pp$+pp1+++=my
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
grown ^vprf+++xvbnx+=grown
younger ^jjr++++=younger
since ^cs+sub+++=since
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
you ^pp2+pp2+++=you!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
so ^ql++++=so
manifestly ^rb++++=manifestly
contrary ^in+cmpx+++=contrary
to ^in++++=to
fact ^nn++++=fact
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
accepted ^vbd+vprv+tht0+xvbnx+=accepted
it ^pp3+it+++=it
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
delicate ^jj+atrb+++=delicate
fictions ^nns+nom+++=fictions
without ^in++++=without
which ^whp+rel+pied++=which
society ^nn++++=society
would ^md+prd+++=would
become ^vb++++=become
intolerably ^rb++++=intolerably
truthful ^jj++++=truthful.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
" ^zz++++="have
have ^vb+hv+aux++=EXTRAWORD
grown ^vprf+++xvbnx+=grown
into ^in++++=into
a ^at++++=a
celebrated ^jj+atrb++xvbn+=celebrated
man ^nn++++=man,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
your ^pp$+pp2+++=your
countenance ^nn+nom+++=countenance
may ^md+pos+++=may
be ^vb+be+aux++=be
trusted ^vpsv++agls+xvbnx+=trusted."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
yet ^rb+cnj+++=yet,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
brought ^vprf+++xvbnx+=brought
the ^ati++++=the
materials ^nns+nom+++=materials."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tapped ^vbd+++xvbnx+=tapped
the ^ati++++=the
portfolio ^nn++++=portfolio,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
heart ^nn++++=heart
sank ^vbd+++xvbn+=sank
a ^rb++++=a
little ^rb"++++=little.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
as ^in++++=as
hospitality ^nn+nom+++=hospitality
requires ^vbz++++=requires
us ^pp1o+pp1+++=us
to ^to++++=to
welcome ^vbi++++=welcome
not ^xnot++not++=not
only ^rb+down+++=only
our ^pp$+pp1+++=our
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
infirmities ^nns+nom+++=infirmities,
, ^zz++++=EXTRAWORD
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
unpublished ^jj+atrb+++=unpublished
works ^nns++++=works,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
conducted ^vbd+++xvbnx+=conducted
him ^pp3o+pp3+++=him
into ^in++++=into
the ^ati++++=the
cottage ^nn+nom+++=cottage,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
substantial ^jj+atrb+++=substantial
fire ^nn++++=fire
and ^cc++++=and
a ^at++++=a
less ^rbr++++=less
substantial ^jj+atrb+++=substantial
luncheon ^nn++++=luncheon
awaited ^vbd+++xvbn+=awaited
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Eustace ^np++++=Eustace,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
scarcely ^rb+down+splt++=scarcely
removed ^vprf+++xvbnx+=removed
the ^ati++++=the
snow ^nn++++=snow
from ^in++++=from
his ^pp$+pp3+++=his
boots ^nns++++=boots
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
insisted ^vbd+vpub++xvbnx+=insisted
on ^in++++=on
surveying ^xvbg+++xvbg+=surveying
my ^pp$+pp1+++=my
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
landed ^jj+atrb++xvbn+=landed
possessions ^nns++++=possessions
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
somewhat ^rb+down+++=somewhat
less ^rbr++++=less
than ^in++++=than
six ^cd++++=six
acres ^nns++++=acres,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
orchard ^nn++++=orchard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+down+++=partly
a ^at++++=a
rocky ^jj+atrb+++=rocky
declivity ^nn+nom+++=declivity
upon ^in++++=upon
which ^whp+rel+pied++=which
Nature ^nn++++=Nature
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
stone ^nn++++=stone
with ^in++++=with
no ^at++++=no
very ^ql+amp+++=very
profitable ^jj+atrb+++=profitable
result ^nn++++=result.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
upon ^in++++=upon
them ^pp3o+pp3+++=them
long ^rb++++=long
enough ^qlp++++=enough
to ^to++++=to
regard ^vbi++++=regard
every ^at++++=every
apple ^nn++++=apple
tree ^nn++++=tree
as ^ql++++=as
a ^at++++=a
tenant ^nn++++=tenant,
