**to ^nn+++??+=**TO
The ^ati++++=THE
Editor.** ^np+++??+=EDITOR.**
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Editor ^np++++=Editor,
, ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
certain ^jj+atrb+++=certain
philosophers ^nns+nom+++=philosophers
who ^whp+rel+subj++=who
maintain ^vb+vpub+++=maintain
that ^tht+vcmp+++=that
a ^at++++=a
name ^nn++++=name
is ^vbz+bez+vrb++=is
but ^cc++++=but
an ^at++++=an
empty ^jj++++=empty
sound ^jj++++=sound;
; ^zz++++=EXTRAWORD
a ^at++++=a
label ^nn++++=label
tied ^vbd+++xvbn+=tied
about ^in++++=about
a ^at++++=a
man ^nn++++=man
at ^in++++=at
baptism ^nn+nom+++=baptism,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stuck ^vpsv++agls+xvbn+=stuck
upon ^in++++=upon
a ^at++++=a
town ^nn++++=town
by ^in++++=by
legislative ^jj+atrb+++=legislative
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
better ^jjr+atrb+++=better
purpose ^nn++++=purpose
than ^in++++=than
to ^to++++=to
prevent ^vbi++++=prevent
the ^ati++++=the
postman ^nn++++=postman
from ^in++++=from
carrying ^xvbg+++xvbg+=carrying
our ^pp$+pp1+++=our
letters ^nns+nom+++=letters
astray ^rb++++=astray.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
subscribe ^vb++++=subscribe
to ^in++++=to
this ^dt+dem+++=this
frigid ^jj+atrb+++=frigid
doctrine ^nn++++=doctrine.
. ^zz++++=EXTRAWORD
A ^at++++=A
name ^nn++++=name,
, ^zz++++=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
subtle ^jj+atrb+++=subtle
atmosphere ^nn++++=atmosphere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
surrounds ^vbz++++=surrounds
the ^ati++++=the
object ^nn++++=object
to ^to++++=to
which ^whp+who+++=which
it ^pp3+it+++=it
belongs ^vbz++++=belongs;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
tinges ^vbz+++??+=tinges
our ^pp$+pp1+++=our
first ^od++++=first
conception ^nn+nom+++=conception
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
haunts ^nns++++=haunts
the ^ati++++=the
memory ^nn++++=memory
long ^rb++++=long
