At ^rb++++=At
seven ^cd++++=seven
o'clock ^rb++++=o'clock
of ^in++++=of
a ^at++++=a
gray ^np++++=gray
northern ^jj+atrb+++=northern
morning ^nn++++=morning
Euston ^np+++??+=Euston
stood ^vbd+++xvbn+=stood
beneath ^rb++++=beneath
its ^pp$+it+++=its
famous ^jj+atrb+++=famous
portico ^nn+++??+=portico
with ^in++++=with
the ^ati++++=the
solemnity ^nn+nom+++=solemnity
of ^in++++=of
a ^at++++=a
temple ^nn++++=temple
whose ^whp+rel+obj++=whose
god ^np++++=god
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
arrived ^vbd+++xvbn+=arrived.
. ^zz++++=EXTRAWORD
Cabs ^np+++??+=Cabs
rattled ^vwbn+++xvbn+=rattled
in ^in++++=in
from ^in++++=from
the ^ati++++=the
wet ^jj+atrb+++=wet
London ^np++++=London
streets ^nns++++=streets
and ^cc++++=and
discharged ^vbd+++xvbn+=discharged
their ^pp$+pp3+++=their
offerings ^nns++++=offerings
commercial ^jj+atrb+++=commercial
gentlemen ^nns++++=gentlemen
folded ^vbd+++xvbn+=folded
into ^in++++=into
ulsters ^nns+nom+++=ulsters,
, ^zz++++=EXTRAWORD
ladies ^nns++++=ladies
accompanied ^vwbn+++xvbn+=accompanied
by ^in++++=by
pyramids ^nns+++??+=pyramids
of ^in++++=of
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
clerks ^nns++++=clerks
going ^vwbg+++xvbg+=going
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
Rugby ^nn++++=Rugby,
, ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers
going ^vwbg+++xvbg+=going
farther ^rbr++++=farther,
, ^zz++++=EXTRAWORD
children ^nns++++=children
who ^whp+rel+subj++=who
regarded ^xvbn+++xvbn+=regarded
Scotland ^np++++=Scotland
as ^in++++=as
a ^at++++=a
region ^nn++++=region
inhabited ^vbd+++xvbn+=inhabited
indifferently ^rb++++=indifferently
by ^in++++=by
deer ^nn++++=deer,
, ^zz++++=EXTRAWORD
bagpipes ^nns+++??+=bagpipes,
, ^zz++++=EXTRAWORD
waterfalls ^nns++++=waterfalls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
uncles ^nns+++??+=uncles.
. ^zz++++=EXTRAWORD
Porters ^nns+nom+++=Porters
moved ^vbd+++xvbn+=moved
through ^in++++=through
the ^ati++++=the
confusion ^nn++++=confusion
with ^in++++=with
that ^dt+dem+++=that
grave ^jj+atrb+++=grave
omniscience ^nn+nom+++=omniscience
peculiar ^jj++++=peculiar
to ^in++++=to
men ^nns++++=men
who ^whp+rel+subj++=who
know ^vb+vprv+++=know
where ^wrb+who+whcl++=where
every ^at++++=every
train ^nn++++=train
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
and ^cc+phrs+++=and
suspect ^vb+vprv+++=suspect
that ^tht+vcmp+++=that
no ^at++++=no
passenger ^nn+nom+++=passenger
knows ^vbz+vprv+++=knows
where ^wrb+who+whcl++=where
he ^pp3a+pp3+++=he
himself ^ppl+pp3+++=himself
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going.
. ^zz++++=EXTRAWORD
The ^ati++++=The
great ^jj+atrb+++=great
clock ^nn++++=clock
looked ^vbd+++xvbn+=looked
down ^rp++++=down
upon ^in++++=upon
us ^pp1o+pp1+++=us
all ^rb++++=all
without ^in++++=without
sympathy ^nn++++=sympathy.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
express ^jjb++++=express
waited ^jj+++xvbn+=waited
beside ^in+pl+++=beside
the ^ati++++=the
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engine ^nn++++=engine
was ^vbd+bedz+aux++=was
painted ^vpsv++agls+xvbnx+=painted
a ^at++++=a
deep ^jj+atrb+++=deep
vermilion ^nn+++??+=vermilion
relieved ^vbd+++xvbn+=relieved
with ^in++++=with
black ^jj++++=black
and ^cc++++=and
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
against ^in++++=against
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
smoke ^nn++++=smoke
its ^pp$+it+++=its
long ^jj+atrb+++=long
boiler ^nn++++=boiler
glowed ^vbd+++xvbn+=glowed
like ^in++++=like
the ^ati++++=the
flank ^nn++++=flank
of ^in++++=of
some ^dti++++=some
heraldic ^jj+atrb+++=heraldic
beast ^nn++++=beast.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
the ^ati++++=the
tender ^nn++++=tender,
, ^zz++++=EXTRAWORD
piled ^j+++xvbn+=piled
high ^jj++++=high
with ^in++++=with
coal ^nn++++=coal;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
coaches ^nns++++=coaches,
, ^zz++++=EXTRAWORD
bottle ^nn++++=bottle-green,
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
varnished ^j+++xvbn+=varnished
and ^cc+phrs+++=and
stately ^jj++++=stately,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
compartments ^nns+nom+++=compartments
already ^rb++++=already
warming ^vbg+++xvbg+=warming
to ^in++++=to
the ^ati++++=the
human ^jj+atrb+++=human
atmosphere ^nn++++=atmosphere
of ^in++++=of
rugs ^nns++++=rugs,
, ^zz++++=EXTRAWORD
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
luncheon ^nn++++=luncheon
baskets ^nns++++=baskets,
, ^zz++++=EXTRAWORD
impatience ^nn+nom+++=impatience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resignation ^nn+nom+++=resignation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
locomotive ^nn++++=locomotive
appeared ^vbd+seem++xvbn+=appeared
scarcely ^rb+down+++=scarcely
to ^to++++=to
belong ^vbi++++=belong
to ^in++++=to
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
creature ^nn++++=creature
of ^in++++=of
another ^dt++++=another
order ^to++++=order,
, ^zz++++=EXTRAWORD
fiery ^jj++++=fiery,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow-minded,
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
athletic ^jj++++=athletic,
, ^zz++++=EXTRAWORD
harnessed ^jj++++=harnessed
by ^in++++=by
administrative ^jj+atrb+++=administrative
compulsion ^nn++++=compulsion
to ^in++++=to
a ^at++++=a
procession ^nn++++=procession
of ^in++++=of
drawing ^xvbg+++xvbg+=drawing
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
driver ^nn++++=driver
leaned ^vbd+++xvbn+=leaned
from ^in++++=from
the ^ati++++=the
cab ^nn++++=cab
and ^cc++++=and
surveyed ^vbd+++xvbn+=surveyed
the ^ati++++=the
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
spare ^jj+atrb+++=spare
man ^nn++++=man
of ^in++++=of
perhaps ^rb++++=perhaps
fifty ^cd++++=fifty,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
brown ^jj+atrb+++=brown
beard ^nn++++=beard
beginning ^vwbg+++xvbg+=beginning
to ^to++++=to
whiten ^vbi++++=whiten
at ^rb++++=at
the ^ati++++=the
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
neither ^dt++neg++=neither
anxious ^jj++++=anxious
nor ^cc+phrs+neg++=nor
inattentive ^jj++++=inattentive.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
could ^md+pos+++=could
not ^xnot++not++=not
imagine ^vb+vprv+tht0++=imagine
those ^dt+dem+++=those
eyes ^nns++++=eyes
surprised ^vwbn+++xvbn+=surprised
by ^in++++=by
fog ^nn++++=fog,
, ^zz++++=EXTRAWORD
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
broken ^jj+atrb++xvbn+=broken
rails ^nns++++=rails,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
sudden ^jj+atrb+++=sudden
illumination ^nn+nom+++=illumination
of ^in++++=of
Judgment ^nn+nom+++=Judgment
Day ^nn++++=Day
between ^in++++=between
two ^cd++++=two
signal ^nn++++=signal
posts ^nns++++=posts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fireman ^nn++++=fireman,
, ^zz++++=EXTRAWORD
much ^ap++++=much
younger ^jjr++++=younger
and ^cc++++=and
built ^vpsv++agls+xvbn+=built
with ^in++++=with
the ^ati++++=the
compact ^jj+atrb+++=compact
shoulders ^nns+nom+++=shoulders
of ^in++++=of
a ^at++++=a
prizefighter ^jjr++++=prizefighter,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
