At ^in++++=At
half ^abn++++=half-past
- ^zz++++=EXTRAWORD
past ^jjb++++=EXTRAWORD
six ^cd++++=six
on ^in++++=on
a ^at++++=a
wet ^jj+atrb+++=wet
November ^nr+nom+++=November
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
cobblestones ^nns+++??+=cobblestones
of ^in++++=of
Prytania ^np+++??+=Prytania
Street ^nn++++=Street
shone ^vbd+++xvbn+=shone
like ^in++++=like
black ^jj+atrb+++=black
scales ^nns++++=scales
and ^cc++++=and
every ^at++++=every
gutter ^nn++++=gutter
hurried ^vbd+++xvbn+=hurried
toward ^in++++=toward
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
entered ^vbd+++xvbn+=entered
Tony ^np++++=Tony
Bellotti ^np++++=Bellotti's
's ^$++++=EXTRAWORD
shop ^nn++++=shop
and ^cc++++=and
laid ^vbd+++xvbn+=laid
a ^at++++=a
nickel ^nn++++=nickel
upon ^in++++=upon
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
" ^zz++++="Gimme
gimme ^nn+++??+=EXTRAWORD
fi ^nn+++??+=fi'
' ^zz++++=EXTRAWORD
cents ^nns++++=cents
candy ^nn++++=candy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
pointing ^vbg+++xvbg+=pointing
a ^at++++=a
damp ^jj+atrb+++=damp
finger ^nn++++=finger
at ^in++++=at
the ^ati++++=the
tallest ^jjt+atrb+++=tallest
jar ^nn++++=jar.
. ^zz++++=EXTRAWORD
Tony ^np++++=Tony,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
opening ^vbg+++xvbgx+=opening
oysters ^nns+nom+++=oysters
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife
broad ^jj++++=broad
enough ^dt++++=enough
for ^in++++=for
a ^at++++=a
pirate ^nn++++=pirate,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Which
