It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
my ^pp$+pp1+++=my
custom ^nn++++=custom
to ^in++++=to
trouble ^nn++++=trouble
the ^ati++++=the
public ^nn++++=public
with ^in++++=with
every ^at++++=every
uncommon ^jj+atrb+++=uncommon
relation ^nn+nom+++=relation
that ^tht+rel+subj++=that
is ^vbz+bez+aux++=is
carried ^vpsv++agls+xvbnx+=carried
from ^in++++=from
one ^cd1++++=one
tea ^nn++++=tea-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
to ^in++++=to
another ^dt++++=another,
, ^zz++++=EXTRAWORD
for ^in++++=for
most ^ap+emph+++=most
of ^in++++=of
these ^dt+pdem+++=these
perish ^vb++++=perish
upon ^in++++=upon
the ^ati++++=the
first ^rb++++=first
sober ^jj+atrb+++=sober
inquiry ^nn++++=inquiry;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
following ^jj+atrb++xvbg+=following
matter ^nn++++=matter
hath ^vbz+hvz+aux++=hath
been ^vprf+ben+vrb+xvbnx+=been
attested ^jj++++=attested
by ^in++++=by
a ^at++++=a
person ^nn++++=person
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
known ^vprf+++xvbnx+=known
above ^jjb++++=above
thirteen ^cd++++=thirteen
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
conduct ^vb++++=conduct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
circumstances ^nns+nom+++=circumstances
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
with ^in++++=with
more ^rbr++++=more
care ^nn++++=care
than ^in++++=than
perhaps ^rb++++=perhaps
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
noise ^nn++++=noise
against ^in++++=against
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj+atrb+++=mean
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth
Bargrave ^np+++??+=Bargrave,
, ^zz++++=EXTRAWORD
of ^in++++=of
Canterbury ^np++++=Canterbury,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
neither ^dt++neg++=neither
melancholy ^jj++++=melancholy
nor ^cc+phrs+neg++=nor
fanciful ^jj++++=fanciful,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
a ^at++++=a
cheerful ^jj+atrb+++=cheerful
discourse ^nn++++=discourse,
, ^zz++++=EXTRAWORD
a ^at++++=a
sound ^jj+atrb+++=sound
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
patient ^nn++++=patient
under ^in++++=under
very ^ql+amp+++=very
hard ^jj+atrb+++=hard
usage ^nn++++=usage
in ^in++++=in
her ^pp$+pp3+++=her
own ^ap++++=own
family ^nn++++=family,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
those ^dt+pdem+++=those
