# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Mary ^np++++=Mary's
's ^$++++=EXTRAWORD
Ark ^nn++++=Ark
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
Dedlow ^np+++??+=Dedlow
Marsh ^nn++++=Marsh
under ^in++++=under
a ^at++++=a
March ^nn++++=March
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
tide ^nn++++=tide
is ^vbz+bez+vrb++=is
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wind ^nn++++=wind
southeast ^nn+++??+=southeast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^jj+atrb+++=last
rain ^nn++++=rain
lying ^vwbg+++xvbg+=lying
in ^in++++=in
every ^at++++=every
depression ^nn++++=depression
like ^in++++=like
tarnished ^vbd+++xvbn+=tarnished
silver ^nn++++=silver
in ^in++++=in
the ^ati++++=the
mould ^nn++++=mould
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
coffin ^nn++++=coffin,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
may ^md+pos+++=may
reasonably ^rb++splt++=reasonably
doubt ^vb++++=doubt
the ^ati++++=the
particulars ^nns++++=particulars
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
Dedlow ^np+++??+=Dedlow
itself ^ppl++++=itself
seems ^vbz+seem+++=seems
then ^rn+tm+++=then
to ^to++++=to
discourage ^nn+nom+++=discourage
belief ^nn++++=belief
in ^in++++=in
anything ^pn++++=anything
wholesome ^jj++++=wholesome,
, ^zz++++=EXTRAWORD
courageous ^jj++++=courageous,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
providential ^jj++++=providential.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sloughs ^nns+++??+=sloughs
go ^vb++++=go
twisting ^vbg+++xvbg+=twisting
through ^in++++=through
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
black ^nn++++=black,
, ^zz++++=EXTRAWORD
furtive ^jj+atrb+++=furtive
sinuosity ^nn+nom+++=sinuosity
of ^in++++=of
eels ^nns+++??+=eels;
; ^zz++++=EXTRAWORD
the ^ati++++=the
reeds ^nns++++=reeds
lean ^vb++++=lean
together ^nn+nom+++=together
as ^cs+sub+++=as
if ^cs+cnd+++=if
exchanging ^vbg+++xvbg+=exchanging
scandal ^nn++++=scandal;
; ^zz++++=EXTRAWORD
the ^ati++++=the
coarse ^jj+atrb+++=coarse
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
submerged ^j+++xvbn+=submerged
at ^rb++++=at
the ^ati++++=the
roots ^nns++++=roots
and ^cc++++=and
bleached ^jj+++xvbn+=bleached
at ^rb++++=at
the ^ati++++=the
tips ^nns++++=tips,
, ^zz++++=EXTRAWORD
trails ^nns++++=trails
upon ^in++++=upon
the ^ati++++=the
pools ^nns++++=pools
like ^in++++=like
the ^ati++++=the
floating ^jj+atrb++xvbg+=floating
hair ^nn++++=hair
of ^in++++=of
a ^at++++=a
drowned ^jj+atrb++xvbn+=drowned
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
birds ^nns++++=birds
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
have ^vbi++++=have
suffered ^vbd+++xvbn+=suffered
a ^at++++=a
moral ^jj+atrb+++=moral
deterioration ^nn+nom+++=deterioration
from ^in++++=from
long ^jj+atrb+++=long
residence ^nn+nom+++=residence
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
The ^ati++++=The
curlews ^nns++++=curlews
complain ^vb+vpub+++=complain
without ^in++++=without
offering ^xvbg+++xvbg+=offering
a ^at++++=a
remedy ^nn++++=remedy;
; ^zz++++=EXTRAWORD
the ^ati++++=the
heron ^nn+++??+=heron,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
stands ^vbz++++=stands
ankle ^nn++++=ankle-deep
- ^zz++++=EXTRAWORD
deep ^jj++++=EXTRAWORD
in ^in++++=in
water ^nn++++=water
with ^in++++=with
the ^ati++++=the
stoicism ^nn+nom+++=stoicism
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
abandoned ^vprf+++xvbnx+=abandoned
all ^abn++++=all
hope ^nn++++=hope
of ^in++++=of
dry ^jj+atrb+++=dry
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
preserves ^vbz++++=preserves
a ^at++++=a
sepulchral ^nn++++=sepulchral
silence ^nn+nom+++=silence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
black ^jj+atrb+++=black
marsh ^npl++++=marsh
ravens ^nns+++??+=ravens
hold ^nn++++=hold
noisy ^jj+atrb+++=noisy
consultations ^nns+nom+++=consultations
upon ^in++++=upon
the ^ati++++=the
driftwood ^nn+++??+=driftwood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned,
