# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
A ^at++++=A
Matter ^nn++++=Matter
of ^in++++=of
Habit ^nn++++=Habit
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
the ^ati++++=the
tyranny ^nn++++=tyranny
of ^in++++=of
habit ^nn++++=habit
in ^in++++=in
the ^ati++++=the
smoke ^nn++++=smoke-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
*macedonia* ^nn+++??+=*Macedonia*,
, ^zz++++=EXTRAWORD
somewhere ^rb++++=somewhere
between ^in++++=between
Gibraltar ^np++++=Gibraltar
and ^cc++++=and
the ^ati++++=the
Needles ^nps++++=Needles.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
us ^pp1o+pp1+++=us
at ^rb++++=at
first ^rb"++++=first:
: ^zz++++=EXTRAWORD
Withers ^nns+nom++??+=Withers,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
held ^vbn+vprv++xvbn+=held
opinions ^nns++++=opinions
upon ^in++++=upon
every ^at++++=every
subject ^nn++++=subject
and ^cc++++=and
generally ^rb+down+++=generally
held ^vwbn+vprv++xvbn+=held
them ^pp3o+pp3+++=them
across ^in+pl+++=across
the ^ati++++=the
gangway ^nn++++=gangway;
; ^zz++++=EXTRAWORD
Bellamy ^np++++=Bellamy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
disputed ^vbd+++xvbn+=disputed
whatever ^nn+nom+++=whatever
Withers ^nns+nom++??+=Withers
asserted ^vbd+vpub++xvbn+=asserted
as ^ql++++=as
a ^at++++=a
point ^nn++++=point
of ^in++++=of
personal ^jj+atrb+++=personal
honour ^nn++++=honour;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
myself ^ppl+pp1+++=myself,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
during ^in++++=during
five ^cd++++=five
days ^nns++++=days
of ^in++++=of
rough ^jj+atrb+++=rough
weather ^nn++++=weather
that ^tht+rel+obj++=that
the ^ati++++=the
safest ^jjt+atrb+++=safest
contribution ^nn+nom+++=contribution
to ^in++++=to
maritime ^jj+atrb+++=maritime
philosophy ^nn++++=philosophy
is ^vbz+bez+vrb++=is
an ^at++++=an
occasional ^jj+atrb+++=occasional
nod ^nn++++=nod.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sea ^nn++++=sea
had ^vbd+hvd+aux++=had
fallen ^vprf+++xvbn+=fallen
quiet ^nn++++=quiet
after ^in++++=after
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lamps ^nns++++=lamps
swung ^vbd+++xvbn+=swung
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
was ^vbd+bedz+vrb++=was
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
remind ^vbi++++=remind
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
afloat ^jj+pred+++=afloat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
port ^npl++++=port
came ^vbd+++xvbn+=came
a ^at++++=a
warm ^jj+atrb+++=warm
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
bearing ^vbg+++xvbg+=bearing
a ^at++++=a
faint ^jj+atrb+++=faint
suggestion ^nn+nom+++=suggestion
of ^in++++=of
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
salt ^jj+atrb+++=salt
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
arrangements ^nns+nom+++=arrangements
for ^in++++=for
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Withers ^nns+nom++??+=Withers
was ^vbd+bedz+aux++=was
smoking ^vbg+++xvbgx+=smoking
a ^at++++=a
cigar ^nn++++=cigar
whose ^whp+rel+obj++=whose
odour ^nn++++=odour
suggested ^vbd+vpub++xvbn+=suggested
bilge ^nn+++??+=bilge
water ^nn++++=water,
, ^zz++++=EXTRAWORD
scorched ^xvbn+++xvbn+=scorched
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
reopening ^nn++++=reopening
of ^in++++=of
an ^at++++=an
ancient ^jj+atrb+++=ancient
family ^nn++++=family
vault ^nn++++=vault.
. ^zz++++=EXTRAWORD
Bellamy ^np++++=Bellamy
endured ^vwbn+++xvbn+=endured
it ^pp3+it+++=it
for ^in++++=for
several ^ap++++=several
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
Withers ^nns+nom++??+=Withers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
that ^dt+dem+++=that
thing ^nn++++=thing
alight ^jj++++=alight
by ^in++++=by
accident ^nn++++=accident,
, ^zz++++=EXTRAWORD
