# ^zz++++=#
Westward ^rb++++=WESTWARD
Glimpses ^nns++++=GLIMPSES
# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
privileges ^nns++++=privileges
of ^in++++=of
a ^at++++=a
traveler ^nn++++=traveler
in ^in++++=in
this ^dt+dem+++=this
country ^nn++++=country
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
may ^md+pos+++=may
sail ^vb++++=sail
westward ^rb++++=westward
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
and ^cc++++=and
find ^vb+vprv+++=find,
, ^zz++++=EXTRAWORD
before ^in++++=before
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
merely ^rb+down+++=merely
a ^at++++=a
new ^jj+atrb+++=new
landscape ^nn++++=landscape,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
new ^jj++++=new
order ^to++++=order
of ^in++++=of
society ^nn++++=society;
; ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
towns ^nns++++=towns
of ^in++++=of
America ^np++++=America,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
visions ^nns++++=visions
of ^in++++=of
an ^at++++=an
uneasy ^jj++++=uneasy
sleeper ^jjr++++=sleeper,
, ^zz++++=EXTRAWORD
rise ^vb++++=rise,
, ^zz++++=EXTRAWORD
enlarge ^vb++++=enlarge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
change ^nn++++=change
their ^pp$+pp3+++=their
character ^nn+nom+++=character
while ^cs+sub+++=while
one ^cd1++++=one
is ^vbz+bez+aux++=is
yet ^rb++splt++=yet
rubbing ^vbg+++xvbgx+=rubbing
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
to ^to++++=to
examine ^vbi++++=examine
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
A ^at++++=A
European ^jj+atrb+++=European
city ^nn++++=city,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
once ^rb+tm+splt++=once
seated ^vprf+++xvbnx+=seated
itself ^ppl++++=itself
comfortably ^rb++++=comfortably
upon ^in++++=upon
its ^pp$+it+++=its
foundations ^nns+nom+++=foundations,
, ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
resolved ^vbd+vsua++xvbn+=resolved
to ^to+vcmp+++=to
remain ^vbi++++=remain
there ^rn+pl+++=there
until ^in++++=until
the ^ati++++=the
day ^nn++++=day
of ^in++++=of
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
gathering ^vbg+++xvbg+=gathering
moss ^np++++=moss,
, ^zz++++=EXTRAWORD
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
municipal ^jj+atrb+++=municipal
abuses ^nns++++=abuses
with ^in++++=with
equal ^jj+atrb+++=equal
composure ^nn++++=composure;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
an ^at++++=an
American ^jj+atrb+++=American
settlement ^nn+nom+++=settlement
has ^vbz+hvz+aux++=has
no ^at++++=no
sooner ^rbr++++=sooner
put ^vbd+++xvbn+=put
up ^rb+phrv+++=up
a ^at++++=a
sign ^nn++++=sign-board
- ^zz++++=EXTRAWORD
board ^nn++++=EXTRAWORD
and ^cc++++=and
counted ^vbd+++xvbn+=counted
its ^pp$+it+++=its
chimneys ^nns++++=chimneys
than ^in++++=than
it ^pp3+it+++=it
begins ^vbz++++=begins
to ^to++++=to
speculate ^nn+nom+++=speculate
upon ^in++++=upon
becoming ^xvbg+++xvbg+=becoming
a ^at++++=a
metropolis ^nn++++=metropolis.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
came ^vbd+++xvbn+=came
to ^in++++=to
Burlington ^np+++??+=Burlington
in ^in++++=in
a ^at++++=a
skiff ^nn+++??+=skiff,
, ^zz++++=EXTRAWORD
a ^at++++=a
conveyance ^nn+nom+++=conveyance
which ^whp+rel+subj++=which
possesses ^nns+nom+++=possesses
this ^dt+dem+++=this
advantage ^nn+nom+++=advantage
over ^in++++=over
a ^at++++=a
larger ^jjr+atrb+++=larger
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
the ^ati++++=the
passenger ^nn+nom+++=passenger
is ^vbz+bez+aux++=is
left ^vpsv++agls+xvbnx+=left
in ^in++++=in
no ^at++++=no
doubt ^nn++++=doubt
as ^in++++=as
to ^in++++=to
his ^pp$+pp3+++=his
nearness ^nns+nom+++=nearness
to ^in++++=to
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Lake ^nn++++=Lake
Champlain ^np+++??+=Champlain
lay ^vbd+++xvbn+=lay
about ^rb++++=about
us ^pp1o+pp1+++=us
in ^in++++=in
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
serene ^jj+atrb+++=serene
moods ^nns++++=moods
which ^whp+rel+subj++=which
almost ^rb+hdg+++=almost
persuade ^vb++++=persuade
a ^at++++=a
man ^nn++++=man
that ^tht+rel+++=that
Nature ^nn++++=Nature
has ^vbz+hvz+vrb++=has
no ^at++++=no
temper ^nn++++=temper.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
faintly ^rb++++=faintly
clouded ^jj+++xvbn+=clouded
toward ^in++++=toward
the ^ati++++=the
north ^np+pl+++=north,
, ^zz++++=EXTRAWORD
bent ^j+++xvbn+=bent
over ^in++++=over
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
soft ^jj+atrb+++=soft
silver ^nn++++=silver;
; ^zz++++=EXTRAWORD
the ^ati++++=the
distant ^jj+atrb+++=distant
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
blue ^jj++++=blue
at ^rb++++=at
their ^pp$+pp3+++=their
bases ^nns++++=bases
and ^cc++++=and
melting ^nn++++=melting
upward ^jjb++++=upward
into ^in++++=into
a ^at++++=a
violet ^jj+atrb+++=violet
haze ^nn++++=haze,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
gaze ^vbi++++=gaze
over ^in++++=over
one ^cd1++++=one
another ^dt++++=another's
's ^vbz+bez+vrb++0=EXTRAWORD
shoulders ^nns+nom+++=shoulders
at ^in++++=at
the ^ati++++=the
little ^jj+atrb+++=little
commerce ^nn++++=commerce
of ^in++++=of
mankind ^nn++++=mankind;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
green ^nn++++=green
island ^nn++++=island,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
white ^jj+atrb+++=white
dwellings ^nns+nom+++=dwellings
visible ^jj++++=visible
among ^in++++=among
its ^pp$+it+++=its
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
rested ^j+++xvbn+=rested
upon ^in++++=upon
the ^ati++++=the
bosom ^nn++++=bosom
of ^in++++=of
the ^ati++++=the
lake ^npl++++=lake
as ^ql++++=as
tranquilly ^rb++++=tranquilly
as ^cs+sub+++=as
though ^cs+sub+++=though
no ^at++++=no
surveyor ^nn++++=surveyor
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
measured ^vprf+++xvbnx+=measured
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
no ^at++++=no
lawyer ^nn++++=lawyer
disputed ^vbd+++xvbn+=disputed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
legislator ^nn++++=legislator
thought ^vbd+++xvbn+=thought
of ^in++++=of
taxing ^xvbg+++xvbg+=taxing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
boatman ^nn++++=boatman
was ^vbd+bedz+vrb++=was
an ^at++++=an
inland ^jjb+atrb+++=inland
mariner ^nn++++=mariner
of ^in++++=of
considerable ^jj+atrb+++=considerable
confidence ^nn+nom+++=confidence
and ^cc++++=and
very ^ql+amp+++=very
little ^ap++++=little
salt ^jj++++=salt.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
an ^at++++=an
air ^nn++++=air
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
become ^vprf+++xvbn+=become
an ^at++++=an
admiral ^npt++++=admiral
entering ^vwbg+++xvbg+=entering
a ^at++++=a
hostile ^jj+atrb+++=hostile
harbor ^nn++++=harbor;
; ^zz++++=EXTRAWORD
though ^rb+cnj+++=though,
, ^zz++++=EXTRAWORD
to ^to++++=to
speak ^vbi++++=speak
truth ^nn++++=truth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
handling ^jj+++xvbg+=handling
of ^in++++=of
a ^at++++=a
skiff ^nn+++??+=skiff
upon ^in++++=upon
a ^at++++=a
quiet ^nn++++=quiet
lake ^nn++++=lake
resembles ^vbz++++=resembles
the ^ati++++=the
navigation ^nn+nom+++=navigation
of ^in++++=of
the ^ati++++=the
Atlantic ^np++++=Atlantic
about ^in++++=about
as ^ql++++=as
closely ^rb++++=closely
as ^in++++=as
a ^at++++=a
perch ^nn++++=perch
resembles ^vbz++++=resembles
a ^at++++=a
Newfoundland ^np++++=Newfoundland
cod ^nn++++=cod.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
nautical ^jj+atrb+++=nautical
words ^nns++++=words,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
contempt ^nn++++=contempt
for ^in++++=for
landsmen ^jj+++xvbn+=landsmen,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
weather ^nn++++=weather
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
certain ^jj+atrb+++=certain
habit ^nn++++=habit
of ^in++++=of
looking ^nn++++=looking
into ^in++++=into
the ^ati++++=the
wind ^nn++++=wind
with ^in++++=with
half ^abn++++=half-closed
- ^zz++++=EXTRAWORD
closed ^jj+atrb++xvbn+=EXTRAWORD
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
supplied ^vbd+++xvbn+=supplied,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
cheap ^jj+atrb+++=cheap
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
wanting ^vbg+++xvbgx+=wanting
of ^in++++=of
the ^ati++++=the
quarter ^nn++++=quarter-deck.
- ^zz++++=EXTRAWORD
deck ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
brought ^vbd+++xvbnx+=brought
us ^pp1o+pp1+++=us
