# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
What ^wdt+who+++=What
Would ^md+prd+++=Would
People ^vb++++=People
Say ^vb+vpub+++=Say?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
first ^rb++++=first
knew ^vbd+vprv++xvbn+=knew
Theodore ^np++++=Theodore
Baines ^np+++??+=Baines
at ^rb++++=at
school ^nn++++=school,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
a ^at++++=a
singularly ^rb++++=singularly
obliging ^jj+atrb+++=obliging
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
do ^vb+do+vrb++=do
almost ^rb+hdg+++=almost
anything ^pn++++=anything
rather ^rb++++=rather
than ^in++++=than
disappoint ^vb++++=disappoint
another ^dt++++=another
person ^nn++++=person's
's ^$++++=EXTRAWORD
idea ^nn++++=idea
of ^in++++=of
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
other ^ap++++=other
people ^nns++++=people's
's ^$++++=EXTRAWORD
ideas ^nns++++=ideas
were ^vbd+bed+vrb++=were
numerous ^jj+pred+++=numerous
and ^cc++++=and
generally ^rb+down+++=generally
uncomfortable ^jj++++=uncomfortable,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
life ^nn++++=life
was ^vbd+bedz+vrb++=was
active ^jj+pred+++=active.
. ^zz++++=EXTRAWORD
At ^rb++++=At
fourteen ^cd++++=fourteen
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
private ^jj+atrb+++=private
preference ^nn+nom+++=preference
for ^in++++=for
seed ^nn++++=seed-cake
- ^zz++++=EXTRAWORD
cake ^nn++++=EXTRAWORD
and ^cc++++=and
ginger ^nn++++=ginger-beer.
- ^zz++++=EXTRAWORD
beer ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
senior ^jj+atrb+++=senior
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
smoked ^jj+atrb++xvbn+=smoked
shag ^nn+++??+=shag
tobacco ^nn++++=tobacco
behind ^in+pl+++=behind
the ^ati++++=the
fives ^nns++++=fives
court ^nn++++=court,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Theodore ^np++++=Theodore
felt ^vbd+vprv+tht0+xvbn+=felt
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
discourteous ^jj+pred+++=discourteous
to ^to++++=to
remain ^vbi++++=remain
healthy ^jj++++=healthy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
discovered ^vbd+vprv++xvbnx+=discovered
him ^pp3o+pp3+++=him
there ^rn+pl+++=there
one ^cd1++++=one
evening ^nn++++=evening
leaning ^vwbg+++xvbg+=leaning
against ^in++++=against
the ^ati++++=the
wall ^nn++++=wall
with ^in++++=with
a ^at++++=a
clay ^nn++++=clay
pipe ^nn++++=pipe
in ^in++++=in
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
greenish ^jj+atrb+++=greenish
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
much ^ap++++=much,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
an ^at++++=an
interval ^nn+nom+++=interval
devoted ^vbd+++xvbn+=devoted
to ^to++++=to
controlling ^vbi+nom++xvbg+=controlling
his ^pp$+pp3+++=his
features ^nns++++=features.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
soothing ^jj+pred+++=soothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
behind ^in+pl+++=behind
a ^at++++=a
water ^nn++++=water-butt
- ^zz++++=EXTRAWORD
butt ^nn++++=EXTRAWORD
and ^cc++++=and
was ^vbd+bedz+vrb++=was
ill ^jj+pred+++=ill.
. ^zz++++=EXTRAWORD
The ^ati++++=The
older ^jjr+atrb+++=older
boys ^nns++++=boys
commended ^vbd+++xvbn+=commended
his ^pp$+pp3+++=his
spirit ^nn++++=spirit
and ^cc++++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
beer ^nn++++=beer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
disliked ^vbd+++xvbnx+=disliked
beer ^nn++++=beer
even ^rb++++=even
more ^rbr++++=more
than ^in++++=than
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
drank ^vbd+++xvbn+=drank
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
expression ^nn++++=expression
of ^in++++=of
gloomy ^jj+atrb+++=gloomy
resolution ^nn+nom+++=resolution.
. ^zz++++=EXTRAWORD
On ^in++++=On
returning ^nn++++=returning
to ^in++++=to
the ^ati++++=the
dormitory ^nn++++=dormitory
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
lie ^vbi++++=lie
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bed ^nn++++=bed
appearing ^vb+seem++xvbg+=appearing
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
explained ^vbd+vpub++xvbnx+=explained,
, ^zz++++=EXTRAWORD
dangerously ^rb++++=dangerously
mobile ^jj++++=mobile.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
must ^md+nec+++=must,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered.
. ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
decent ^jj+atrb+++=decent
fellows ^nns++++=fellows
smoke ^nn++++=smoke."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
that ^cs+sub+++=that
Wilkins ^np+++??+=Wilkins
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="Wilkins
wilkins ^np++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
asthma ^nn++++=asthma,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Theodore ^np++++=Theodore.
. ^zz++++=EXTRAWORD
" ^zz++++="That
