# ^zz++++=##
# ^zz++++=EXTRAWORD
A ^at++++=A
Guest ^nn++++=Guest
at ^rb++++=at
Wragg ^np++++=Wragg's
's ^$++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wragg ^np++++=Wragg's
's ^$++++=EXTRAWORD
cottage ^npl+nom+++=cottage
stood ^vbd+++xvbn+=stood
halfway ^rb++++=halfway
up ^rp++++=up
the ^ati++++=the
steep ^jj+atrb+++=steep
road ^nn++++=road
from ^in++++=from
Bellwick ^np+++??+=Bellwick
Harbour ^nn++++=Harbour,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
could ^md+pos+++=could
obtain ^vb++++=obtain
smoke ^nn++++=smoke
from ^in++++=from
the ^ati++++=the
chimneys ^nns++++=chimneys
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
tar ^nn++++=tar
from ^in++++=from
the ^ati++++=the
boats ^nns++++=boats
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
piece ^nn++++=piece
of ^in++++=of
news ^nn++++=news
before ^cs+sub+++=before
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
fifty ^cd++++=fifty
yards ^nns++++=yards
in ^in++++=in
either ^dtx++++=either
direction ^nn+nom+++=direction.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
narrow ^jj+atrb+++=narrow
house ^npl++++=house,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
brass ^nn++++=brass
knocker ^jjr++++=knocker
too ^ql++++=too
large ^jj++++=large
for ^in++++=for
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
two ^cd++++=two
front ^jjb+atrb+++=front
windows ^nns++++=windows
which ^whp+rel+obj++=which
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Wragg ^np++++=Wragg
cleaned ^vwbn+++xvbn+=cleaned
every ^at++++=every
Saturday ^nr++++=Saturday
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
through ^in++++=through
during ^in++++=during
the ^ati++++=the
remainder ^nn+nom+++=remainder
of ^in++++=of
the ^ati++++=the
week ^nn++++=week.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
looking ^vbg+++xvbgx+=looking
through ^in++++=through
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
when ^wrb+who+++=when
George ^np++++=George
Gale ^nn++++=Gale
came ^vbd+++xvbn+=came
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
harbour ^nn++++=harbour
carrying ^vwbg+++xvbg+=carrying
one ^cd1++++=one
end ^nn++++=end
of ^in++++=of
a ^at++++=a
sea ^nn++++=sea-chest.
- ^zz++++=EXTRAWORD
chest ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ned ^np+++??+=Ned
Harris ^np++++=Harris
carried ^vbd+++xvbn+=carried
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sam ^nn++++=Sam
Brown ^np++++=Brown
walked ^vbd+++xvbn+=walked
behind ^in+pl+++=behind
offering ^xvbg+++xvbg+=offering
advice ^nn++++=advice.
. ^zz++++=EXTRAWORD
" ^zz++++="Lift
lift ^nn++++=EXTRAWORD
your ^pp$+pp2+++=your
end ^nn++++=end,
, ^zz++++=EXTRAWORD
