# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Last ^rb++++=LAST
Throw ^vb++++=THROW
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
ball ^nn++++=ball
games ^nns++++=games
a ^at++++=a
man ^nn++++=man
remembers ^nns+nom+++=remembers
by ^in++++=by
a ^at++++=a
score ^nn++++=score
in ^in++++=in
the ^ati++++=the
record ^nn++++=record
book ^nn++++=book,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
others ^aps++++=others
that ^cs+sub+++=that
come ^vprf+++xvbn+=come
back ^jjb++++=back
to ^in++++=to
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
night ^nn++++=night
with ^in++++=with
every ^at++++=every
face ^nn++++=face,
, ^zz++++=EXTRAWORD
every ^at++++=every
shout ^vb++++=shout,
, ^zz++++=EXTRAWORD
every ^at++++=every
white ^jj+atrb+++=white
flash ^nn++++=flash
of ^in++++=of
the ^ati++++=the
ball ^nn++++=ball
as ^ql++++=as
plain ^nn++++=plain
as ^ql++++=as
on ^in++++=on
the ^ati++++=the
day ^nn++++=day
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
played ^vpsv++agls+xvbnx+=played.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
last ^rb++++=last
game ^nn++++=game
with ^in++++=with
Buffalo ^np+++??+=Buffalo
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
latter ^ap++++=latter
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
all ^abn++++=all
season ^nn++++=season
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
lame ^jj++++=lame,
, ^zz++++=EXTRAWORD
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
patched ^jj++++=patched
with ^in++++=with
tape ^nn++++=tape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
weary ^jj++++=weary
enough ^qlp++++=enough
to ^to++++=to
sleep ^vbi++++=sleep
standing ^nvbg+++xvbg+=standing.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
more ^rbr++++=more
victory ^nn++++=victory
meant ^vbd+vprv++xvbn+=meant
the ^ati++++=the
pennant ^nn+nom+++=pennant.
. ^zz++++=EXTRAWORD
Defeat ^vb++++=Defeat
meant ^vbd+vprv++xvbn+=meant
that ^tht+vcmp+++=that
the ^ati++++=the
long ^rb++++=long
fight ^nn++++=fight
