It ^pp3+it+++=It
really ^rb+emph+++=really
was ^vbd+bedz+vrb++=was
most ^ql+emph+++=most
unfortunate ^jj++++=unfortunate.
. ^zz++++=EXTRAWORD
Peggy ^np++++=Peggy's
's ^$++++=EXTRAWORD
temperature ^nn++++=temperature
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
to ^in++++=to
a ^at++++=a
hundred ^cd++++=hundred
and ^cc++++=and
three ^cd++++=three;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
sick ^jj++++=sick
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
complained ^vpsv++agls+xvbn+=complained
of ^in++++=of
a ^at++++=a
pain ^nn++++=pain
in ^in++++=in
her ^pp$+pp3+++=her
right ^jj+atrb+++=right
side ^nn++++=side.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Workington ^np++++=Workington
Bancroft ^np++++=Bancroft,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
passed ^vprf+++xvbnx+=passed
six ^cd++++=six
weeks ^nns++++=weeks
in ^in++++=in
a ^at++++=a
nursing ^nn++++=nursing
home ^nr++++=home
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
possessed ^jj+atrb++xvbn+=possessed
medical ^jj+atrb+++=medical
instincts ^nns++++=instincts,
, ^zz++++=EXTRAWORD
pronounced ^j+++xvbn+=pronounced
the ^ati++++=the
case ^nn++++=case
appendicitis ^nn++++=appendicitis.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
only ^rb+down+++=only
Sir ^npt++++=Sir
James ^np++++=James
had ^vb+hv+aux++=had
not ^xnot++not++=not
gone ^vprf+++xvbn+=gone
back ^jjb++++=back
to ^in++++=to
Liverpool ^np++++=Liverpool!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
James ^np++++=James
Pritchard ^np++++=Pritchard
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
staying ^vbg+++xvbgx+=staying
at ^rb++++=at
Brackenrigg ^np+++??+=Brackenrigg
Farm ^nn++++=Farm,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
miles ^nns++++=miles
across ^in+pl+++=across
the ^ati++++=the
moor ^npl++++=moor.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
that ^dt+dem+++=that
morning ^nn++++=morning
or ^cc++++=or
intended ^vb+++xvbn+=intended
to ^to+vcmp+++=to
go ^vbi++++=go
on ^in++++=on
the ^ati++++=the
morrow ^nn++++=morrow
nobody ^pn++++=nobody
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
The ^ati++++=The
telephone ^nn++++=telephone,
, ^zz++++=EXTRAWORD
installed ^xvbn+++xvbn+=installed
chiefly ^rb++++=chiefly
to ^to++++=to
impress ^nns+nom+++=impress
visitors ^nns++++=visitors,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
working ^jj+++xvbg+=working
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
