Once ^rb+tm+++=Once
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
milkmaid ^nn+++??+=milkmaid
named ^vbd+++xvbn+=named
Drusilla ^np+++??+=Drusilla,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
with ^in+ppvb+++=with
her ^pp3o+pp3+++=her
father ^npt++++=father
in ^in++++=in
a ^at++++=a
cottage ^nn+nom+++=cottage
at ^rb++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
prettiest ^jjt+atrb+++=prettiest
meadow ^nn++++=meadow
you ^pp2+pp2+++=you
ever ^rb++++=ever
saw ^vbd+vprv++xvbn+=saw.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cottage ^nn+nom+++=cottage
had ^vb+hv+vrb++=had
a ^at++++=a
green ^jj+atrb+++=green
door ^nn++++=door,
, ^zz++++=EXTRAWORD
two ^cd++++=two
little ^jj+atrb+++=little
windows ^nns++++=windows
curtained ^vbd+++xvbn+=curtained
with ^in++++=with
white ^jj+atrb+++=white
dimity ^nn++++=dimity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
roof ^nn++++=roof
so ^rb++++=so
thickly ^rb++++=thickly
thatched ^jj++++=thatched
that ^cs+sub+++=that
moss ^np++++=moss
and ^cc++++=and
yellow ^jj+atrb+++=yellow
stonecrop ^nn+++??+=stonecrop
grew ^vbd+++xvbn+=grew
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
A ^at++++=A
pink ^jj+atrb+++=pink
rose ^nn+++xvbn+=rose
climbed ^vbd+++xvbn+=climbed
over ^in++++=over
the ^ati++++=the
chimney ^nn++++=chimney
and ^cc++++=and
dropped ^vbd+++xvbn+=dropped
its ^pp$+it+++=its
petals ^nns++++=petals
down ^in++++=down
the ^ati++++=the
chimney ^nn++++=chimney-pot
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
whenever ^nn+nom+++=whenever
the ^ati++++=the
wind ^nn++++=wind
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sometimes ^rb++++=sometimes
made ^xvbn+++xvbn+=made
Drusilla ^np++++=Drusilla's
's ^$++++=EXTRAWORD
father ^nn++++=father
sneeze ^nn+++??+=sneeze
at ^rb++++=at
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
the ^ati++++=the
cottage ^npl+nom+++=cottage
stood ^vbd+++xvbn+=stood
six ^cd++++=six
beehives ^nns++++=beehives,
, ^zz++++=EXTRAWORD
a ^at++++=a
crooked ^jj+atrb+++=crooked
apple ^nn++++=apple
tree ^nn++++=tree,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
shed ^jj+++xvbn+=shed
containing ^jj+++xvbg+=containing
a ^at++++=a
wheelbarrow ^nn++++=wheelbarrow,
, ^zz++++=EXTRAWORD
three ^cd++++=three
rakes ^nns++++=rakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
very ^ql+amp+++=very
remarkable ^jj+atrb+++=remarkable
cow ^nn++++=cow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
white ^jj++++=white
whiter ^jjr++++=whiter
than ^in++++=than
cream ^nn++++=cream,
, ^zz++++=EXTRAWORD
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
court ^nn++++=court
lady ^npt++++=lady's
's ^$++++=EXTRAWORD
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
her ^pp$+pp3+++=her
horns ^nns++++=horns
were ^vbd+bed+vrb++=were
of ^in++++=of
solid ^jj+atrb+++=solid
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
soft ^jj+pred+++=soft
and ^cc++++=and
brown ^np++++=brown,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hoofs ^nns++++=hoofs
polished ^jj++++=polished
like ^in++++=like
