Purple ^jj++++=Purple,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
perceive ^vb+vprv+++=perceive,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
merely ^rb+down+++=merely
a ^at++++=a
color ^nn++++=color.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
proclamation ^nn+nom+++=proclamation.
. ^zz++++=EXTRAWORD
Emperors ^nns++++=Emperors
have ^vb+hv+aux++=have
employed ^vprf+++xvbnx+=employed
it ^pp3+it+++=it
to ^to++++=to
distinguish ^vbi++++=distinguish
themselves ^ppls+pp3+++=themselves
from ^in++++=from
grocers ^nns+nom+++=grocers;
; ^zz++++=EXTRAWORD
bishops ^npt++++=bishops
have ^vb+hv+aux++=have
found ^vprf+++xvbnx+=found
it ^pp3+it+++=it
useful ^jj++++=useful;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ladies ^nns++++=ladies
with ^in++++=with
accounts ^nns++++=accounts
at ^rb++++=at
fashionable ^jj+atrb+++=fashionable
establishments ^nns+nom+++=establishments
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
a ^at++++=a
purple ^jj+atrb+++=purple
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
properly ^rb++++=properly
cut ^nn+++xvbn+=cut,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
convert ^vb++++=convert
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
entrance ^nn+nom+++=entrance
into ^in++++=into
a ^at++++=a
historical ^jj+atrb+++=historical
event ^nn++++=event.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
emperors ^nns++++=emperors
do ^vb+do+aux++=do
not ^xnot++not++=not
save ^vb++++=save
ten ^cd++++=ten
cents ^nns++++=cents
by ^in++++=by
declining ^xvbg+++xvbg+=declining
pie ^nn++++=pie
at ^in++++=at
luncheon ^nn++++=luncheon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bishops ^nns++++=bishops
seldom ^rb++++=seldom
stitch ^nn++++=stitch
shirtwaists ^nns+nom+++=shirtwaists
ten ^cd++++=ten
hours ^nns++++=hours
a ^at++++=a
day ^nn++++=day
beneath ^in+pl+++=beneath
electric ^jj+atrb+++=electric
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
neither ^dt++neg++=neither
can ^md+pos+++=can
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
purple ^jj++++=purple
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
Maida ^vb+++??+=Maida
Flynn ^np+++??+=Flynn.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You,
, ^zz++++=EXTRAWORD
madam ^npt++++=madam,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
summon ^vb++++=summon
six ^cd++++=six
gowns ^nns++++=gowns
and ^cc++++=and
dismiss ^vb++++=dismiss
five ^cd++++=five
because ^cs+cos+++=because
the ^ati++++=the
sleeves ^nns++++=sleeves
possess ^nns+nom+++=possess
insufficient ^jj+atrb+++=insufficient
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
listen ^vb++++=listen
but ^cc++++=but
you ^pp2+pp2+++=you
cannot ^md+pos+not++=cannot
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
quite ^rb++++=quite.
. ^zz++++=EXTRAWORD
Maida ^np+++??+=Maida
worked ^vbd+++xvbn+=worked
in ^in++++=in
Bachman ^np++++=Bachman's
's ^$++++=EXTRAWORD
store ^nn++++=store,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
ready ^jj++++=ready-made
- ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=EXTRAWORD
