At ^rb++++=At
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
the ^ati++++=the
bronze ^jj+atrb+++=bronze
clock ^nn++++=clock
upon ^in++++=upon
the ^ati++++=the
mantel ^nn+++??+=mantel
began ^vbd+++xvbn+=began
to ^to++++=to
strike ^vbi++++=strike.
. ^zz++++=EXTRAWORD
Governor ^npt++++=Governor
John ^np++++=John
Morrison ^np++++=Morrison
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
head ^jjb++++=head
at ^in++++=at
the ^ati++++=the
first ^od++++=first
slow ^vb++++=slow
note ^nn++++=note
and ^cc++++=and
kept ^vbd+++xvbn+=kept
it ^pp3+it+++=it
raised ^vbd+++xvbn+=raised
until ^cs+sub+++=until
the ^ati++++=the
last ^jj+atrb+++=last
vibration ^nn+nom+++=vibration
had ^vbd+hvd+aux++=had
died ^vprf+++xvbnx+=died
in ^in++++=in
the ^ati++++=the
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
ceremonial ^jj+atrb+++=ceremonial
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
desk ^nn++++=desk
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
clear ^jj+pred+++=clear.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
days ^nns++++=days
his ^pp$+pp3+++=his
secretaries ^npt++++=secretaries
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
emptying ^vbg+++xvbgx+=emptying
drawers ^nns+nom+++=drawers,
, ^zz++++=EXTRAWORD
sorting ^nvbg+++xvbg+=sorting
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
away ^rp+pl+++=away
the ^ati++++=the
personal ^jj+atrb+++=personal
records ^nns++++=records
of ^in++++=of
four ^cd++++=four
years ^nns++++=years.
. ^zz++++=EXTRAWORD
The ^ati++++=The
photographs ^nns++++=photographs
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
into ^in++++=into
a ^at++++=a
black ^jj+atrb+++=black
case ^nn++++=case;
; ^zz++++=EXTRAWORD
the ^ati++++=the
silver ^nn++++=silver
inkstand ^nn+++??+=inkstand
presented ^vwbn+++xvbn+=presented
by ^in++++=by
the ^ati++++=the
County ^nn++++=County
Chairmen ^np++++=Chairmen's
's ^$++++=EXTRAWORD
Association ^nn+nom+++=Association
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
wrapped ^vpsv++agls+xvbnx+=wrapped
in ^in++++=in
paper ^nn++++=paper;
; ^zz++++=EXTRAWORD
even ^rb++++=even
the ^ati++++=the
framed ^jj+atrb++xvbn+=framed
portrait ^nn++++=portrait
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
a ^at++++=a
pale ^jj++++=pale
oblong ^jj++++=oblong
upon ^in++++=upon
the ^ati++++=the
dark ^jj+atrb+++=dark
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
remained ^vprf+++xvbn+=remained
only ^rb+down+++=only
a ^at++++=a
blotter ^jjr++++=blotter,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pens ^nns++++=pens,
, ^zz++++=EXTRAWORD
the ^ati++++=the
seal ^nn++++=seal
of ^in++++=of
the ^ati++++=the
State ^nn++++=State,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
right ^jj++++=right-hand
- ^zz++++=EXTRAWORD
hand ^nn++++=EXTRAWORD
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
a ^at++++=a
square ^jj+atrb+++=square
bundle ^nn++++=bundle
of ^in++++=of
documents ^nns+nom+++=documents
tied ^vbd+++xvbn+=tied
with ^in++++=with
red ^jj+atrb+++=red
tape ^nn++++=tape.
. ^zz++++=EXTRAWORD
