We ^pp1a+pp1+++=We
rejoice ^vb++++=rejoice
to ^to++++=to
announce ^vbi+vpub+++=announce
speaking ^vbg+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
invariably ^rb++++=invariably
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
whole ^jj+atrb+++=whole
human ^jj+atrb+++=human
race ^nn++++=race,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
mean ^vb+vprv+++=mean,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
portions ^nns+nom+++=portions
of ^in++++=of
it ^pp3+it+++=it
wearing ^vbg+++xvbg+=wearing
our ^pp$+pp1+++=our
colours ^nns++++=colours,
, ^zz++++=EXTRAWORD
drinking ^vbg+++xvbg+=drinking
at ^rb++++=at
our ^pp$+pp1+++=our
public ^jj+atrb+++=public
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prepared ^jj+++xvbn+=prepared
to ^to+jcmp+++=to
knock ^vbi++++=knock
down ^rb+phrv+++=down
anybody ^pn++++=anybody
who ^whp+who+++=who
differs ^nns+nom+++=differs
from ^in++++=from
us ^pp1o+pp1+++=us
that ^cs+sub+++=that
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
has ^vbz+hvz+vrb++=has
once ^rb+tm+++=once
more ^ql++++=more
been ^jj+jj+aux+xvbn+=been
returned ^vpsv++agls+xvbnx+=returned
to ^in++++=to
Parliament ^nn+nom+++=Parliament
as ^in++++=as
the ^ati++++=the
free ^jj+atrb+++=free
and ^cc+phrs+++=and
independent ^jj+atrb+++=independent
member ^nn++++=member
for ^in++++=for
Verbosity ^np+nom++??+=Verbosity.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
victories ^nns++++=victories
which ^whp+rel+subj++=which
affect ^vb++++=affect
a ^at++++=a
borough ^nn++++=borough;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
victories ^nns++++=victories
which ^whp+rel+subj++=which
affect ^vb++++=affect
an ^at++++=an
empire ^nn++++=empire;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
victories ^nns++++=victories
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
beyond ^in++++=beyond
the ^ati++++=the
narrow ^jj+atrb+++=narrow
limits ^nns++++=limits
of ^in++++=of
geography ^nn++++=geography,
, ^zz++++=EXTRAWORD
arithmetic ^nn++++=arithmetic,
, ^zz++++=EXTRAWORD
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
common ^jj+atrb+++=common
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
illuminate ^nn+nom+++=illuminate
the ^ati++++=the
illimitable ^jj+atrb+++=illimitable
perspective ^nn++++=perspective
of ^in++++=of
mankind ^nn++++=mankind.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
majority ^nn+nom+++=majority
of ^in++++=of
sixty ^cd++++=sixty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
eighty ^cd++++=eighty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
include ^vb++++=include
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absent ^jj++++=absent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Gubbins ^np++++=Gubbins,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
voted ^vbd+++xvbn+=voted
four ^cd++++=four
times ^nns++++=times
under ^in++++=under
a ^at++++=a
misapprehension ^nn+++??+=misapprehension,
, ^zz++++=EXTRAWORD
belongs ^vbz++++=belongs
emphatically ^rb++++=emphatically
to ^in++++=to
the ^ati++++=the
last ^ap++++=last
and ^cc++++=and
noblest ^jjt+atrb+++=noblest
class ^nn++++=class.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
maliciously ^rb++splt++=maliciously
urged ^vpsv++agls+xvbn+=urged
against ^in++++=against
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
voted ^vprf+++xvbnx+=voted
both ^abx++++=both
for ^in++++=for
and ^cc++++=and
against ^in++++=against
the ^ati++++=the
same ^ap++++=same
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
further ^jjb++++=further
alleged ^vb+++xvbn+=alleged
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
declared ^vprf+++xvbnx+=declared
the ^ati++++=the
Bill ^nn++++=Bill
to ^to++++=to
be ^vbi++vrb++=be
at ^rb++++=at
once ^rb"+tm+++=once
the ^ati++++=the
Charter ^np+++??+=Charter
of ^in++++=of
National ^jj+atrb+++=National
Salvation ^nn+nom+++=Salvation
and ^cc++++=and
the ^ati++++=the
Funeral ^nn++++=Funeral
Warrant ^nn+nom+++=Warrant
of ^in++++=of
English ^jj+atrb+++=English
Liberty ^nn++++=Liberty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
demonstrated ^vpsv++agls+xvbnx+=demonstrated
from ^in++++=from
printed ^xvbn+++xvbn+=printed
reports ^nns++++=reports
that ^tht+ncmp+++=that
on ^rp++++=on
Monday ^nr++++=Monday
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
the ^ati++++=the
measure ^vb++++=measure
as ^ql++++=as
indispensable ^jj++++=indispensable,
