Superstitious ^jj+atrb+++=Superstitious
people ^nns++++=people,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
night ^nn++++=night-watchman,
- ^zz++++=EXTRAWORD
watchman ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
lowering ^vbg+++xvbg+=lowering
his ^pp$+pp3+++=his
voice ^nn++++=voice
and ^cc++++=and
looking ^vbg+++xvbg+=looking
hard ^jj++++=hard
at ^rb++++=at
the ^ati++++=the
black ^jj+atrb+++=black
cat ^nn++++=cat
by ^in++++=by
the ^ati++++=the
warehouse ^nn++++=warehouse
door ^nn++++=door,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
mostly ^rb++++=mostly
people ^nns++++=people
wot ^wpr++++=wot
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
know ^vb+vprv+++=know
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
Sailormen ^np+++??+=Sailormen
is ^vbz+bez+vrb++=is
the ^ati++++=the
worst ^jjt++++=worst,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
landsmen ^vprf+++xvbn+=landsmen
as ^ql++++=as
could ^md+pos+++=could
give ^vb++++=give
them ^pp3o+pp3+++0='em
points ^nns++++=points
and ^cc++++=and
beat ^nn+++xvbn+=beat
them ^pp3o+pp3+++0='em
easy ^jj++++=easy.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
a ^at++++=a
carpenter ^nn+nom+++=carpenter
once ^rb+tm+++=once
as ^ql++++=as
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
drive ^vb++++=drive
the ^ati++++=the
last ^rb++++=last
nail ^vb++++=nail
into ^in++++=into
a ^at++++=a
coffin ^nn++++=coffin
on ^in++++=on
a ^at++++=a
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
was ^vbd+bedz+aux++=was
to ^to++++=to
offer ^vb++++=offer
' ^zz++++='im
im ^&fw++++=EXTRAWORD
overtime ^nn++++=overtime;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++0=he'd
'd ^md+prd+vrb++=EXTRAWORD
walk ^nn++++=walk
under ^in++++=under
ladders ^nns+nom+++=ladders
all ^abn++++=all
day ^nn++++=day
without ^in++++=without
turning ^xvbg+++xvbg+=turning
a ^at++++=a
hair ^nn++++=hair.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
shows ^vbz+vprv+tht0++=shows
you ^pp2+pp2+++=you
wot ^wpr++++=wot
superstition ^nn+nom+++=superstition
is ^vbz+bez+vrb++=is.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+aux++0=EXTRAWORD
knowing ^vbg+vprv++xvbgx+=knowing
where ^wrb+who+whcl++=where
to ^to++++=to
draw ^vbi++++=draw
the ^ati++++=the
line ^nn++++=line.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cat ^nn++++=cat
got ^vbd+++xvbn+=got
up ^rp++++=up,
, ^zz++++=EXTRAWORD
stretched ^xvbn+++xvbn+=stretched
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vpsv++agls+xvbn+=came
towards ^in++++=towards
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Git
git ^np++++=EXTRAWORD
away ^rp+pl+++=away,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
watchman ^nn+nom+++=watchman,
, ^zz++++=EXTRAWORD
without ^in++++=without
looking ^xvbg+++xvbg+=looking
at ^rb++++=at
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^nn++++=mind
cats ^nns++++=cats,
, ^zz++++=EXTRAWORD
black ^jj++++=black
or ^cc++++=or
any ^dti++++=any
other ^ap++++=other
colour ^nn++++=colour.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
this ^dt+dem+++=this
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
got ^vbd+++xvbn+=got
no ^at++++=no
business ^nns+nom+++=business
' ^zz++++='ere."
ere ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shifted ^vbd+++xvbnx+=shifted
his ^pp$+pp3+++=his
stool ^nn++++=stool
a ^rb++++=a
little ^rb"++++=little
farther ^rbr++++=farther
from ^in++++=from
the ^ati++++=the
warehouse ^nn++++=warehouse
door ^nn++++=door
and ^cc++++=and
folded ^vbd+++xvbn+=folded
his ^pp$+pp3+++=his
arms ^nns++++=arms.
. ^zz++++=EXTRAWORD
" ^zz++++="I've
i ^pp1a+pp1+++=EXTRAWORD
've ^vb+hv+vrb++0=EXTRAWORD
' ^zz++++='eard,"
eard ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
