In ^in++++=In
the ^ati++++=the
spring ^nn++++=spring
of ^in++++=of
1774 ^cd+date+++=1774,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
forests ^nns++++=forests
of ^in++++=of
Ohio ^np+++??+=Ohio
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
broad ^jj+pred+++=broad
enough ^qlp++++=enough
to ^to++++=to
swallow ^vbi++++=swallow
the ^ati++++=the
roads ^nns++++=roads
of ^in++++=of
the ^ati++++=the
white ^jj+atrb+++=white
man ^nn++++=man
and ^cc++++=and
hide ^vb++++=hide
the ^ati++++=the
villages ^nns+nom+++=villages
of ^in++++=of
a ^at++++=a
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
many ^ap++++=many
tribes ^nns++++=tribes
dwelling ^vwbg+++xvbg+=dwelling
between ^in++++=between
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
the ^ati++++=the
lakes ^nns++++=lakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
ancient ^jj+atrb+++=ancient
causes ^nns++++=causes
of ^in++++=of
jealousy ^nn++++=jealousy
among ^in++++=among
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Iroquois ^np+++??+=Iroquois
and ^cc++++=and
the ^ati++++=the
Algonquin ^np+++??+=Algonquin
peoples ^nns++++=peoples
had ^vb+hv+aux++=had
not ^xnot++not++=not
forgotten ^vprf+++xvbn+=forgotten
their ^pp$+pp3+++=their
former ^ap++++=former
wars ^nns++++=wars;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Shawnees ^nns+nom++??+=Shawnees
distrusted ^vbd+++xvbn+=distrusted
the ^ati++++=the
Mingos ^np+++??+=Mingos,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Delawares ^np+++??+=Delawares
remembered ^vwbn+vprv++xvbn+=remembered
injuries ^nns++++=injuries
from ^in++++=from
both ^abx++++=both,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
