Bullies ^nns++++=BULLIES,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
the ^ati++++=the
night ^nn++++=night-watchman,
- ^zz++++=EXTRAWORD
watchman ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
folding ^jj++++=folding
his ^pp$+pp3+++=his
arms ^nns++++=arms
on ^in++++=on
the ^ati++++=the
gate ^nn++++=gate
and ^cc++++=and
looking ^vbg+++xvbg+=looking
over ^in++++=over
the ^ati++++=the
dark ^jj+atrb+++=dark
river ^nn++++=river,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
men ^nns++++=men
wot ^wpr++++=wot
would ^md+prd+++=would
be ^vb+be+vrb++=be
very ^ql+amp+++=very
pleasant ^jj+atrb+++=pleasant
company ^nn++++=company
if ^cs+cnd+++=if
everybody ^pn++++=everybody
else ^rb+cnj+++=else
was ^vbd+bedz+vrb++=was
twice ^rb++++=twice
their ^pp$+pp3+++=their
size ^nn++++=size.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
no ^at++++=no
' ^zz++++='arm,
arm ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
really ^rb+emph+++=really.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
only ^rb+down+++=only
their ^pp$+pp3+++=their
high ^jj+atrb+++=high
spirits ^nns++++=spirits.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
known ^vprf+++xvbnx+=known
a ^at++++=a
man ^nn++++=man
with ^in++++=with
such ^abl++++=such
high ^jj+atrb+++=high
spirits ^nns++++=spirits
that ^tht+rel+obj++=that
it ^pp3+it+++=it
took ^vbd+++xvbn+=took
six ^cd++++=six
policemen ^nns++++=policemen
to ^to++++=to
get ^vbi++++=get
them ^pp3o+pp3+++0='em
into ^in++++=into
a ^at++++=a
cab ^nn++++=cab.
. ^zz++++=EXTRAWORD
Shipboard ^nn++++=Shipboard
is ^vbz+bez+vrb++=is
where ^wrb+who+++=where
a ^at++++=a
bully ^nn++++=bully
gets ^vbz++++=gets
his ^pp$+pp3+++=his
best ^jjt+atrb+++=best
chance ^nn++++=chance.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
street ^npl++++=street-corner
- ^zz++++=EXTRAWORD
corner ^npl++++=EXTRAWORD
to ^to++++=to
turn ^vbi++++=turn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
back ^rp++++=back-door
- ^zz++++=EXTRAWORD
door ^nn++++=EXTRAWORD
to ^to++++=to
slip ^vbi++++=slip
out ^rp+pl+++=out
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
mate ^nn++++=mate
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vb++++=EXTRAWORD
' ^zz++++='ere,"
ere ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you've
've ^md"++pmd"++0=EXTRAWORD
got ^vb++pmd"+xvbnx+=got
to ^to+vcmp+pmd++=to
come ^vb++++=come,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
busy ^jj+pred+++=busy,
, ^zz++++=EXTRAWORD
asleep ^jj++++=asleep,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
dead ^jj++++=dead.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew
one ^cd1++++=one
second ^od++++=second
mate ^nn++++=mate
as ^cs+sub+++=as
found ^vbd+vprv++xvbn+=found
fault ^npl++++=fault
with ^in++++=with
a ^at++++=a
hand ^nn++++=hand
for ^in++++=for
dying ^xvbg+++xvbg+=dying
in ^in++++=in
his ^pp$+pp3+++=his
watch ^nn++++=watch.
. ^zz++++=EXTRAWORD
Said ^j+++xvbn+=Said
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
shirking ^vbg+++xvbgx+=shirking.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
pride ^nn++++=pride
is ^vbz+bez+vrb++=is
a ^at++++=a
useful ^jj+atrb+++=useful
thing ^nn++++=thing
in ^in++++=in
a ^at++++=a
bully ^nn++++=bully.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
for ^in++++=for
pride ^nn++++=pride,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
