Moonlight ^nn++++=Moonlight
touches ^nns++++=touches
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
at ^in++++=at
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
Friday ^nr++++=Friday
Street ^nn++++=Street
one ^cd1++++=one
pale ^jj+atrb+++=pale
finger ^nn++++=finger
on ^in++++=on
a ^at++++=a
russet ^jj+atrb+++=russet
sleeve ^nn++++=sleeve
and ^cc++++=and
loses ^vbz++++=loses
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Flowing ^vbg+++xvbg+=Flowing
Boots ^nns++++=Boots
follow ^vb+vprv+++=follow.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
come ^vb++++=come
in ^in++++=in
thunderous ^jj+atrb+++=thunderous
pairs ^nns++++=pairs:
: ^zz++++=EXTRAWORD
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
steel ^nn++++=steel,
, ^zz++++=EXTRAWORD
breath ^nn++++=breath,
, ^zz++++=EXTRAWORD
oath ^nn++++=oath;
; ^zz++++=EXTRAWORD
first ^rb++++=first
one ^cd1++++=one
gentleman ^nn+nom+++=gentleman
with ^in++++=with
a ^at++++=a
torn ^jj+atrb++xvbn+=torn
plume ^nn++++=plume,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
another ^dt++++=another
with ^in++++=with
blood ^nn++++=blood
shining ^vwbg+++xvbg+=shining
black ^jj++++=black
upon ^in++++=upon
his ^pp$+pp3+++=his
cheek ^nn++++=cheek.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
rapiers ^nns+nom+++=rapiers
flash ^nn++++=flash
whenever ^nn+nom+++=whenever
the ^ati++++=the
moon ^nn++++=moon
finds ^vbz+vprv+++=finds
room ^nn++++=room
between ^in++++=between
the ^ati++++=the
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
London ^np++++=London,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
swallowed ^vprf+++xvbnx+=swallowed
bishops ^nns++++=bishops,
, ^zz++++=EXTRAWORD
bears ^nns++++=bears,
, ^zz++++=EXTRAWORD
Spaniards ^nn++++=Spaniards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
thousand ^cd++++=thousand
excellent ^jj+atrb+++=excellent
intentions ^nns+nom+++=intentions,
, ^zz++++=EXTRAWORD
opens ^vbz++++=opens
its ^pp$+it+++=its
narrow ^jj+atrb+++=narrow
throat ^nn++++=throat
to ^to++++=to
receive ^vbi++++=receive
the ^ati++++=the
chase ^nn++++=chase.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
darts ^nns+++??+=darts.
. ^zz++++=EXTRAWORD
A ^at++++=A
shutter ^nn++++=shutter
cracks ^nns++++=cracks
open ^jj++++=open
above ^rb++++=above
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
citizen ^nn++++=citizen's
's ^$++++=EXTRAWORD
nightcap ^nn+++??+=nightcap
blooms ^vbz++++=blooms,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
and ^cc++++=and
inquisitive ^nn++++=inquisitive,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
vanishes ^vbz++++=vanishes
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
drawn ^vbd+++xvbn+=drawn
steel ^nn++++=steel.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
leaps ^nns++++=leaps
a ^at++++=a
kennel ^nn++++=kennel,
, ^zz++++=EXTRAWORD
slips ^vbz++++=slips
beneath ^in+pl+++=beneath
the ^ati++++=the
arm ^nn++++=arm
of ^in++++=of
a ^at++++=a
startled ^jj+atrb++xvbn+=startled
pie ^nn++++=pie-man,
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turns ^vbz++++=turns
so ^ql++++=so
sharply ^rb++++=sharply
into ^in++++=into
an ^at++++=an
alley ^nn++++=alley
that ^tht+rel+obj++=that
the ^ati++++=the
darkness ^nns+nom+++=darkness
takes ^vbz++++=takes
him ^pp3o+pp3+++=him
at ^in++++=at
a ^at++++=a
mouthful ^nn+nom+++=mouthful.
. ^zz++++=EXTRAWORD
Flowing ^vbg+++xvbg+=Flowing
Boots ^nns++++=Boots
overshoot ^nn++++=overshoot.
. ^zz++++=EXTRAWORD
" ^zz++++="Back!"
back ^jjb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="There
there ^rn+pl+++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
conduit ^nn+++??+=conduit!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
curse ^nn++++=curse
him ^pp3o+pp3+++=him
" ^zz++++="
The ^ati++++=The
brothers ^nns+nom+++=brothers
divide ^vb++++=divide,
, ^zz++++=EXTRAWORD
reunite ^nn++++=reunite,
, ^zz++++=EXTRAWORD
collide ^vb++++=collide
with ^in++++=with
a ^at++++=a
post ^nn++++=post,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
divide ^vb++++=divide
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
loses ^vbz++++=loses
his ^pp$+pp3+++=his
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
catches ^nns++++=catches
it ^pp3+it+++=it
upon ^in++++=upon
his ^pp$+pp3+++=his
sword ^nn++++=sword-point
- ^zz++++=EXTRAWORD
point ^nn++++=EXTRAWORD
and ^cc++++=and
flings ^nn++++=flings
it ^pp3+it+++=it
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
gesture ^nn++++=gesture
fit ^nn++++=fit
for ^in++++=for
the ^ati++++=the
destruction ^nn+nom+++=destruction
of ^in++++=of
Carthage ^np+nom++??+=Carthage.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hat ^nn++++=hat
falls ^vbz++++=falls
into ^in+ppvb+++=into
a ^at++++=a
puddle ^nn+++??+=puddle.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
has ^vbz+hvz+aux++=has
climbed ^vprf+++xvbnx+=climbed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hangs ^vbz++++=hangs
above ^rb++++=above
them ^pp3o+pp3+++=them
between ^in++++=between
two ^cd++++=two
overleaning ^jj+atrb++xvbg+=overleaning
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
heels ^nns++++=heels
pressed ^vbd+++xvbn+=pressed
to ^to++++=to
one ^cd1++++=one
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
to ^in++++=to
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
a ^at++++=a
grotesque ^jj+atrb+++=grotesque
god ^nn++++=god
of ^in++++=of
chimneys ^nns++++=chimneys
and ^cc++++=and
laundry ^nn++++=laundry.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
him ^pp3o+pp3+++=him
the ^ati++++=the
gallants ^nns+nom+++=gallants
rage ^nn++++=rage
up ^rp++++=up
and ^cc++++=and
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
searching ^vbg+++xvbg+=searching
doorways ^nns++++=doorways
and ^cc++++=and
stabbing ^nn++++=stabbing
suspicious ^jj+atrb+++=suspicious
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
moonlight ^nn++++=moonlight
uncovers ^nns+nom+++=uncovers
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
pointed ^j+++xvbn+=pointed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
elfish ^jj++++=elfish;
; ^zz++++=EXTRAWORD
terror ^nn++++=terror
brightens ^nns+++??+=brightens
it ^pp3+it+++=it
without ^in++++=without
making ^xvbg+++xvbg+=making
it ^pp3+it+++=it
less ^rbr++++=less
impudent ^jj++++=impudent.
. ^zz++++=EXTRAWORD
A ^at++++=A
whistle ^nn++++=whistle
sounds ^nns++++=sounds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
watch ^nn++++=watch
comes ^vbz++++=comes
laboring ^nvbg+++xvbg+=laboring
from ^in++++=from
Cheapside ^np+++??+=Cheapside:
: ^zz++++=EXTRAWORD
three ^cd++++=three
men ^nns++++=men,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
lantern ^nn++++=lantern,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pikes ^npls++++=pikes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
enough ^qlp++++=enough
official ^jj+atrb+++=official
reluctance ^nn+nom+++=reluctance
to ^to+ncmp+++=to
stop ^vbi++++=stop
an ^at++++=an
Armada ^np+++??+=Armada.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
drops ^nns++++=drops
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
" ^zz++++="Halt!"
halt ^vb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cries ^nns++++=cries
the ^ati++++=the
chief ^jjb+atrb+++=chief
watchman ^nn+nom+++=watchman,
, ^zz++++=EXTRAWORD
chiefly ^rb++++=chiefly
because ^cs+cos+++=because
the ^ati++++=the
fugitive ^nn++++=fugitive
is ^vbz+bez+aux++=is
already ^rb++splt++=already
running ^vbg+++xvbgx+=running
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
goes ^vbz++++=goes
a ^at++++=a
murderer ^nn+nom+++=murderer!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shouts ^vbz++++=shouts
the ^ati++++=the
hatless ^jj+atrb+++=hatless
gentleman ^nn+nom+++=gentleman.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
ravisher ^nn+nom+++=ravisher!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cries ^nns++++=cries
his ^pp$+pp3+++=his
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
flies ^nns++++=flies
farther ^rbr++++=farther
than ^in++++=than
the ^ati++++=the
whistle ^nn++++=whistle.
. ^zz++++=EXTRAWORD
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes
hears ^vbz+vprv+++=hears
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
stride ^nn++++=stride
breaks ^vbz++++=breaks
for ^in++++=for
half ^nn++++=half
a ^at++++=a
beat ^nn+++xvbn+=beat
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
goes ^vbz++++=goes
over ^in++++=over
a ^at++++=a
stack ^nn++++=stack
of ^in++++=of
baskets ^nns++++=baskets,
, ^zz++++=EXTRAWORD
under ^in++++=under
a ^at++++=a
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
lane ^nn++++=lane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
through ^in++++=through
an ^at++++=an
arch ^jjb++++=arch
where ^wrb+who+++=where
the ^ati++++=the
blackness ^nns+nom+++=blackness
lies ^vbz++++=lies
folded ^vwbn+++xvbn+=folded
in ^in++++=in
several ^ap++++=several
convenient ^jj+atrb+++=convenient
layers ^nns++++=layers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
watch ^nn++++=watch
pursues ^vbz++++=pursues
the ^ati++++=the
brothers ^nns+nom+++=brothers;
; ^zz++++=EXTRAWORD
the ^ati++++=the
brothers ^nns+nom+++=brothers
pursue ^vb++++=pursue
Soft ^jj+atrb+++=Soft
Shoes ^nns++++=Shoes;
; ^zz++++=EXTRAWORD
a ^at++++=a
dog ^nn++++=dog
pursues ^vbz++++=pursues
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
For ^in++++=For
one ^cd1++++=one
glorious ^jj+atrb+++=glorious
minute ^nn++++=minute
London ^np++++=London
possesses ^nns+nom+++=possesses
law ^nn++++=law,
, ^zz++++=EXTRAWORD
vengeance ^nn+nom+++=vengeance,
, ^zz++++=EXTRAWORD
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
criticism ^nn+nom+++=criticism
in ^in++++=in
full ^jj+atrb+++=full
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
city ^nn++++=city
