You ^pp2+pp2+++=You
may ^md+pos+++=may
ask ^vb++++=ask
Mcquae ^np+++??+=McQuae
to ^in++++=to
dinner ^nn++++=dinner
on ^in++++=on
Tuesday ^nr++++=Tuesday,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
come ^vprf+++xvbn+=come
on ^in++++=on
Wednesday ^nr++++=Wednesday
with ^in++++=with
an ^at++++=an
appetite ^nn++++=appetite,
, ^zz++++=EXTRAWORD
an ^at++++=an
apology ^nn++++=apology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
punctual ^jj+pred+++=punctual.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
happened ^vb+++xvbn+=happened
to ^to+vcmp+++=to
me ^pp1o+pp1+++=me
at ^in++++=at
my ^pp$+pp1+++=my
rooms ^nns++++=rooms
in ^in++++=in
Duke ^nn++++=Duke
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
the ^ati++++=the
fish ^nn++++=fish
and ^cc++++=and
were ^vbd+bed+aux++=were
discussing ^vbg+++xvbgx+=discussing
whether ^cs+who+++=whether
my ^pp$+pp1+++=my
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
temper ^nn++++=temper
could ^md+pos+++=could
survive ^vb++++=survive
the ^ati++++=the
entr ^nn+++??+=entr
e ^zz++++=e
when ^wrb+who+++=when
Mcquae ^np+++??+=McQuae
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway,
, ^zz++++=EXTRAWORD
correctly ^rb++++=correctly
dressed ^vbd+++xvbn+=dressed
and ^cc++++=and
entirely ^rb+amp+++=entirely
at ^rb++++=at
ease ^nn++++=ease.
. ^zz++++=EXTRAWORD
" ^zz++++="Hope
hope ^nn++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
not ^xnot++not++=not
late ^jj++++=late,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
hours ^nns++++=hours
late ^jj++++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
