# ^zz++++=#
Blas ^np+++??+=Blas
Billy ^np++++=Billy
I ^pp1a+pp1+++=I
first ^od++++=first
met ^vprf+++xvbn+=met
William ^np++++=William
Drayton ^np+++??+=Drayton
in ^in++++=in
the ^ati++++=the
smoking ^jj+++xvbg+=smoking-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Pelican ^np+++??+=Pelican,
, ^zz++++=EXTRAWORD
at ^rb++++=at
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
on ^in++++=on
a ^at++++=a
June ^nr++++=June
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
an ^at++++=an
hour ^nn++++=hour
at ^in++++=at
which ^whp+rel+pied++=which
respectable ^jj+atrb+++=respectable
men ^nns++++=men
were ^vbd+bed+aux++=were
engaged ^vpsv++agls+xvbnx+=engaged
in ^in++++=in
regretting ^xvbg+++xvbg+=regretting
breakfast ^nn++++=breakfast
and ^cc++++=and
disreputable ^jj+atrb+++=disreputable
men ^nns++++=men
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
begun ^vwbn+++xvbn+=begun
to ^to++++=to
remember ^nn+nom+++=remember
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Drayton ^np+++??+=Drayton
sat ^vwbn+++xvbn+=sat
by ^in++++=by
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
dressed ^j+++xvbn+=dressed
as ^ql++++=as
carefully ^rb++++=carefully
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
an ^at++++=an
appointment ^nn+nom+++=appointment
with ^in++++=with
the ^ati++++=the
Chancellor ^npt++++=Chancellor
of ^in++++=of
the ^ati++++=the
Exchequer ^nn+nom+++=Exchequer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
upon ^in++++=upon
Piccadilly ^np++++=Piccadilly
with ^in++++=with
the ^ati++++=the
expression ^nn++++=expression
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
already ^rb++splt++=already
seen ^vprf+++xvbnx+=seen
everything ^pn++++=everything
worth ^in++++=worth
seeing ^xvbg+++xvbg+=seeing
and ^cc++++=and
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
most ^ql+emph+++=most
of ^in++++=of
it ^pp3+it+++=it
badly ^rb++++=badly
arranged ^vbd+vsua++xvbn+=arranged.
. ^zz++++=EXTRAWORD
" ^zz++++="Mornin',"
mornin ^nn+++??+=EXTRAWORD
'," ^nn+++??+=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
inclined ^vbd+++xvbnx+=inclined
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Fine
fine ^jj+atrb+++=EXTRAWORD
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Everybody
everybody ^pn++++=EXTRAWORD
says ^vbz+vpub+++=says
so ^rb++++=so."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
wrong ^jj+pred+++=wrong."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
the ^ati++++=the
chair ^nn++++=chair
opposite ^jj++++=opposite
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
family ^nn++++=family
has ^vbz+hvz+aux++=has
always ^rb++splt++=always
called ^vprf+++xvbnx+=called
this ^dt+dem+++=this
persistence ^nn+nom+++=persistence;
; ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
governess ^nns+nom+++=governess,
, ^zz++++=EXTRAWORD
less ^rbr++++=less
blinded ^vpsv++by+xvbn+=blinded
by ^in++++=by
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
it ^pp3+it+++=it
wearing ^vbg+++xvbg+=wearing.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
