**to ^nn+++??+=**TO
The ^ati++++=THE
Editor ^nn++++=EDITOR
Of ^in++++=OF
The ^ati++++=THE
Metropolitan ^nn+nom+++=METROPOLITAN
Monthly.** ^np+++??+=MONTHLY.**
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
remarked ^vpsv++by+xvbnx+=remarked
by ^in++++=by
certain ^jj+atrb+++=certain
melancholy ^nn++++=melancholy
philosophers ^nns+nom+++=philosophers
men ^nns++++=men
who ^whp+rel+subj++=who
take ^vb++++=take
observations ^nns+nom+++=observations
from ^in++++=from
churchyards ^nns+++??+=churchyards,
, ^zz++++=EXTRAWORD
ruined ^j+++xvbn+=ruined
mills ^np++++=mills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
back ^jjb+atrb+++=back
windows ^nns++++=windows
of ^in++++=of
stage ^nn++++=stage-coaches
- ^zz++++=EXTRAWORD
coaches ^nns++++=EXTRAWORD
that ^tht+rel+obj++=that
Poetry ^nn++++=Poetry,
, ^zz++++=EXTRAWORD
like ^in++++=like
the ^ati++++=the
Indian ^jj++++=Indian
and ^cc++++=and
the ^ati++++=the
wild ^jj+atrb+++=wild
pigeon ^nn++++=pigeon,
, ^zz++++=EXTRAWORD
retires ^vbz++++=retires
before ^in++++=before
civilization ^nn+nom+++=civilization.
. ^zz++++=EXTRAWORD
No ^at++++=No
sooner ^rbr++++=sooner
does ^vbz+doz+vrb++=does
a ^at++++=a
turnpike ^nn++++=turnpike
enter ^vb++++=enter
a ^at++++=a
valley ^nn++++=valley
than ^in++++=than
Romance ^nn+nom+++=Romance
departs ^vbz++++=departs
over ^in++++=over
the ^ati++++=the
opposite ^rb++++=opposite
hill ^npl++++=hill;
; ^zz++++=EXTRAWORD
the ^ati++++=the
surveyor ^nn++++=surveyor
drives ^vbz++++=drives
his ^pp$+pp3+++=his
stake ^nn++++=stake
through ^in++++=through
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
Tradition ^nn+nom+++=Tradition;
; ^zz++++=EXTRAWORD
the ^ati++++=the
locomotive ^nn++++=locomotive
whistles ^nns++++=whistles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
ghost ^nn++++=ghost
within ^in++++=within
twenty ^cd++++=twenty
miles ^nns++++=miles
packs ^nns++++=packs
up ^rp++++=up
his ^pp$+pp3+++=his
winding ^nvbg+++xvbg+=winding-sheet
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
and ^cc++++=and
removes ^vbz++++=removes
to ^in++++=to
parts ^nns++++=parts
unknown ^jj++++=unknown.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
observed ^vprf++tht0+xvbnx+=observed
something ^pn++++=something
of ^in++++=of
this ^dt+dem+++=this
mournful ^jj+atrb+++=mournful
process ^nns+nom+++=process
in ^in++++=in
our ^pp$+pp1+++=our
ancient ^jj+atrb+++=ancient
province ^nn++++=province
of ^in++++=of
Nieuw ^np+++??+=Nieuw-Nederlands.
- ^zz++++=EXTRAWORD
nederlands ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
gray ^np++++=gray
farmhouses ^nns++++=farmhouses,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
red ^jj+atrb+++=red
roofs ^nns++++=roofs
once ^rb+tm+++=once
glowed ^vbd+++xvbn+=glowed
among ^in++++=among
the ^ati++++=the
apple ^nn++++=apple
orchards ^nns++++=orchards
like ^in++++=like
embers ^nns++++=embers
under ^in++++=under
green ^jj+atrb+++=green
ashes ^nns++++=ashes,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
place ^nn++++=place
to ^in++++=to
white ^jj+atrb+++=white
villas ^nns++++=villas,
, ^zz++++=EXTRAWORD
philosophical ^jj+atrb+++=philosophical
seminaries ^nns++++=seminaries,
, ^zz++++=EXTRAWORD
patent ^jj+atrb+++=patent
laundries ^nns++++=laundries,
, ^zz++++=EXTRAWORD
insurance ^nn+nom+++=insurance
offices ^nns++++=offices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
monuments ^nns+nom+++=monuments
of ^in++++=of
human ^jj+atrb+++=human
improvement ^nn+nom+++=improvement.
. ^zz++++=EXTRAWORD
The ^ati++++=The
broad ^jj+atrb+++=broad
fireplaces ^nns++++=fireplaces,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
logs ^nns++++=logs
crackled ^vbd+++xvbn+=crackled
between ^in++++=between
brass ^nn++++=brass
andirons ^nns+++??+=andirons
and ^cc++++=and
illuminated ^vbd+++xvbn+=illuminated
whole ^jj+atrb+++=whole
histories ^nns++++=histories
upon ^in++++=upon
Dutch ^jj+atrb+++=Dutch
tiles ^nns++++=tiles,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
bricked ^vpsv++agls+xvbnx+=bricked
up ^rp++++=up
to ^to++++=to
receive ^vbi++++=receive
polished ^jj++++=polished
grates ^vbz++++=grates,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
a ^at++++=a
small ^jj+atrb+++=small
quantity ^nn+nom+++=quantity
of ^in++++=of
black ^jj+atrb+++=black
mineral ^nn++++=mineral
maintains ^vbz+vpub+++=maintains
a ^at++++=a
sullen ^jj+atrb+++=sullen
combustion ^nn+nom+++=combustion
and ^cc++++=and
exhales ^nns+++??+=exhales
the ^ati++++=the
perfume ^nn++++=perfume
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
regions ^nns++++=regions.
. ^zz++++=EXTRAWORD
The ^ati++++=The
high ^jj++++=high-backed
- ^zz++++=EXTRAWORD
backed ^xvbn+++xvbn+=EXTRAWORD
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mighty ^jj+atrb+++=mighty
chests ^nns++++=chests,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spinning ^jj+++xvbg+=spinning-wheels,
- ^zz++++=EXTRAWORD
wheels ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
blue ^jj+atrb+++=blue
earthen ^jj+atrb+++=earthen
platters ^nns+nom+++=platters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
solemn ^jj++++=solemn
eight ^cd++++=eight-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
clocks ^nns++++=clocks
have ^vb+hv+aux++=have
disappeared ^vprf+++xvbnx+=disappeared
before ^in++++=before
sofas ^nns+++??+=sofas,
, ^zz++++=EXTRAWORD
ottomans ^nns+nom+++=ottomans,
, ^zz++++=EXTRAWORD
piano ^nn++++=piano-fortes,
- ^zz++++=EXTRAWORD
fortes ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
little ^ap++++=little
French ^jj+atrb+++=French
timepieces ^nns+++??+=timepieces
which ^whp+rel+obj++=which
tick ^nn+++??+=tick
as ^ql++++=as
nervously ^rb++++=nervously
as ^cs+sub+++=as
if ^cs+cnd+++=if
pursued ^vpsv++by+xvbn+=pursued
by ^in++++=by
creditors ^nns++++=creditors.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^rn+pl+++=there
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
immediately ^rb+tm+++=immediately
opposite ^in++++=opposite
the ^ati++++=the
proud ^jj+atrb+++=proud
city ^nn++++=city
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
usurped ^vprf+++xvbnx+=usurped
the ^ati++++=the
name ^nn++++=name
and ^cc++++=and
substance ^nn+nom+++=substance
of ^in++++=of
New ^jj++++=New-Amsterdam,
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
