When ^wrb+who+++=When
the ^ati++++=the
Revolutionary ^jj+atrb+++=Revolutionary
War ^nn++++=War
had ^vbd+hvd+aux++=had
ended ^vprf+++xvbnx+=ended,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
thirteen ^cd++++=thirteen
colonies ^nns++++=colonies
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
thirteen ^cd++++=thirteen
independent ^jj+atrb+++=independent
States ^nns++++=States,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
remained ^vprf+++xvbn+=remained
to ^to++++=to
be ^vbi+vbi+aux++=be
disposed ^vpsv++agls+xvbnx+=disposed
of ^in+ppvb+++=of
a ^at++++=a
vaster ^nn++++=vaster
prize ^nn++++=prize
than ^in++++=than
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
victors ^nns++++=victors
had ^vbd+hvd+aux++=had
understood ^vprf+++xvbnx+=understood
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
fighting ^vbg+++xvbgx+=fighting
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
Pennsylvania ^np+++??+=Pennsylvania
and ^cc++++=and
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
beyond ^in++++=beyond
the ^ati++++=the
narrow ^jj+atrb+++=narrow
farms ^nns++++=farms,
, ^zz++++=EXTRAWORD
towns ^nns++++=towns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
church ^nn++++=church-spires
- ^zz++++=EXTRAWORD
spires ^nns++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
seaboard ^nn++++=seaboard,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
the ^ati++++=the
immense ^jj+atrb+++=immense
country ^nn++++=country
north ^np+pl+++=north
of ^in++++=of
the ^ati++++=the
Ohio ^np+++??+=Ohio
and ^cc++++=and
east ^np+pl+++=east
of ^in++++=of
the ^ati++++=the
Mississippi ^np+++??+=Mississippi
a ^at++++=a
land ^nn++++=land
of ^in++++=of
deep ^jj+atrb+++=deep
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
broad ^jj+atrb+++=broad
rivers ^nns++++=rivers,
, ^zz++++=EXTRAWORD
rich ^jj+atrb+++=rich
black ^jj+atrb+++=black
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ancient ^jj+atrb+++=ancient
hunting ^jj+atrb++xvbg+=hunting
paths ^nns++++=paths.
. ^zz++++=EXTRAWORD
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
York ^np++++=York,
, ^zz++++=EXTRAWORD
Connecticut ^np+++??+=Connecticut,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Massachusetts ^np+++??+=Massachusetts
possessed ^vbd+++xvbn+=possessed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
possess ^nns+nom+++=possess,
, ^zz++++=EXTRAWORD
portions ^nns+nom+++=portions
of ^in++++=of
it ^pp3+it+++=it
by ^in++++=by
charter ^nn++++=charter;
; ^zz++++=EXTRAWORD
land ^nn++++=land
companies ^nns++++=companies
coveted ^jj++++=coveted
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
soldiers ^nns+nom+++=soldiers
looked ^vbd+++xvbn+=looked
to ^to+vcmp+++=to
it ^pp3+it+++=it
for ^in++++=for
the ^ati++++=the
payment ^nn+nom+++=payment
of ^in++++=of
their ^pp$+pp3+++=their
services ^nns++++=services;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thousands ^cds++++=thousands
of ^in++++=of
poor ^jj+atrb+++=poor
families ^nns++++=families
regarded ^vwbn+++xvbn+=regarded
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
place ^nn++++=place
where ^wrb+who+++=where
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
obtain ^vb++++=obtain
with ^in++++=with
his ^pp$+pp3+++=his
axe ^nn++++=axe
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
could ^md+pos+++=could
never ^rb++++=never
purchase ^nn++++=purchase
with ^in++++=with
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
claims ^nns++++=claims
of ^in++++=of
the ^ati++++=the
