This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
baseball ^nn++++=baseball
story ^nn++++=story.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
make ^vb++++=make
that ^dt+dem+++=that
statement ^nn+nom+++=statement
at ^in++++=at
the ^ati++++=the
start ^vb++++=start
because ^cs+cos+++=because
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
people ^nns++++=people
chiefly ^rb++++=chiefly
women ^nns++++=women
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
a ^at++++=a
ninth ^od++++=ninth
inning ^nvbg+++xvbg+=inning
with ^in++++=with
two ^cd++++=two
out ^rp+pl+++=out
and ^cc++++=and
the ^ati++++=the
tying ^nn++++=tying
run ^vbd+++xvbn+=run
dancing ^vbg+++xvbg+=dancing
off ^rp+pl+++=off
third ^od++++=third
who ^whp+who+++=who
flee ^vb++++=flee
at ^in++++=at
the ^ati++++=the
first ^od++++=first
mention ^nn+nom+++=mention
of ^in++++=of
a ^at++++=a
batting ^nn++++=batting
average ^nn+nom+++=average.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
will ^md+prd+++=will
sit ^vb++++=sit
up ^rp++++=up
until ^cs+sub+++=until
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
to ^to++++=to
learn ^vbi+vprv+++=learn
whether ^cs+who+++=whether
a ^at++++=a
duke ^nn++++=duke
marries ^vbz++++=marries
a ^at++++=a
governess ^nns+nom+++=governess,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
ask ^vb++++=ask
them ^pp3o+pp3+++=them
to ^to++++=to
discover ^nn+nom+++=discover
whether ^cs+who+++=whether
a ^at++++=a
left ^vbd+++xvbn+=left-handed
- ^zz++++=EXTRAWORD
handed ^vbd+++xvbn+=EXTRAWORD
hitter ^jjr++++=hitter
can ^md+pos+++=can
solve ^vb++++=solve
a ^at++++=a
southpaw ^nn+++??+=southpaw's
's ^$++++=EXTRAWORD
curve ^nn++++=curve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
remember ^nn+nom+++=remember
an ^at++++=an
engagement ^nn+nom+++=engagement
elsewhere ^rb++++=elsewhere.
. ^zz++++=EXTRAWORD
So ^ql++++=So
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
baseball ^nn++++=baseball
story ^nn++++=story.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
much ^ap++++=much
more ^rbr++++=more
complicated ^jj+atrb++xvbn+=complicated
article ^nn++++=article
and ^cc++++=and
has ^vbz+hvz+aux++=has
caused ^vprf+++xvbnx+=caused
more ^ql++++=more
errors ^nns++++=errors
than ^in++++=than
any ^dti++++=any
ball ^nn++++=ball
ever ^rb++++=ever
knocked ^vbd+++xvbn+=knocked
between ^in++++=between
short ^jj++++=short
and ^cc++++=and
