Evening ^nn++++=Evening
descended ^vbd+++xvbn+=descended
dreamily ^rb++++=dreamily
upon ^in++++=upon
the ^ati++++=the
Ukrainian ^np+++??+=Ukrainian
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
laying ^vbg+++xvbg+=laying
one ^cd1++++=one
cool ^jj+atrb+++=cool
hand ^nn++++=hand
upon ^in++++=upon
the ^ati++++=the
thatched ^jj+atrb+++=thatched
roofs ^nns++++=roofs
and ^cc++++=and
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
drawing ^jj+++xvbg+=drawing
a ^at++++=a
violet ^jj+atrb+++=violet
veil ^nn++++=veil
across ^in+pl+++=across
the ^ati++++=the
heavens ^nns++++=heavens.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^jj+atrb+++=last
labourers ^nns+nom+++=labourers
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
the ^ati++++=the
fields ^nns++++=fields;
; ^zz++++=EXTRAWORD
the ^ati++++=the
oxen ^nns++++=oxen,
, ^zz++++=EXTRAWORD
released ^xvbn+++xvbn+=released
from ^in++++=from
their ^pp$+pp3+++=their
yokes ^nns+++??+=yokes,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
breathing ^jj+++xvbg+=breathing
heavily ^rb++++=heavily
beside ^in+pl+++=beside
the ^ati++++=the
wattled ^jj+atrb++xvbn+=wattled
fences ^nns++++=fences;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
a ^at++++=a
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
called ^vbd+++xvbn+=called
some ^dti++++=some
barefooted ^jj+atrb+++=barefooted
wanderer ^jjr+atrb+++=wanderer
home ^nr++++=home
to ^in++++=to
supper ^nn++++=supper.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
broad ^jj+atrb+++=broad
street ^nn++++=street
arose ^vbd+++xvbn+=arose
a ^at++++=a
song ^nn++++=song,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
merry ^jj++++=merry,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
mournful ^jj++++=mournful,
, ^zz++++=EXTRAWORD
flowing ^vbg+++xvbg+=flowing
stream ^nn++++=stream-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
beneath ^in+pl+++=beneath
the ^ati++++=the
darkening ^jj+atrb++xvbg+=darkening
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lads ^nns++++=lads
and ^cc++++=and
maidens ^nns++++=maidens
sang ^vbd+++xvbn+=sang
of ^in++++=of
a ^at++++=a
Cossack ^np+++??+=Cossack
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
ridden ^vprf+++xvbnx+=ridden
far ^rb+cnj+++=far,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl
who ^whp+rel+subj++=who
waited ^vbd+++xvbn+=waited
for ^in++++=for
him ^pp3o+pp3+++=him
without ^in++++=without
surcease ^nn+++??+=surcease,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
the ^ati++++=the
little ^ap++++=little
stars ^nns++++=stars
until ^in++++=until
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
song ^nn++++=song
faded ^vbd+++xvbn+=faded.
. ^zz++++=EXTRAWORD
Laughter ^nn+nom+++=Laughter
followed ^vbd+vprv++xvbn+=followed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
village ^nn+nom+++=village
fell ^vwbn+++xvbn+=fell
