# ^zz++++=#
Three ^cd++++=THREE
Cases ^nns++++=CASES
At ^in++++=AT
Twilight ^nn++++=TWILIGHT
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
on ^in++++=on
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
London ^np++++=London
evenings ^nns++++=evenings
when ^wrb+who+++=when
daylight ^nn++++=daylight
seems ^vbz+seem+++=seems
less ^ql++++=less
to ^to++++=to
depart ^vbi++++=depart
than ^in++++=than
to ^to++++=to
be ^vbi+vbi+aux++=be
absorbed ^vpsv++by+xvbnx+=absorbed
by ^in++++=by
brick ^nn++++=brick,
, ^zz++++=EXTRAWORD
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
damp ^nn++++=damp,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
Inspector ^nn++++=Inspector
Wield ^np+++??+=Wield
favoured ^vbd+++xvbn+=favoured
us ^pp1o+pp1+++=us
with ^in++++=with
three ^cd++++=three
passages ^nns+nom+++=passages
from ^in++++=from
his ^pp$+pp3+++=his
professional ^jj+atrb+++=professional
recollections ^nns+nom+++=recollections.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
in ^in++++=in
quietly ^rb+cnj+++=quietly,
, ^zz++++=EXTRAWORD
as ^ql++++=as
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
custom ^nn++++=custom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
seated ^vprf+++xvbnx+=seated
himself ^ppl+pp3+++=himself
where ^wrb+who+++=where
the ^ati++++=the
last ^rb++++=last
grey ^np++++=grey
light ^jj++++=light
from ^in++++=from
the ^ati++++=the
window ^nn++++=window
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
leaving ^vbg+++xvbg+=leaving
the ^ati++++=the
other ^ap++++=other
in ^in++++=in
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
theatrical ^jj++++=theatrical
in ^in++++=in
the ^ati++++=the
arrangement ^nn+nom+++=arrangement,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
served ^vprf+++xvbnx+=served
a ^at++++=a
painter ^nn++++=painter
very ^ql+amp+++=very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ask ^vb++++=ask
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="whether
whether ^cs+who+++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
thing ^nn++++=thing
may ^md+pos+++=mayn't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
a ^at++++=a
large ^jj+atrb+++=large
story ^nn++++=story.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may.
. ^zz++++=EXTRAWORD
Likewise ^rb+cnj+++=Likewise
it ^pp3+it+++=it
may ^md+pos+++=may
tell ^vb++++=tell
no ^at++++=no
story ^nn++++=story
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tell ^vb++++=tell
the ^ati++++=the
wrong ^jj+atrb+++=wrong
one ^pn++++=one;
; ^zz++++=EXTRAWORD
which ^wdt+who+whq++=which
is ^vbz+bez+aux++=is
a ^at++++=a
distinction ^nn+nom+++=distinction
some ^dti++++=some
people ^nns++++=people
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
make ^vb++++=make
till ^cs+sub+++=till
they ^pp3a+pp3+++=they've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got
an ^at++++=an
innocent ^jj+atrb+++=innocent
man ^nn++++=man
halfway ^rb++++=halfway
to ^in++++=to
the ^ati++++=the
gallows ^np++++=gallows."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observation ^nn+nom+++=observation
introduced ^vwbn+++xvbn+=introduced
the ^ati++++=the
first ^od++++=first
case ^nn++++=case.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Gloves ^nns++++=GLOVES
Under ^in++++=UNDER
The ^ati++++=THE
Pillow ^nn++++=PILLOW
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
recollect ^vb+vprv+++=recollect
the ^ati++++=the
Grimwood ^np+++??+=Grimwood
murder ^nn++++=murder,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Inspector ^nn++++=Inspector
Wield ^np+++??+=Wield.
. ^zz++++=EXTRAWORD
" ^zz++++="Eliza
eliza ^np++++=EXTRAWORD
Grimwood ^np+++??+=Grimwood,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
living ^vwbg+++xvbg+=living
by ^in++++=by
herself ^ppl+pp3+++=herself
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
house ^npl++++=house
off ^in+pl+++=off
the ^ati++++=the
Borough ^nn++++=Borough
Road ^npl++++=Road.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
rich ^jj++++=rich,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
what ^wdt+who+++=what
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
call ^vb++++=call
well ^jj+pred+++=well
connected ^vbd+++xvbn+=connected;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
respectable ^jj+pred+++=respectable,
, ^zz++++=EXTRAWORD
hard ^jj++++=hard-working,
- ^zz++++=EXTRAWORD
working ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
known ^vpsv++agls+xvbn+=known
for ^in++++=for
twenty ^cd++++=twenty
years ^nns++++=years
in ^in++++=in
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood.
. ^zz++++=EXTRAWORD
Found ^j+++xvbn+=Found
dead ^jj++++=dead
in ^in++++=in
her ^pp$+pp3+++=her
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
