Our ^pp$+pp1+++=Our
introduction ^nn+nom+++=introduction
to ^in++++=to
the ^ati++++=the
classical ^jj+atrb+++=classical
mythology ^nn++++=mythology
was ^vbd+bedz+aux++=was
effected ^vpsv++by+xvbnx+=effected
by ^in++++=by
Miss ^npt++++=Miss
Crewe ^np++++=Crewe,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
engaged ^vpsv++agls+xvbnx+=engaged
to ^to++++=to
improve ^vbi++++=improve
the ^ati++++=the
minds ^nns++++=minds
of ^in++++=of
the ^ati++++=the
girls ^nns++++=girls,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
who ^whp+who+++=who,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
a ^at++++=a
mistaken ^jj+atrb++xvbn+=mistaken
liberality ^nn+nom+++=liberality
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
Providence ^np+nom++??+=Providence,
, ^zz++++=EXTRAWORD
improved ^j+++xvbn+=improved
ours ^pp$$++++=ours
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
read ^vbd+vprv++xvbnx+=read
aloud ^rb++++=aloud
beneath ^in+pl+++=beneath
the ^ati++++=the
cedar ^nn++++=cedar
on ^in++++=on
fine ^jj+atrb+++=fine
afternoons ^nns++++=afternoons;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
lay ^vbd+++xvbn+=lay
beyond ^in++++=beyond
the ^ati++++=the
laurel ^nn++++=laurel
hedge ^nn++++=hedge,
, ^zz++++=EXTRAWORD
technically ^rb++++=technically
engaged ^vbd+++xvbn+=engaged
upon ^in++++=upon
private ^jj+atrb+++=private
affairs ^nns++++=affairs
of ^in++++=of
our ^pp$+pp1+++=our
own ^ap++++=own,
, ^zz++++=EXTRAWORD
the ^ati++++=the
adventures ^nns++++=adventures
of ^in++++=of
gods ^nns++++=gods
and ^cc++++=and
heroes ^nns++++=heroes
penetrated ^vbd+++xvbn+=penetrated
to ^in++++=to
us ^pp1o+pp1+++=us
through ^in++++=through
the ^ati++++=the
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
we ^pp1a+pp1+++=we
learned ^vbd+vprv++xvbn+=learned,
, ^zz++++=EXTRAWORD
in ^in++++=in
no ^at++++=no
proper ^jj+atrb+++=proper
order ^nn++++=order,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
ladies ^nns++++=ladies
might ^md+pos+++=might
be ^vb+be+aux++=be
turned ^vpsv++agls+xvbnx+=turned
into ^in++++=into
trees ^nns++++=trees
for ^in++++=for
declining ^xvbg+++xvbg+=declining
an ^at++++=an
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
kings ^nns++++=kings
habitually ^nn++++=habitually
exposed ^vbd+++xvbn+=exposed
their ^pp$+pp3+++=their
infant ^nn++++=infant
relations ^nns+nom+++=relations
on ^rp++++=on
mountains ^npl++++=mountains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
a ^at++++=a
young ^jj+atrb+++=young
man ^nn++++=man
of ^in++++=of
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
denied ^vbd+vpub++xvbn+=denied
his ^pp$+pp3+++=his
inheritance ^nn+nom+++=inheritance,
