# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Bibine ^np++++=Bibine's
's ^$++++=EXTRAWORD
Guardian ^nn++++=Guardian
The ^ati++++=The
ladies ^nns++++=ladies
of ^in++++=of
Saint ^nn++++=Saint
Philom ^np+++??+=Philom
ne ^&fw++++=ne
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
considering ^vbg+++xvbgx+=considering
Loka ^np+++??+=Loka
for ^in++++=for
three ^cd++++=three
Thursdays ^nrs++++=Thursdays.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
considered ^vbd+vprv+tht0+xvbnx+=considered
her ^pp$+pp3+++=her
after ^in++++=after
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
minutes ^nns++++=minutes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^in++++=before
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
flannel ^nn++++=flannel
petticoats ^nns++++=petticoats.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Frobissaint ^np+++??+=Frobissaint,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
practical ^jj+atrb+++=practical
philanthropist ^nn+nom+++=philanthropist,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
obtained ^vprf+++xvbnx+=obtained
the ^ati++++=the
girl ^nn++++=girl
from ^in++++=from
a ^at++++=a
settlement ^nn+nom+++=settlement
beyond ^in++++=beyond
Bayou ^np+++??+=Bayou
Choctaw ^np+++??+=Choctaw,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
no ^at++++=no
constable ^npt++++=constable
went ^vbd+++xvbn+=went
willingly ^rb++++=willingly
and ^cc++++=and
no ^at++++=no
priest ^nn++++=priest
without ^in++++=without
a ^at++++=a
guide ^nn++++=guide.
. ^zz++++=EXTRAWORD
Loka ^np+++??+=Loka
had ^vbd+hvd+aux++=had
appeared ^vprf+++xvbnx+=appeared
at ^rb++++=at
her ^pp3o+pp3+++=her
kitchen ^nn++++=kitchen
door ^nn++++=door
one ^cd1++++=one
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
barefoot ^jj++++=barefoot,
, ^zz++++=EXTRAWORD
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carrying ^vbg+++xvbg+=carrying
nothing ^pn++++=nothing
but ^cc++++=but
a ^at++++=a
wet ^jj+atrb+++=wet
bundle ^nn++++=bundle
of ^in++++=of
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ladies ^nns++++=ladies
agreed ^vbd+vpub++xvbn+=agreed
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
must ^md+nec+++=must
be ^vb+be+aux++=be
rescued ^vpsv++agls+xvbnx+=rescued.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
disagreed ^vbd+++xvbnx+=disagreed
only ^rb+down+++=only
as ^in++++=as
to ^in"++++=to
who ^whp+who+++=who
should ^md+nec+++=should
endure ^vb++++=endure
the ^ati++++=the
inconvenience ^nn+nom+++=inconvenience
of ^in++++=of
rescuing ^xvbg+++xvbg+=rescuing
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
strong ^jj+pred+++=strong,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Madame ^npt++++=Madame
Frobissaint ^np+++??+=Frobissaint.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
can ^md+pos+++=can
work ^vb++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
looks ^vbz++++=looks
lazy ^jj++++=lazy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
another ^ppls++++=another.
. ^zz++++=EXTRAWORD
" ^zz++++="Work
work ^nn++++=EXTRAWORD
cures ^nns++++=cures
laziness ^nns+nom+++=laziness."
. ^zz++++=EXTRAWORD
