At ^rb++++=At
three ^cd++++=three
minutes ^nns++++=minutes
past ^jjb++++=past
four ^cd++++=four
on ^in++++=on
a ^at++++=a
Thursday ^nr++++=Thursday
afternoon ^nn++++=afternoon
Mr ^npt++++=Mr
Sandbach ^np++++=Sandbach
and ^cc++++=and
Mr ^npt++++=Mr
Gale ^np++++=Gale
stood ^vbd+++xvbn+=stood
beneath ^in+pl+++=beneath
the ^ati++++=the
glass ^nn++++=glass
roof ^nn++++=roof
of ^in++++=of
Bursley ^np+++??+=Bursley
railway ^nn++++=railway
station ^nn+nom+++=station,
, ^zz++++=EXTRAWORD
each ^dt++++=each
waiting ^jj+++xvbg+=waiting
for ^in++++=for
a ^at++++=a
train ^nn++++=train
which ^whp+rel+obj++=which
neither ^rb++neg++=neither
particularly ^rb++++=particularly
desired ^vb+++xvbn+=desired
to ^to+vcmp+++=to
catch ^vbi++++=catch.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
manufacturers ^nns+nom+++=manufacturers
of ^in++++=of
small ^jj+atrb+++=small
but ^cc+phrs+++=but
indispensable ^jj+atrb+++=indispensable
articles ^nns++++=articles
in ^in++++=in
brass ^nn++++=brass,
, ^zz++++=EXTRAWORD
prosperous ^jj++++=prosperous
in ^in++++=in
a ^at++++=a
moderate ^jj+atrb+++=moderate
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
unmarried ^jj++++=unmarried
by ^in++++=by
conviction ^nn+nom+++=conviction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
friends ^nns++++=friends
by ^in++++=by
virtue ^in"++++=virtue
of ^in"++++=of
a ^at++++=a
sustained ^jj+atrb++xvbn+=sustained
inability ^nn+nom+++=inability
to ^to+ncmp+++=to
agree ^vbi+vpub+++=agree
upon ^in++++=upon
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
A ^at++++=A
friendship ^nn+nom+++=friendship
of ^in++++=of
twenty ^cd++++=twenty
years ^nns++++=years
may ^md+pos+++=may
rest ^vb++++=rest
on ^in++++=on
affection ^nn+nom+++=affection,
, ^zz++++=EXTRAWORD
habit ^nn++++=habit,
, ^zz++++=EXTRAWORD
mutual ^jj+atrb+++=mutual
esteem ^nn++++=esteem,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
fortunate ^jj+atrb+++=fortunate
possession ^nn++++=possession
of ^in++++=of
opposite ^jj+atrb+++=opposite
political ^jj+atrb+++=political
opinions ^nns++++=opinions.
. ^zz++++=EXTRAWORD
Theirs ^pp$$++++=Theirs
rested ^vbd+++xvbn+=rested
chiefly ^rb++++=chiefly
on ^in++++=on
wagers ^nn++++=wagers.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
bet ^vbd+vpub++xvbnx+=bet
on ^in++++=on
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
trains ^nns++++=trains,
, ^zz++++=EXTRAWORD
municipal ^jj+atrb+++=municipal
elections ^nns+nom+++=elections,
, ^zz++++=EXTRAWORD
the ^ati++++=the
precise ^jj+atrb+++=precise
age ^nn++++=age
of ^in++++=of
strangers ^nns+nom+++=strangers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
capacity ^nn+nom+++=capacity
of ^in++++=of
waiters ^nns+nom+++=waiters
to ^to+vcmp+++=to
overlook ^vbi+vprv+++=overlook
an ^at++++=an
empty ^jj+atrb+++=empty
cup ^nn++++=cup.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stakes ^nns++++=stakes
were ^vbd+bed+vrb++=were
seldom ^rb++++=seldom
high ^jj+pred+++=high;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
moral ^jj+atrb+++=moral
results ^nns++++=results
were ^vbd+bed+vrb++=were
tremendous ^jj+pred+++=tremendous.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr
Sandbach ^np++++=Sandbach,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
