They ^pp3a+pp3+++=They
called ^vbd+++xvbnx+=called
her ^pp3o+pp3+++=her
La ^&fw++++=La
Folle ^np+++??+=Folle
because ^cs+cos+++=because
no ^at++++=no
other ^ap++++=other
name ^nn++++=name
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
explain ^vbi+vpub+++=explain
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived
twenty ^cd++++=twenty
years ^nns++++=years
within ^in++++=within
sight ^nn++++=sight
of ^in++++=of
a ^at++++=a
road ^nn++++=road
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
travel ^vb++++=travel
and ^cc++++=and
within ^in++++=within
sound ^nn++++=sound
of ^in++++=of
neighbors ^nns++++=neighbors
she ^pp3a+pp3+++=she
would ^md+prd+++=would
not ^xnot++not++=not
visit ^vb++++=visit.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
cabin ^nn++++=cabin
stood ^vbd+++xvbn+=stood
beyond ^in++++=beyond
an ^at++++=an
abandoned ^jj+atrb++xvbn+=abandoned
field ^nn++++=field
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
Bellissime ^np+++??+=Bellissime
plantation ^nn+nom+++=plantation.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
it ^pp3+it+++=it
rose ^vbd+++xvbn+=rose
a ^at++++=a
ragged ^jj+atrb+++=ragged
wall ^nn++++=wall
of ^in++++=of
pines ^nns++++=pines;
; ^zz++++=EXTRAWORD
before ^in++++=before
it ^pp3+it+++=it
the ^ati++++=the
bayou ^nn+++??+=bayou
curved ^jj++++=curved
like ^in++++=like
a ^at++++=a
dark ^jj+atrb+++=dark
crescent ^npl++++=crescent
through ^in++++=through
reeds ^nns++++=reeds
and ^cc++++=and
willows ^nns++++=willows.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
farther ^rbr++++=farther
bank ^nn++++=bank
began ^vbd+++xvbn+=began
the ^ati++++=the
broad ^jj+atrb+++=broad
life ^nn++++=life
of ^in++++=of
the ^ati++++=the
plantation ^nn+nom+++=plantation
white ^jj+atrb+++=white
cotton ^np++++=cotton
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
clustered ^jj+atrb++xvbn+=clustered
cabins ^nns++++=cabins,
, ^zz++++=EXTRAWORD
barns ^nns+++??+=barns,
, ^zz++++=EXTRAWORD
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
owner ^nn++++=owner's
's ^vbz+bez+vrb++0=EXTRAWORD
great ^jj+atrb+++=great
house ^npl++++=house
with ^in++++=with
its ^pp$+it+++=its
square ^nn++++=square
galleries ^nns+nom+++=galleries
and ^cc++++=and
gray ^np++++=gray
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
La ^&fw++++=La
Folle ^np+++??+=Folle
saw ^vbd+vprv++xvbn+=saw
these ^dt+dem+++=these
things ^nns++++=things
every ^at++++=every
day ^nn++++=day.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
people ^nns++++=people
crossing ^vwbg+++xvbg+=crossing
