**san ^jj+atrb+++=**SAN
Francisco ^np++++=FRANCISCO,
, ^zz++++=EXTRAWORD
April ^nr++++=April
3.** ^cd++++=3.**
My ^pp$+pp1+++=My
dearest ^jjt++++=dearest
Irene ^np++++=Irene:
: ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
put ^vbd+++xvbn+=put
away ^rb+phrv+++=away
your ^pp$+pp2+++=your
smelling ^vbg+nom++xvbg+=smelling-salts
- ^zz++++=EXTRAWORD
salts ^nns++++=EXTRAWORD
and ^cc++++=and
cease ^vb++++=cease
composing ^nvbg+++xvbg+=composing
my ^pp$+pp1+++=my
obituary ^nn+nom+++=obituary.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
survived ^vbd+++xvbnx+=survived
the ^ati++++=the
Alborough ^np+++??+=Alborough
reception ^nn+nom+++=reception,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Alborough ^np++++=Alborough
placed ^vwbn+++xvbn+=placed
me ^pp1o+pp1+++=me
between ^in++++=between
a ^at++++=a
mining ^nn++++=mining
superintendent ^nn++++=superintendent
who ^whp+rel+subj++=who
ate ^vbd+++xvbn+=ate
asparagus ^nn++++=asparagus
with ^in++++=with
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
a ^at++++=a
poet ^nn++++=poet
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
written ^vprf+++xvbnx+=written
an ^at++++=an
Ode ^np+++??+=Ode
to ^in++++=to
a ^at++++=a
Dead ^jj+atrb+++=Dead
Canary ^nn++++=Canary.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
forms ^nns++++=forms
of ^in++++=of
death ^nn++++=death
which ^whp+rel+subj++=which
leave ^vb++++=leave
the ^ati++++=the
body ^nn++++=body
walking ^vwbg+++xvbg+=walking
about ^in++++=about
in ^in++++=in
satin ^nn++++=satin
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
**him** ^nn+++??+=**Him**.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
ask ^vb++++=ask
" ^zz++++="whom?"
whom ^whp+wpor+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
aggravating ^jj+atrb++xvbg+=aggravating
way ^nn++++=way
of ^in++++=of
yours ^pp$$++++=yours.
. ^zz++++=EXTRAWORD
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally
the ^ati++++=the
Dr ^npt++++=Dr.
. ^zz++++=EXTRAWORD
Barritz ^np++++=Barritz
whom ^whp+rel+obj++=whom
everybody ^pn++++=everybody
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
talking ^vbg+++xvbgx+=talking
about ^in+strn+++=about;
; ^zz++++=EXTRAWORD
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
crossed ^vprf+++xvbnx+=crossed
Tibet ^np+++??+=Tibet,
, ^zz++++=EXTRAWORD
breakfasted ^j+++xvbn+=breakfasted
with ^in++++=with
princes ^nns++++=princes,
, ^zz++++=EXTRAWORD
attended ^j+++xvbn+=attended
a ^at++++=a
rajah ^nn+++??+=rajah
in ^in++++=in
some ^dti++++=some
place ^nn++++=place
no ^at++++=no
Christian ^nn++++=Christian
can ^md+pos+++=can
