# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
The ^ati++++=THE
Civilized ^jj+atrb+++=CIVILIZED
Face ^nn++++=FACE
In ^in++++=In
after ^in++++=after
years ^nns++++=years,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Lloyd ^np++++=Lloyd
Merriwether ^np+nom++??+=Merriwether
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
stout ^jj++++=stout,
, ^zz++++=EXTRAWORD
prosperous ^jj++++=prosperous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sufficiently ^rb++++=sufficiently
bald ^jj++++=bald
to ^to++++=to
regard ^vbi++++=regard
a ^at++++=a
hairbrush ^nn++++=hairbrush
as ^in++++=as
a ^at++++=a
sentimental ^jj++++=sentimental
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
practical ^jj+atrb+++=practical
object ^nn++++=object,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
often ^rb++++=often
told ^vbd+vpub++xvbn+=told
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
house ^npl++++=house
on ^in++++=on
the ^ati++++=the
Ogowe ^np+++??+=Ogowe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub+tht0+xvbnx+=told
it ^pp3+it+++=it
best ^jjt++++=best
after ^in++++=after
midnight ^nn++++=midnight,
, ^zz++++=EXTRAWORD
with ^in++++=with
three ^cd++++=three
companions ^nns++++=companions,
, ^zz++++=EXTRAWORD
a ^at++++=a
dwindling ^jj+atrb+++=dwindling
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bottle ^nn++++=bottle
within ^in++++=within
reach ^nn++++=reach.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
always ^rb++++=always
began ^vpsv++by+xvbn+=began
by ^in++++=by
insisting ^vb+vpub++xvbg+=insisting
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
imaginative ^jj++++=imaginative,
, ^zz++++=EXTRAWORD
repeated ^j+++xvbn+=repeated
this ^dt+dem+++=this
at ^in++++=at
intervals ^nns+nom+++=intervals
as ^in++++=as
the ^ati++++=the
narrative ^nn++++=narrative
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
fantastic ^jj++++=fantastic,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
concluded ^vpsv++by+xvbn+=concluded
by ^in++++=by
asking ^xvbg+++xvbg+=asking
whether ^cs+who+++=whether
any ^dti++++=any
man ^nn++++=man
present ^vb++++=present
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
gone ^vprf+++xvbnx+=gone
six ^cd++++=six
weeks ^nns++++=weeks
without ^in++++=without
a ^at++++=a
razor ^nn++++=razor.
. ^zz++++=EXTRAWORD
" ^zz++++="No?
no ^at++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
you ^pp2+pp2+++=you
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
anything ^pn++++=anything
about ^in++++=about
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
" ^zz++++="Pass
pass ^vb++++=EXTRAWORD
the ^ati++++=the
bottle ^nn++++=bottle."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
Merriwether ^np+nom+++=Merriwether's
's ^$++++=EXTRAWORD
account ^nn++++=account.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
You ^pp2+pp2+++=YOU
fellows ^nns++++=fellows
think ^vb+vprv+++=think
civilization ^nn+nom+++=civilization
means ^in++++=means
constitutions ^nns+nom+++=constitutions,
, ^zz++++=EXTRAWORD
steam ^nn++++=steam
engines ^nns++++=engines,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
women ^nns++++=women
in ^in++++=in
picture ^nn++++=picture
hats ^nns++++=hats.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
does ^vbz+doz+vrb++=doesn't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
Civilization ^nn+nom+++=Civilization
is ^vbz+bez+vrb++=is
a ^at++++=a
clean ^jj+atrb+++=clean
collar ^nn++++=collar.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
shaves ^vbz+++??+=shaves
you ^pp2+pp2+++=you
every ^at++++=every
morning ^nn++++=morning
and ^cc++++=and
talks ^nns++++=talks
baseball ^nn++++=baseball
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
does ^vbz+doz+vrb++=does
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
talcum ^nn+++??+=talcum
powder ^nn++++=powder,
, ^zz++++=EXTRAWORD
a ^at++++=a
porcelain ^nn++++=porcelain
tub ^nn++++=tub,
, ^zz++++=EXTRAWORD
a ^at++++=a
newspaper ^nn+nom+++=newspaper
folded ^vbd+++xvbn+=folded
beside ^in+pl+++=beside
your ^pp$+pp2+++=your
breakfast ^nn++++=breakfast
plate ^nn++++=plate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
policeman ^nn+nom+++=policeman
on ^in++++=on
the ^ati++++=the
corner ^npl++++=corner
whom ^whp+rel+obj++=whom
you ^pp2+pp2+++=you
can ^md+pos+++=can
dislike ^vb++++=dislike
without ^in++++=without
being ^xvbg+++xvbg+=being
afraid ^jj++++=afraid
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
learned ^vbd+vprv++xvbnx+=learned
that ^tht+vcmp+++=that
on ^rp++++=on
the ^ati++++=the
Ogowe ^np+++??+=Ogowe.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
grin ^nn++++=grin,
, ^zz++++=EXTRAWORD
Parker ^np++++=Parker.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
never ^rb++++=never
alone ^rb++++=alone
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
Dakar ^np+++??+=Dakar
in ^in++++=in
a ^at++++=a
mail ^nn++++=mail
steamer ^nn++++=steamer
and ^cc++++=and
bought ^vbd+++xvbn+=bought
a ^at++++=a
carved ^jj+atrb++xvbn+=carved
elephant ^nn+nom+++=elephant
from ^in++++=from
a ^at++++=a
boy ^nn++++=boy
at ^in++++=at
the ^ati++++=the
landing ^nvbg+++xvbg+=landing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=isn't
n't ^xnot++not++0=EXTRAWORD
Africa ^np++++=Africa.
. ^zz++++=EXTRAWORD
Africa ^np++++=Africa
begins ^vbz++++=begins
when ^wrb+who+++=when
the ^ati++++=the
last ^rb++++=last
white ^jj+atrb+++=white
roof ^nn++++=roof
sinks ^vbz++++=sinks
behind ^in+pl+++=behind
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
launch ^vb++++=launch
leaves ^nns++++=leaves
you ^pp2+pp2+++=you
at ^in++++=at
a ^at++++=a
trading ^jj+atrb++xvbg+=trading
post ^nn++++=post
smelling ^vwbg+++xvbg+=smelling
of ^in++++=of
palm ^nn++++=palm
oil ^nn++++=oil
and ^cc++++=and
mildew ^nn++++=mildew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
river ^nn++++=river
ahead ^rb+pl+++=ahead
narrows ^nps++++=narrows
between ^in++++=between
two ^cd++++=two
green ^jj+atrb+++=green
walls ^nns++++=walls
that ^tht+rel+subj++=that
look ^vb++++=look
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
waiting ^vbg+++xvbgx+=waiting
ten ^cd++++=ten
thousand ^cd++++=thousand
years ^nns++++=years
to ^to++++=to
close ^vbi++++=close.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
buying ^vbg+++xvbgx+=buying
rubber ^nn++++=rubber
then ^rn+tm+++=then
rubber ^nn++++=rubber,
, ^zz++++=EXTRAWORD
ivory ^nn++++=ivory
when ^wrb+who+++=when
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
my ^pp$+pp1+++=my
way ^nn++++=way,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anything ^pn++++=anything
else ^rb+cnj+++=else
from ^in++++=from
which ^whp+rel+pied++=which
our ^pp$+pp1+++=our
excellent ^jj+atrb+++=excellent
civilization ^nn+nom+++=civilization
could ^md+pos+++=could
squeeze ^vb++++=squeeze
six ^cd++++=six
per ^nnu++++=per
cent ^nnu"++++=cent.
