You ^pp2+pp2+++=You
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
in ^in++++=in
China ^np++++=China
the ^ati++++=the
Emperor ^nn++++=Emperor
is ^vbz+bez+vrb++=is
Chinese ^jj+pred+++=Chinese,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
his ^pp$+pp3+++=his
people ^nns++++=people
are ^vb+ber+vrb++=are
Chinese ^jj+pred+++=Chinese
too ^ql++++=too;
; ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
this ^dt+dem+++=this
story ^nn++++=story,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
happened ^vbd+++xvbn+=happened
so ^ql++++=so
long ^rb++++=long
ago ^rb++++=ago
that ^dt+dem+++=that
even ^rb++++=even
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
court ^nn++++=court
historian ^nn++++=historian
had ^md"++pmd"++=had
to ^md+nec+++=to
stand ^vb++++=stand
on ^in++++=on
a ^at++++=a
ladder ^nn++++=ladder
to ^to++++=to
read ^vbn+vprv++xvbn+=read
the ^ati++++=the
first ^od++++=first
page ^nn++++=page
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Emperor ^np++++=Emperor's
's ^$++++=EXTRAWORD
palace ^nn++++=palace
was ^vbd+bedz+vrb++=was
the ^ati++++=the
most ^ql+emph+++=most
splendid ^jj+atrb+++=splendid
palace ^nn++++=palace
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made
of ^in++++=of
porcelain ^nn++++=porcelain,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
costly ^jj++++=costly
and ^cc++++=and
very ^ql+amp+++=very
delicate ^jj++++=delicate,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
one ^cd1++++=one
had ^md"++pmd"++=had
to ^md+nec+++=to
walk ^vb++++=walk
carefully ^rb++++=carefully
and ^cc++++=and
speak ^vb++++=speak
politely ^rb+cnj+++=politely,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
a ^at++++=a
wall ^nn++++=wall
should ^md+nec+++=should
crack ^jjb++++=crack
from ^in++++=from
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
Golden ^jj+atrb+++=Golden
dragons ^nns++++=dragons
curled ^vbd+++xvbn+=curled
about ^in++++=about
the ^ati++++=the
roofs ^nns++++=roofs;
; ^zz++++=EXTRAWORD
lanterns ^nns++++=lanterns
of ^in++++=of
painted ^jj+atrb++xvbn+=painted
silk ^nn++++=silk
hung ^vbd+++xvbn+=hung
beneath ^in+pl+++=beneath
the ^ati++++=the
eaves ^nns++++=eaves;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
hall ^npl++++=hall
stood ^vbd+++xvbn+=stood
a ^at++++=a
throne ^nn++++=throne
carved ^vbd+++xvbn+=carved
from ^in++++=from
a ^at++++=a
single ^jj+atrb+++=single
piece ^nn++++=piece
of ^in++++=of
pearl ^nn++++=pearl,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
so ^rb++++=so
the ^ati++++=the
keeper ^nn++++=keeper
of ^in++++=of
the ^ati++++=the
throne ^nn++++=throne
always ^rb++++=always
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gardens ^nns++++=gardens
stretched ^vwbn+++xvbn+=stretched
farther ^rbr++++=farther
than ^in++++=than
anyone ^pn++++=anyone
knew ^vbd+vprv++xvbn+=knew.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
chief ^jjb+atrb+++=chief
gardener ^nn+nom+++=gardener
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
blue ^jj+atrb+++=blue
lakes ^nns++++=lakes
with ^in++++=with
white ^jj+atrb+++=white
bridges ^nns++++=bridges,
, ^zz++++=EXTRAWORD
orange ^np++++=orange
trees ^nns++++=trees
bearing ^vwbg+++xvbg+=bearing
fruit ^nn++++=fruit
beside ^in+pl+++=beside
almond ^nn++++=almond
trees ^nns++++=trees
in ^in++++=in
blossom ^vb++++=blossom,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flowers ^nns+nom+++=flowers
so ^rb+emph+++=so
rare ^jj++++=rare
that ^dt+dem+++=that
little ^ap++++=little
silver ^nn++++=silver
bells ^nns++++=bells
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tied ^vpsv++agls+xvbnx+=tied
to ^in++++=to
their ^pp$+pp3+++=their
stems ^nns++++=stems.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
a ^at++++=a
visitor ^nn++++=visitor
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bells ^nns++++=bells
rang ^vbd+++xvbn+=rang,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Pray
pray ^vb+vsua+++=EXTRAWORD
look ^vb++++=look
down ^in+strn+++=down!
! ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
something ^pn++++=something
remarkable ^jj++++=remarkable!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
gardens ^nns++++=gardens
lay ^vbd+++xvbn+=lay
a ^at++++=a
deep ^jj+atrb+++=deep
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
the ^ati++++=the
wood ^nn++++=wood
the ^ati++++=the
blue ^jj+atrb+++=blue
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Great ^jj+atrb+++=Great
ships ^nns++++=ships
sailed ^vbd+++xvbn+=sailed
beneath ^in+pl+++=beneath
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
for ^in++++=for
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
leaned ^vbd+++xvbn+=leaned
so ^rb++++=so
far ^rb+pl+++=far
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
that ^tht+rel+obj++=that
their ^pp$+pp3+++=their
leaves ^nns++++=leaves
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
sailors ^nns++++=sailors
singing ^vwbg+++xvbg+=singing.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
trees ^nns++++=trees
