# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=The
Garden ^nn++++=Garden
Lodge ^vb++++=Lodge
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
women ^nns++++=women
who ^whp+rel+subj++=who
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
Caroline ^np++++=Caroline
Noble ^jj++++=Noble
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
without ^in++++=without
the ^ati++++=the
faculty ^nn++++=faculty
of ^in++++=of
regret ^nn++++=regret.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
peculiar ^jj+atrb+++=peculiar
resentment ^nn+nom+++=resentment
which ^whp+rel+obj++=which
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
reserve ^nn++++=reserve
for ^in++++=for
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
not ^xnot++not++=not
only ^ap+down+++=only
escaped ^jj+atrb++xvbn+=escaped
misfortune ^nn++++=misfortune
but ^cc++++=but
have ^vb+hv+aux++=have
declined ^vprf+++xvbnx+=declined
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
improved ^vpsv++by+xvbnx+=improved
by ^in++++=by
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Caroline ^np++++=Caroline
had ^vb+hv+vrb++=had
health ^nn++++=health,
, ^zz++++=EXTRAWORD
money ^nn++++=money,
, ^zz++++=EXTRAWORD
an ^at++++=an
attentive ^jj+atrb+++=attentive
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
two ^cd++++=two
agreeable ^jj+atrb+++=agreeable
children ^nns++++=children
safely ^rb++++=safely
established ^vbd+vprv++xvbn+=established
elsewhere ^rb+cnj+++=elsewhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
house ^npl++++=house
on ^in++++=on
the ^ati++++=the
northern ^jj+atrb+++=northern
coast ^nn++++=coast
which ^whp+rel+subj++=which
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
in ^in++++=in
May ^md+pos+++=May
and ^cc++++=and
June ^nr++++=June,
, ^zz++++=EXTRAWORD
to ^in++++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
arranged ^vpsv++by+xvbnx+=arranged
by ^in++++=by
Providence ^np+nom++??+=Providence
for ^in++++=for
the ^ati++++=the
humiliation ^nn+nom+++=humiliation
of ^in++++=of
her ^pp$+pp3+++=her
friends ^nns++++=friends.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
grey ^jj+atrb+++=grey
terraces ^nns++++=terraces
descended ^vbd+++xvbn+=descended
through ^in++++=through
orchards ^nns++++=orchards
white ^jj++++=white
with ^in++++=with
blossom ^vb++++=blossom;
; ^zz++++=EXTRAWORD
its ^pp$+it+++=its
lawns ^nns++++=lawns,
, ^zz++++=EXTRAWORD
running ^jj+++xvbg+=running
between ^in++++=between
banks ^nns++++=banks
of ^in++++=of
azalea ^nn++++=azalea
and ^cc++++=and
laurel ^nn++++=laurel,
, ^zz++++=EXTRAWORD
ended ^j+++xvbn+=ended
above ^jjb++++=above
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
blue ^jj+atrb+++=blue
water ^nn++++=water;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
salt ^jj+atrb+++=salt
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
after ^in++++=after
passing ^nn++++=passing
over ^in++++=over
the ^ati++++=the
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
arrived ^j+++xvbn+=arrived
at ^rb++++=at
the ^ati++++=the
open ^jj+atrb+++=open
windows ^nns++++=windows
with ^in++++=with
the ^ati++++=the
mingled ^jj+atrb++xvbn+=mingled
freshness ^nns+nom+++=freshness
of ^in++++=of
sea ^nn++++=sea
and ^cc++++=and
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Caroline ^np++++=Caroline
was ^vbd+bedz+aux++=was
believed ^vpsv++agls+xvbnx+=believed
to ^to+vcmp+++=to
take ^vbi++++=take
all ^abn++++=all
these ^dt+dem+++=these
benefits ^nns++++=benefits
as ^ql++++=as
she ^pp3a+pp3+++=she
took ^vbd+++xvbnx+=took
her ^pp$+pp3+++=her
breakfast ^nn++++=breakfast
tray ^nn++++=tray
promptly ^rb+cnj+++=promptly,
, ^zz++++=EXTRAWORD
temperately ^jj++++=temperately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
without ^in++++=without
emotion ^nn+nom+++=emotion.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
composure ^nn++++=composure
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
affront ^nn++++=affront
to ^in++++=to
less ^rbr++++=less
fortunate ^jj+atrb+++=fortunate
women ^nns++++=women.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
complain ^vb+vpub+++=complain
of ^in++++=of
her ^pp$+pp3+++=her
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
they ^pp3a+pp3+++=they
remained ^vbd+++xvbnx+=remained
with ^in++++=with
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
discuss ^vb++++=discuss
Howard ^np++++=Howard's
's ^$++++=EXTRAWORD
shortcomings ^nns++++=shortcomings,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
no ^at++++=no
husband ^nn++++=husband
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
without ^in++++=without
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
excellent ^jj+atrb+++=excellent
clothes ^nns++++=clothes
but ^cc++++=but
never ^rb++++=never
described ^vbd+++xvbn+=described
their ^pp$+pp3+++=their
purchase ^nn++++=purchase;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
the ^ati++++=the
dangerous ^jj+atrb+++=dangerous
middle ^jjb+atrb+++=middle
years ^nns++++=years
without ^in++++=without
becoming ^xvbg+++xvbg+=becoming
religious ^jj++++=religious,
, ^zz++++=EXTRAWORD
philanthropic ^jj++++=philanthropic,
, ^zz++++=EXTRAWORD
literary ^jj++++=literary,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
unwell ^jj++++=unwell.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
friends ^nns++++=friends
came ^vbd+++xvbn+=came
to ^in++++=to
Briarcliff ^np+++??+=Briarcliff
burdened ^vbd+++xvbn+=burdened
with ^in++++=with
broken ^xvbn+++xvbn+=broken
engagements ^nns+nom+++=engagements,
, ^zz++++=EXTRAWORD
disappointing ^jj+atrb+++=disappointing
sons ^nns++++=sons,
, ^zz++++=EXTRAWORD
alarming ^jj+atrb++xvbg+=alarming
doctors ^nns++++=doctors,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
discovery ^nn+nom+++=discovery
that ^tht+ncmp+++=that
life ^nn++++=life
had ^vbd+hvd+aux++=had
omitted ^vprf+++xvbnx+=omitted
something ^pn++++=something
promised ^vbd+++xvbn+=promised
in ^in++++=in
girlhood ^nn+nom+++=girlhood,
, ^zz++++=EXTRAWORD
Caroline ^np++++=Caroline
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
offered ^jj+atrb++xvbn+=offered
practical ^jj+atrb+++=practical
assistance ^nn+nom+++=assistance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
refused ^vbd+++xvbn+=refused
to ^to+vcmp+++=to
confuse ^vbi++++=confuse
sympathy ^nn++++=sympathy
with ^in++++=with
participation ^nn+nom+++=participation.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
to ^to++++=to
be ^vbi+vbi+aux++=be
said ^vpsv++agls+xvbnx+=said
for ^in++++=for
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
the ^ati++++=the
assistance ^nn+nom+++=assistance
was ^vbd+bedz+vrb++=was
generally ^rb+down+++=generally
useful ^jj+pred+++=useful.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however
sound ^jj++++=sound,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
seldom ^rb++splt++=seldom
forgiven ^vpsv++agls+xvbnx+=forgiven
when ^wrb+who+++=when
it ^pp3+it+++=it
comes ^vbz++++=comes
from ^in+ppvb+++=from
a ^at++++=a
woman ^nn++++=woman
whose ^whp+rel+obj++=whose
carpets ^nns++++=carpets
are ^vb+ber+vrb++=are
neither ^dt++neg++=neither
faded ^jj+++xvbn+=faded
nor ^cc+phrs+neg++=nor
unpaid ^jj++++=unpaid
for ^in+strn+++=for.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
spring ^nn++++=spring
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
additional ^jj+atrb+++=additional
provocation ^nn+nom+++=provocation.
. ^zz++++=EXTRAWORD
Raymond ^np++++=Raymond
d ^zz++++=d'Esquerre,
'esquerre, ^nn+++??+=EXTRAWORD
the ^ati++++=the
celebrated ^jj+atrb++xvbn+=celebrated
tenor ^nn++++=tenor,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
nearly ^rb+down+++=nearly
a ^at++++=a
month ^nn++++=month
at ^in++++=at
Briarcliff ^np+++??+=Briarcliff
preparing ^vwbg+++xvbg+=preparing
a ^at++++=a
new ^jj+atrb+++=new
r ^zz++++=r
le ^&fw++++=le,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Caroline ^np++++=Caroline,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
studied ^vprf+++xvbnx+=studied
music ^nn++++=music
in ^in++++=in
her ^pp$+pp3+++=her
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
for ^in++++=for
him ^pp3o+pp3+++=him
every ^at++++=every
morning ^nn++++=morning
in ^in++++=in
the ^ati++++=the
old ^nn++++=old
lodge ^vb++++=lodge
at ^rb++++=at
the ^ati++++=the
lower ^jjr+atrb+++=lower
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
To ^in++++=To
have ^vbi+vbi+aux++=have
sheltered ^vprf+++xvbnx+=sheltered
d ^zz++++=d'Esquerre
'esquerre ^nn+++??+=EXTRAWORD
beneath ^in+pl+++=beneath
one ^cd1++++=one's
's ^vbz+bez+aux++0=EXTRAWORD
