# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Proper ^jj+atrb+++=PROPER
Manner ^nn++++=MANNER
Of ^in++++=OF
Receiving ^xvbg+++xvbg+=RECEIVING
An ^at++++=AN
Army ^nn++++=ARMY
Which ^whp+rel+subj++=WHICH
Has ^vbz+hvz+aux++=HAS
Come ^vprf+++xvbn+=COME
To ^to++++=TO
Welcome ^vbi++++=WELCOME
You ^pp2+pp2+++=YOU
When ^wrb+who+++=When
Lieutenant ^npt+nom+++=Lieutenant
Adrian ^np++++=Adrian
Wren ^nn++++=Wren
recovered ^vbd+++xvbn+=recovered
consciousness ^nns+nom+++=consciousness
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
lying ^vbg+++xvbgx+=lying
upon ^in++++=upon
his ^pp$+pp3+++=his
back ^jjb++++=back
in ^in++++=in
a ^at++++=a
thicket ^nn++++=thicket
of ^in++++=of
cedar ^nn++++=cedar,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
head ^jjb++++=head
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
the ^ati++++=the
exposed ^jj+atrb++xvbn+=exposed
root ^nn++++=root
of ^in++++=of
a ^at++++=a
tree ^nn++++=tree
and ^cc++++=and
his ^pp$+pp3+++=his
face ^vb++++=face
turned ^vbd+++xvbn+=turned
upward ^jjb++++=upward
to ^in++++=to
the ^ati++++=the
moon ^nn++++=moon.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
pillows ^nns++++=pillows
less ^rbr++++=less
hard ^jj++++=hard,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
perhaps ^rb++++=perhaps
none ^pn++++=none
better ^jjr++++=better
adapted ^jj+++xvbn+=adapted
to ^in++++=to
the ^ati++++=the
repose ^nn++++=repose
of ^in++++=of
a ^at++++=a
soldier ^nn++++=soldier.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
minutes ^nns++++=minutes
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
the ^ati++++=the
sky ^nn++++=sky
without ^in++++=without
curiosity ^nn+nom+++=curiosity.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
pale ^jj+atrb+++=pale
winter ^nn++++=winter
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
thinly ^rb++++=thinly
filmed ^jj+++xvbn+=filmed
with ^in++++=with
vapour ^nn++++=vapour;
; ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
declining ^jj+++xvbg+=declining
toward ^in++++=toward
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
that ^dt+pdem+++=that
tarnished ^vbd+++xvbn+=tarnished
aspect ^nn++++=aspect
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
assumes ^vbz+vprv+++=assumes
above ^jjb+atrb+++=above
fields ^nns++++=fields
where ^wrb+who+++=where
men ^nns++++=men
have ^vb+hv+aux++=have
lately ^rb+tm+splt++=lately
died ^vprf+++xvbnx+=died.
. ^zz++++=EXTRAWORD
A ^at++++=A
branch ^nn++++=branch
crossed ^vbd+++xvbn+=crossed
her ^pp$+pp3+++=her
face ^nn++++=face
like ^in++++=like
a ^at++++=a
crack ^nn++++=crack
