# ^zz++++=#
A ^at++++=A
Descent ^nn++++=Descent
from ^in++++=from
the ^ati++++=the
Stelvio ^np+++??+=Stelvio
Herr ^npt++++=Herr
Lorenzo ^np+++??+=Lorenzo
Lenz ^np+++??+=Lenz
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
German ^nn++++=German,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
a ^at++++=a
German ^jj+atrb+++=German
name ^nn++++=name,
, ^zz++++=EXTRAWORD
a ^at++++=a
German ^jj+atrb+++=German
waistcoat ^nn++++=waistcoat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
German ^jj+atrb+++=German
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
every ^at++++=every
traveller ^nn+nom+++=traveller
entering ^vwbg+++xvbg+=entering
his ^pp$+pp3+++=his
hotel ^npl++++=hotel
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
created ^vpsv++by+xvbnx+=created
by ^in++++=by
Providence ^np+nom++??+=Providence
for ^in++++=for
the ^ati++++=the
payment ^nn+nom+++=payment
of ^in++++=of
extras ^nns++++=extras.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
an ^at++++=an
Italian ^nn++++=Italian
of ^in++++=of
the ^ati++++=the
lake ^nn++++=lake
country ^nn++++=country,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
proprietor ^nn++++=proprietor
of ^in++++=of
the ^ati++++=the
Hotel ^nn++++=Hotel
Paradiso ^np+++??+=Paradiso,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stood ^vbd+++xvbn+=stood
above ^jjb++++=above
Como ^np+++??+=Como
amid ^in++++=amid
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
chestnuts ^nns++++=chestnuts,
, ^zz++++=EXTRAWORD
marble ^nn++++=marble
terraces ^nns++++=terraces,
, ^zz++++=EXTRAWORD
blue ^jj+atrb+++=blue
water ^nn++++=water,
, ^zz++++=EXTRAWORD
purple ^jj+atrb+++=purple
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
such ^abl++++=such
other ^ap++++=other
natural ^jj+atrb+++=natural
attractions ^nns+nom+++=attractions
as ^in++++=as
cost ^nn++++=cost
the ^ati++++=the
proprietor ^nn++++=proprietor
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hotel ^npl++++=hotel
itself ^ppl++++=itself
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^rb++++=long
white ^jj++++=white
building ^jj+++xvbg+=building
with ^in++++=with
green ^jj+atrb+++=green
shutters ^nns+nom+++=shutters,
, ^zz++++=EXTRAWORD
a ^at++++=a
leaking ^jj+atrb+++=leaking
fountain ^nn++++=fountain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
view ^nn++++=view
which ^whp+rel+obj++=which
Herr ^npt++++=Herr
Lenz ^np+++??+=Lenz
valued ^vwbn+++xvbn+=valued
at ^rb++++=at
six ^cd++++=six
francs ^nns++++=francs
a ^at++++=a
day ^nn++++=day
without ^in++++=without
breakfast ^nn++++=breakfast.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
upper ^jjb+atrb+++=upper
balcony ^nn++++=balcony
