**a ^nn+++??+=**A
Confusion ^nn++++=CONFUSION
Of ^in++++=OF
Persons** ^np+++??+=PERSONS**
My ^pp$+pp1+++=My
Dear ^jj+atrb+++=Dear
Ellison ^np++++=Ellison,
, ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ask ^vb++++=ask
whether ^cs+who+++=whether
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
one ^cd1++++=one
mind ^nn++++=mind
may ^md+pos+++=may
communicate ^nn+nom+++=communicate
with ^in++++=with
another ^dt++++=another
otherwise ^rb+cnj+++=otherwise
than ^in++++=than
by ^in++++=by
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
offices ^nns++++=offices
of ^in++++=of
speech ^nn++++=speech,
, ^zz++++=EXTRAWORD
writing ^vbg+++xvbg+=writing
and ^cc++++=and
gesture ^nn++++=gesture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answer ^vb++++=answer
that ^tht+vcmp+++=that
belief ^nn++++=belief
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
evidence ^nn+nom+++=evidence;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
disbelief ^nn++++=disbelief,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
too ^rb++++=too
confidently ^rb++++=confidently
entertained ^vbd+++xvbn+=entertained,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
merely ^rb+down+++=merely
ignorance ^nn+nom+++=ignorance
in ^in++++=in
ceremonial ^jj+atrb+++=ceremonial
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
laws ^nns++++=laws
of ^in++++=of
nature ^nn++++=nature
whose ^whp+rel+obj++=whose
effects ^nns++++=effects
we ^pp1a+pp1+++=we
observe ^vb+vprv+++=observe
without ^in++++=without
knowing ^xvbg+++xvbg+=knowing
their ^pp$+pp3+++=their
terms ^nns++++=terms,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
savage ^jj+atrb+++=savage
may ^md+pos+++=may
see ^vb+vprv+++=see
the ^ati++++=the
needle ^nn++++=needle
turn ^nn++++=turn
northward ^jjb++++=northward
and ^cc++++=and
attribute ^vb++++=attribute
its ^pp$+it+++=its
obedience ^nn+nom+++=obedience
to ^in++++=to
a ^at++++=a
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
relate ^vb++++=relate
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
as ^in++++=as
nearly ^rb+down+++=nearly
as ^in++++=as
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
impaired ^xvbn+++xvbn+=impaired
by ^in++++=by
illness ^nns+nom+++=illness
and ^cc++++=and
troubled ^vpsv++by+xvbn+=troubled
by ^in++++=by
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
permits ^nns++++=permits
me ^pp1o+pp1+++=me
to ^to++++=to
make ^vbi++++=make
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
can ^md+pos+++=can
explain ^vb+vpub+++=explain
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
have ^vb+hv+aux++=have
relieved ^vprf+++xvbnx+=relieved
me ^pp1o+pp1+++=me
of ^in++++=of
a ^at++++=a
burden ^nn++++=burden
which ^whp+rel+obj++=which
philosophy ^nn++++=philosophy
has ^vbz+hvz+aux++=has
only ^rb+down+splt++=only
taught ^vprf+++xvbnx+=taught
me ^pp1o+pp1+++=me
to ^to++++=to
carry ^vbi++++=carry
with ^in++++=with
composure ^nn++++=composure.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv++xvbn+=knew
my ^pp$+pp1+++=my
brother ^nn++++=brother
John ^np++++=John,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
you ^pp2+pp2+++=you
met ^vbd+++xvbn+=met
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
twice ^rb++++=twice.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
met ^vprf+++xvbnx+=met
me ^pp1o+pp1+++=me
more ^rbr++++=more
frequently ^rb++++=frequently;
; ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
we ^pp1a+pp1+++=we
three ^cd++++=three
stood ^vbd+++xvbn+=stood
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
doubt ^nn++++=doubt
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
could ^md+pos+++=could
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
which ^wdt+who+whcl++=which
of ^in++++=of
us ^pp1o+pp1+++=us
was ^vbd+bedz+vrb++=was
Henry ^np++++=Henry
Stevens ^np++++=Stevens.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
identical ^jj+atrb+++=identical
twins ^nns++++=twins
not ^xnot++not++=not
merely ^rb+down+++=merely
alike ^rb++++=alike
in ^in++++=in
the ^ati++++=the
broad ^jj+atrb+++=broad
and ^cc+phrs+++=and
charitable ^jj+atrb+++=charitable
sense ^nn++++=sense
in ^in++++=in
which ^whp+rel+pied++=which
relatives ^nns++++=relatives
discover ^nn+nom+++=discover
resemblance ^nn+nom+++=resemblance
between ^in++++=between
any ^dti++++=any
two ^cd++++=two
infants ^nns+nom+++=infants
equally ^rb++++=equally
red ^jj++++=red,
, ^zz++++=EXTRAWORD
shapeless ^jj++++=shapeless
and ^cc+phrs+++=and
objectionable ^jj++++=objectionable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
alike ^rb++++=alike
in ^in++++=in
every ^at++++=every
feature ^nn++++=feature,
, ^zz++++=EXTRAWORD
motion ^nn++++=motion
and ^cc++++=and
intonation ^nn+nom+++=intonation.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
affection ^nn+nom+++=affection
should ^md+nec+++=should
have ^vb+hv+aux++=have
sharpened ^vprf+++xvbnx+=sharpened
her ^pp3o+pp3+++=her
discernment ^nn+nom+++=discernment,
, ^zz++++=EXTRAWORD
confessed ^vb+++xvbn+=confessed
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
distinguished ^vbd+++xvbnx+=distinguished
us ^pp1o+pp1+++=us
chiefly ^rb++++=chiefly
by ^in++++=by
our ^pp$+pp1+++=our
clothing ^nn++++=clothing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
resource ^nn++++=resource
failed ^vbd+++xvbn+=failed
whenever ^nn+nom+++=whenever,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
exercise ^nn++++=exercise
of ^in++++=of
a ^at++++=a
harmless ^jj+atrb+++=harmless
depravity ^nn+nom+++=depravity,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
exchanged ^vbd+++xvbn+=exchanged
coats ^nns++++=coats.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
father ^nn++++=father
once ^rb+tm+++=once
tattooed ^vwbn+++xvbn+=tattooed
a ^at++++=a
small ^jj+atrb+++=small
blue ^jj+atrb+++=blue
point ^nn++++=point
upon ^in++++=upon
John ^np++++=John's
's ^$++++=EXTRAWORD
left ^jj+++xvbn+=left
arm ^vb++++=arm.
. ^zz++++=EXTRAWORD
By ^in++++=By
morning ^nn++++=morning
an ^at++++=an
equally ^rb++++=equally
blue ^jj+atrb+++=blue
point ^nn++++=point
appeared ^vbd+seem++xvbn+=appeared
upon ^in++++=upon
mine ^nn++++=mine,
