In ^in++++=In
the ^ati++++=the
reign ^nn++++=reign
of ^in++++=of
King ^nn++++=King
Louis ^np++++=Louis
whether ^cs+who+++=whether
the ^ati++++=the
Eleventh ^rb+cnj+++=Eleventh,
, ^zz++++=EXTRAWORD
Twelfth ^np++++=Twelfth,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
other ^ap++++=other
Louis ^np++++=Louis
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
determine ^vb++++=determine,
, ^zz++++=EXTRAWORD
kings ^nns++++=kings
of ^in++++=of
that ^dt+dem+++=that
name ^nn++++=name
having ^xvbg+++xvbg+=having
been ^vprf+ben+vrb+xvbn+=been
as ^ql++++=as
plentiful ^jj++++=plentiful
in ^in++++=in
France ^np++++=France
as ^ql++++=as
blackberries ^nns++++=blackberries
beside ^in+pl+++=beside
a ^at++++=a
country ^nn++++=country
road ^npl++++=road
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
in ^in++++=in
the ^ati++++=the
Rue ^nn++++=Rue
des ^&fw++++=des
Lombards ^np+++??+=Lombards
a ^at++++=a
goldsmith ^nn++++=goldsmith
called ^vbd+++xvbn+=called
Master ^npt++++=Master
Anselme ^np+++??+=Anselme
Corbeil ^np+++??+=Corbeil,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
possessed ^vbd+++xvbn+=possessed
three ^cd++++=three
things ^nns++++=things
much ^rb++++=much
esteemed ^vbd+++xvbn+=esteemed
in ^in++++=in
Paris ^np++++=Paris:
: ^zz++++=EXTRAWORD
a ^at++++=a
strong ^jj+atrb+++=strong
coffer ^nn++++=coffer,
, ^zz++++=EXTRAWORD
a ^at++++=a
weak ^jj+atrb+++=weak
conscience ^nn+nom+++=conscience,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
daughter ^nn+nom+++=daughter
of ^in++++=of
such ^abl++++=such
beauty ^nn++++=beauty
that ^tht+rel+obj++=that
men ^nns++++=men
stopped ^vbd+++xvbn+=stopped
beneath ^rb++++=beneath
his ^pp$+pp3+++=his
windows ^nns++++=windows
and ^cc++++=and
forgot ^vbd+vprv++xvbn+=forgot
why ^wrb+who+whcl++=why
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
daughter ^nn+nom+++=daughter
was ^vbd+bedz+aux++=was
named ^vpsv++agls+xvbnx+=named
Isabelle ^np+++??+=Isabelle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
twenty ^cd++++=twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
white ^jj++++=white
of ^in++++=of
skin ^nn++++=skin,
, ^zz++++=EXTRAWORD
black ^jj++++=black
of ^in++++=of
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
her ^pp$+pp3+++=her
head ^jjb++++=head
as ^in++++=as
proudly ^rb++++=proudly
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
born ^vpsv++agls+xvbnx+=born
beneath ^in+pl+++=beneath
a ^at++++=a
canopy ^nn++++=canopy
instead ^rb+cnj+++=instead
of ^in++++=of
behind ^in+pl+++=behind
a ^at++++=a
shop ^nn++++=shop
filled ^vbd+++xvbn+=filled
with ^in++++=with
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
crucibles ^nns+++??+=crucibles,
, ^zz++++=EXTRAWORD
chains ^nns++++=chains,
, ^zz++++=EXTRAWORD
brooches ^nns+++??+=brooches,
, ^zz++++=EXTRAWORD
chalices ^nns+++??+=chalices,
, ^zz++++=EXTRAWORD
rings ^nns++++=rings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pledges ^vbz++++=pledges
which ^whp+who+++=which
their ^pp$+pp3+++=their
owners ^nns++++=owners
seldom ^rb++++=seldom
redeemed ^jj+++xvbn+=redeemed.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
changed ^jj+atrb++xvbn+=changed
colour ^nn++++=colour
according ^in+cmpx+++=according
to ^in"++++=to
her ^pp$+pp3+++=her
temper ^nn++++=temper,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
silver ^nn++++=silver
when ^wrb+who+++=when
