All ^abn++++=All
day ^nn++++=day
the ^ati++++=the
rain ^nn++++=rain
had ^vbd+hvd+aux++=had
stitched ^vprf+++xvbnx+=stitched
the ^ati++++=the
streets ^nns++++=streets
with ^in++++=with
grey ^jj+atrb+++=grey
thread ^nn++++=thread.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
fell ^vbd+++xvbn+=fell
without ^in++++=without
violence ^nn+nom+++=violence
and ^cc++++=and
without ^in++++=without
pity ^nn++++=pity,
, ^zz++++=EXTRAWORD
a ^at++++=a
patient ^nn++++=patient
multitude ^nn++++=multitude
of ^in++++=of
drops ^nns++++=drops
that ^tht+rel+++=that
polished ^jj++++=polished
the ^ati++++=the
pavements ^nns+nom+++=pavements,
, ^zz++++=EXTRAWORD
blackened ^jj++++=blackened
the ^ati++++=the
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crept ^vpsv++agls+xvbn+=crept
beneath ^in+pl+++=beneath
the ^ati++++=the
collar ^nn++++=collar
of ^in++++=of
the ^ati++++=the
youth ^nn++++=youth's
's ^$++++=EXTRAWORD
coat ^nn++++=coat
until ^cs+sub+++=until
the ^ati++++=the
cloth ^nn++++=cloth
lay ^vbd+++xvbn+=lay
against ^in++++=against
his ^pp$+pp3+++=his
neck ^nn++++=neck
like ^in++++=like
a ^at++++=a
cold ^jj+atrb+++=cold
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
into ^in+ppvb+++=into
the ^ati++++=the
city ^nn++++=city
at ^rb++++=at
morning ^nn++++=morning
with ^in++++=with
fourteen ^cd++++=fourteen
cents ^nns++++=cents
and ^cc++++=and
an ^at++++=an
idea ^nn++++=idea
that ^tht+ncmp+++=that
somewhere ^rb++++=somewhere
among ^in++++=among
the ^ati++++=the
towers ^nns++++=towers,
, ^zz++++=EXTRAWORD
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
wharves ^nns+++??+=wharves,
, ^zz++++=EXTRAWORD
