# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
At ^rb++++=At
Daybreak ^np+++??+=Daybreak
Among ^in++++=Among
the ^ati++++=the
many ^ap++++=many
faces ^nns++++=faces
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked
up ^rp++++=up
at ^in++++=at
me ^pp1o+pp1+++=me
from ^in++++=from
the ^ati++++=the
narrow ^jj+atrb+++=narrow
cots ^nns+++??+=cots
of ^in++++=of
the ^ati++++=the
army ^nn++++=army
hospital ^nn+nom+++=hospital,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
one ^cd1++++=one
that ^dt+pdem+++=that
has ^vbz+hvz+aux++=has
never ^rb++splt++=never
faded ^vprf+++xvbnx+=faded,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
years ^nns++++=years
have ^vb+hv+aux++=have
softened ^vprf+++xvbnx+=softened
harsher ^jjr+atrb+++=harsher
memories ^nns++++=memories,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
time ^nn++++=time,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
merciful ^jj+atrb+++=merciful
nurse ^nn++++=nurse,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
laid ^vprf+++xvbnx+=laid
cool ^vb++++=cool
fingers ^nns+nom+++=fingers
upon ^in++++=upon
wounds ^nns++++=wounds
of ^in++++=of
the ^ati++++=the
spirit ^nn++++=spirit
which ^whp+rel+obj++=which
once ^cs+tm+++=once
seemed ^vprf+++xvbn+=seemed
past ^jjb++++=past
all ^abn++++=all
healing ^nvbg+++xvbg+=healing.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
forgotten ^vprf+++xvbnx+=forgotten
names ^nns++++=names
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
shouted ^vpsv++agls+xvbnx+=shouted
through ^in++++=through
the ^ati++++=the
wards ^nns++++=wards
in ^in++++=in
pain ^nn++++=pain
or ^cc++++=or
delirium ^nn+++??+=delirium;
; ^zz++++=EXTRAWORD
forgotten ^vpbn+vprv++xvbn+=forgotten
voices ^nns++++=voices
that ^tht+rel+++=that
blessed ^jj+++xvbn+=blessed
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
others ^aps++++=others
that ^dt+dem+++=that
cursed ^jj+++xvbn+=cursed
with ^in++++=with
equal ^jj+atrb+++=equal
fervor ^nn++++=fervor
the ^ati++++=the
hand ^nn++++=hand
which ^whp+rel+obj++=which
hurt ^nn+++xvbn+=hurt
them ^pp3o+pp3+++=them
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
save ^cs+sub+++=save;
; ^zz++++=EXTRAWORD
forgotten ^vpbn+vprv++xvbn+=forgotten
even ^rb++++=even
certain ^jj+atrb+++=certain
death ^nn++++=death-scenes
- ^zz++++=EXTRAWORD
scenes ^nns++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared
graven ^jj+++xvbn+=graven
upon ^in++++=upon
my ^pp$+pp1+++=my
heart ^nn++++=heart
as ^in++++=as
with ^in"++++=with
a ^at++++=a
sword ^nn++++=sword.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
John ^np++++=John
Mercer ^np++++=Mercer
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
as ^ql++++=as
I ^pp1a+pp1+++=I
first ^rb++++=first
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
bloodless ^jj++++=bloodless
beneath ^in+pl+++=beneath
the ^ati++++=the
surgeon ^nn++++=surgeon's
's ^$++++=EXTRAWORD
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
as ^ql++++=as
he ^pp3a+pp3+++=he
lay ^vbd+++xvbnx+=lay
in ^in++++=in
the ^ati++++=the
solemn ^jj+atrb+++=solemn
quiet ^nn++++=quiet
after ^cs+sub+++=after
all ^abn++++=all
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
in ^in++++=in
the ^ati++++=the
interval ^nn+nom+++=interval
between ^in++++=between
battle ^nn++++=battle
and ^cc++++=and
immortality ^nn+nom+++=immortality:
: ^zz++++=EXTRAWORD
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
comely ^jj++++=comely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
serene ^jj++++=serene,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
grave ^jj+atrb+++=grave
courtesy ^nn++++=courtesy
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
obeyed ^vprf+++xvbnx+=obeyed
every ^at++++=every
earthly ^jj+atrb+++=earthly
command ^nn++++=command,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited
only ^rb+down+++=only
for ^in++++=for
the ^ati++++=the
last ^jj+atrb+++=last
word ^nn++++=word
of ^in++++=of
his ^pp$+pp3+++=his
Divine ^nn++++=Divine
Commander ^npt+nom+++=Commander.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
to ^in++++=to
us ^pp1o+pp1+++=us
after ^cs+sub+++=after
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
battles ^nns++++=battles
whose ^whp+rel+obj++=whose
glory ^nn++++=glory
was ^vbd+bedz+aux++=was
printed ^vpsv++agls+xvbnx+=printed
in ^in++++=in
great ^jj+atrb+++=great
letters ^nns+nom+++=letters
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
its ^pp$+it+++=its
misery ^nn++++=misery
arrived ^vbd+++xvbn+=arrived
in ^in++++=in
dumb ^jj+atrb+++=dumb
procession ^nn++++=procession
at ^in++++=at
our ^pp$+pp1+++=our
door ^nn++++=door.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
the ^ati++++=the
ambulances ^nns+nom+++=ambulances
had ^vbd+hvd+aux++=had
jolted ^vprf+++xvbnx+=jolted
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
all ^abn++++=all
night ^nn++++=night
stretchers ^nns+nom+++=stretchers
passed ^vbd+++xvbn+=passed
along ^in++++=along
the ^ati++++=the
corridors ^nns++++=corridors;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
before ^cs+sub+++=before
morning ^nn++++=morning
our ^pp$+pp1+++=our
clean ^jj+atrb+++=clean
wards ^nns++++=wards
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
place ^nn++++=place
of ^in++++=of
confusion ^nn++++=confusion,
, ^zz++++=EXTRAWORD
anguish ^nn++++=anguish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
heroic ^jj+atrb+++=heroic
endurance ^nn+nom+++=endurance,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
no ^at++++=no
pen ^nn++++=pen
can ^md+pos+++=can
justly ^rb++++=justly
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
Mud ^nn++++=Mud
stained ^vbd+++xvbn+=stained
the ^ati++++=the
floors ^nns++++=floors;
; ^zz++++=EXTRAWORD
bloody ^jj+atrb+++=bloody
coats ^nns++++=coats
lay ^vbd+++xvbn+=lay
in ^in++++=in
heaps ^nns++++=heaps;
; ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
with ^in++++=with
ether ^nn++++=ether,
, ^zz++++=EXTRAWORD
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
wet ^jj+atrb+++=wet
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
indescribable ^jj+atrb+++=indescribable
odor ^nn++++=odor
which ^whp+rel+subj++=which
belongs ^vbz++++=belongs
to ^in++++=to
crowded ^jj+atrb++xvbn+=crowded
suffering ^nvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
called ^vbd+++xvbn+=called
for ^in+ppvb+++=for
water ^nn++++=water,
, ^zz++++=EXTRAWORD
mothers ^nns+nom+++=mothers,
, ^zz++++=EXTRAWORD
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
death ^nn++++=death;
; ^zz++++=EXTRAWORD
attendants ^nns+nom+++=attendants
hurried ^vbd+++xvbn+=hurried
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro;
; ^zz++++=EXTRAWORD
surgeons ^nns++++=surgeons,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
with ^in++++=with
fatigue ^nn++++=fatigue,
, ^zz++++=EXTRAWORD
worked ^j+++xvbn+=worked
as ^cs+sub+++=as
if ^cs+cnd+++=if
their ^pp$+pp3+++=their
own ^ap++++=own
bodies ^nns++++=bodies
were ^vbd+bed+vrb++=were
machines ^nns++++=machines
incapable ^jj++++=incapable
of ^in++++=of
weariness ^nns+nom+++=weariness;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
nurses ^nns++++=nurses
learned ^vbd+++xvbn+=learned
anew ^nn+++??+=anew
the ^ati++++=the
hard ^jj+atrb+++=hard
lesson ^nn++++=lesson
that ^tht+rel+++=that
pity ^nn++++=pity
must ^md+nec+++=must
have ^vb+hv+vrb++=have
hands ^nns++++=hands
as ^cc++++=as
well ^rb++++=well
as ^cc"++++=as
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
John ^np++++=John
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
in ^in++++=in
at ^in++++=at
dusk ^nn++++=dusk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
shot ^vpsv++agls+xvbnx+=shot
through ^in++++=through
the ^ati++++=the
right ^jj+atrb+++=right
lung ^nn++++=lung,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
so ^ql++++=so
much ^ap++++=much
blood ^nn++++=blood
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
face ^vb++++=face
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
clear ^jj+atrb+++=clear
pallor ^nn++++=pallor
of ^in++++=of
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
nothing ^pn++++=nothing
wasted ^vbd+++xvbn+=wasted
or ^cc++++=or
delicate ^jj++++=delicate
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
