# ^zz++++=##
# ^zz++++=EXTRAWORD
A ^at++++=A
Voyage ^nn++++=Voyage
Prevented ^vbd+++xvbn+=Prevented
Kate ^np++++=Kate
Darlington ^np++++=Darlington
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
her ^pp3o+pp3+++=her
twentieth ^od++++=twentieth
year ^nn++++=year
with ^in++++=with
beauty ^nn++++=beauty
enough ^dt++++=enough
to ^to++++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
admired ^vbd+++xvbn+=admired,
, ^zz++++=EXTRAWORD
wealth ^nn++++=wealth
enough ^dt++++=enough
to ^to++++=to
make ^vbi++++=make
her ^pp$+pp3+++=her
courted ^vbd+++xvbn+=courted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
good ^jj+atrb+++=good
sense ^nn++++=sense
enough ^dt++++=enough
to ^to++++=to
render ^vbi++++=render
both ^abx++++=both
admiration ^nn+nom+++=admiration
and ^cc++++=and
courtship ^nn+nom+++=courtship
somewhat ^rb+down+++=somewhat
troublesome ^jj++++=troublesome.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
daughter ^nn+nom+++=daughter
of ^in++++=of
a ^at++++=a
merchant ^nn+nom+++=merchant
whose ^whp+rel+obj++=whose
name ^nn++++=name
stood ^vbd+++xvbn+=stood
high ^jj++++=high
in ^in++++=in
the ^ati++++=the
city ^nn++++=city;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Darlington ^np++++=Darlington's
's ^$++++=EXTRAWORD
fortune ^nn++++=fortune
was ^vbd+bedz+aux++=was
believed ^vpsv++agls+xvbnx+=believed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
even ^rb++++=even
larger ^jjr+pred+++=larger
than ^in++++=than
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gilded ^jj+atrb++xvbn+=gilded
moths ^nns++++=moths
of ^in++++=of
society ^nn++++=society
gathered ^vbd+++xvbn+=gathered
about ^in++++=about
his ^pp$+pp3+++=his
drawing ^nvbg+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
perseverance ^nn+nom+++=perseverance
which ^whp+rel+subj++=which
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
affecting ^vbg+++xvbgx+=affecting,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
its ^pp$+it+++=its
object ^nn++++=object
been ^vprf+ben+aux+xvbn+=been
less ^rbr++splt++=less
plainly ^rb++++=plainly
understood ^vpsv++agls+xvbn+=understood.
. ^zz++++=EXTRAWORD
Kate ^np++++=Kate
was ^vbd+bedz+vrb++=was
gay ^jj+pred+++=gay
and ^cc+phrs+++=and
sprightly ^jj++++=sprightly,
, ^zz++++=EXTRAWORD
with ^in++++=with
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
an ^at++++=an
animated ^nn++++=animated
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
deportment ^nn+nom+++=deportment
in ^in++++=in
which ^whp+rel+pied++=which
ease ^nn++++=ease
was ^vbd+bedz+vrb++=was
united ^np++++=united
with ^in++++=with
dignity ^nn+nom+++=dignity.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
possessed ^vbd+++xvbnx+=possessed
qualities ^nns+nom+++=qualities
not ^xnot++not++=not
so ^rb++++=so
immediately ^rb+tm+++=immediately
visible ^jj++++=visible.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
distinguish ^vb++++=distinguish
a ^at++++=a
man ^nn++++=man
from ^in++++=from
his ^pp$+pp3+++=his
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
character ^nn+nom+++=character
from ^in++++=from
reputation ^nn+nom+++=reputation
a ^at++++=a
discrimination ^nn+nom+++=discrimination
less ^rbr++++=less
common ^jj++++=common
than ^in++++=than
charitable ^jj+atrb+++=charitable
persons ^nns++++=persons
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
American ^jj+atrb+++=American
dandies ^nns++++=dandies
who ^whp+rel+subj++=who
approached ^vbd+++xvbn+=approached
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
armed ^j+++xvbn+=armed
with ^in++++=with
glossy ^jj+atrb+++=glossy
moustaches ^nns++++=moustaches,
, ^zz++++=EXTRAWORD
faultless ^jj+atrb+++=faultless
gloves ^nns++++=gloves,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
imported ^xvbn+++xvbn+=imported
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
found ^j+++xvbn+=found
themselves ^ppls+pp3+++=themselves
subjected ^vbd+++xvbn+=subjected
to ^in++++=to
an ^at++++=an
examination ^nn+nom+++=examination
for ^in++++=for
which ^whp+rel+pied++=which
no ^at++++=no
fashionable ^jj+atrb+++=fashionable
education ^nn+nom+++=education
had ^vbd+hvd+aux++=had
prepared ^vprf+++xvbnx+=prepared
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
could ^md+pos+++=could
discourse ^vb++++=discourse
upon ^in++++=upon
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
operas ^nns++++=operas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
new ^jj+atrb+++=new
mode ^nn++++=mode
of ^in++++=of
tying ^xvbg+++xvbg+=tying
a ^at++++=a
cravat ^nn++++=cravat;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
Kate ^np++++=Kate
quietly ^rb++++=quietly
endeavored ^vb+++xvbn+=endeavored
to ^to+vcmp+++=to
discover ^nn+nom+++=discover
whether ^cs+who+++=whether
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
occupations ^nns+nom+++=occupations,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
any ^dti++++=any
settled ^jj+atrb++xvbn+=settled
purpose ^nn++++=purpose
in ^in++++=in
life ^nn++++=life,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
conversation ^nn+nom+++=conversation
became ^vbd+++xvbn+=became
less ^rbr++++=less
brilliant ^jj++++=brilliant.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
winter ^nn++++=winter
in ^in++++=in
Paris ^np++++=Paris
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
despised ^vbd+++xvbn+=despised
his ^pp$+pp3+++=his
native ^jj+atrb+++=native
country ^nn++++=country;
; ^zz++++=EXTRAWORD
another ^dt++++=another
had ^vb+hv+aux++=had
never ^rb++splt++=never
performed ^vprf+++xvbnx+=performed
an ^at++++=an
honest ^jj+atrb+++=honest
day ^nn++++=day's
's ^$++++=EXTRAWORD
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
spoke ^vbd+++xvbn+=spoke
contemptuously ^rb++++=contemptuously
of ^in++++=of
business ^nns+nom+++=business;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
considered ^vbd+vprv++xvbn+=considered
himself ^ppl+pp3+++=himself
poetical ^jj++++=poetical
because ^cs+cos+++=because
his ^pp$+pp3+++=his
hair ^nn++++=hair
was ^vbd+bedz+vrb++=was
long ^rb++++=long
and ^cc++++=and
his ^pp$+pp3+++=his
pecuniary ^nn+nom+++=pecuniary
affairs ^nns++++=affairs
disordered ^jj++++=disordered.
. ^zz++++=EXTRAWORD
Kate ^np++++=Kate
smiled ^vbd+++xvbn+=smiled
upon ^in++++=upon
them ^pp3o+pp3+++=them
all ^rb+cnj+++=all,
