# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Caught ^xvbn+++xvbn+=CAUGHT
Red ^jj++++=RED-HANDED
- ^zz++++=EXTRAWORD
handed ^xvbn+++xvbn+=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
three ^cd++++=three
of ^in++++=of
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
the ^ati++++=the
room ^nn++++=room
had ^vb+hv+aux++=had
plainly ^rb++splt++=plainly
been ^vprf+ben+aux+xvbnx+=been
designed ^vpsv++agls+xvbnx+=designed
for ^in++++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
one ^pn++++=one,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
possessions ^nns++++=possessions
should ^md+nec+++=should
be ^vb+be+aux++=be
confined ^vpsv++agls+xvbnx+=confined
to ^in++++=to
a ^at++++=a
narrow ^jj+atrb+++=narrow
bedstead ^nn++++=bedstead,
, ^zz++++=EXTRAWORD
a ^at++++=a
washstand ^nn+++??+=washstand,
, ^zz++++=EXTRAWORD
two ^cd++++=two
shirts ^nns++++=shirts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
disposition ^nn+nom+++=disposition
incapable ^jj++++=incapable
of ^in++++=of
rebellion ^nn++++=rebellion.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
third ^nn++++=third
floor ^nn++++=floor
back ^jjb++++=back
of ^in++++=of
a ^at++++=a
boarding ^nn++++=boarding-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
in ^in++++=in
West ^np+pl+++=West
Thirty ^cd++++=Thirty-Ninth
- ^zz++++=EXTRAWORD
ninth ^od++++=EXTRAWORD
Street ^nn++++=Street;
; ^zz++++=EXTRAWORD
a ^at++++=a
room ^nn++++=room
of ^in++++=of
that ^dt+dem+++=that
undecided ^jj+atrb+++=undecided
colour ^nn++++=colour
which ^whp+rel+subj++=which
