# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=THE
New ^jj+atrb+++=NEW
Parlor ^np+++??+=PARLOR
Carpet ^nn++++=CARPET
" ^zz++++="Cousin
cousin ^nn++++=EXTRAWORD
Sally ^np++++=Sally
will ^md+prd+++=will
be ^vb+be+vrb++=be
here ^rn+pl+++=here
in ^in++++=in
less ^rbr++++=less
than ^in++++=than
three ^cd++++=three
weeks ^nns++++=weeks,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cartwright ^np++++=Cartwright,
, ^zz++++=EXTRAWORD
lifting ^nvbg+++xvbg+=lifting
one ^cd1++++=one
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
parlor ^nn++++=parlor
carpet ^nn++++=carpet
with ^in++++=with
the ^ati++++=the
toe ^nn++++=toe
of ^in++++=of
her ^pp$+pp3+++=her
shoe ^nn++++=shoe;
; ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
declare ^vb+vpub+++=declare!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
looks ^vbz++++=looks
worse ^jjr++++=worse
every ^at++++=every
time ^nn++++=time
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Cartwright ^np++++=Cartwright
glanced ^vbd+++xvbn+=glanced
over ^in++++=over
the ^ati++++=the
evening ^nn++++=evening
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
faded ^jj+atrb++xvbn+=faded
breadths ^nns+++??+=breadths,
, ^zz++++=EXTRAWORD
the ^ati++++=the
darned ^jj+atrb+++=darned
place ^nn++++=place
before ^in++++=before
the ^ati++++=the
hearth ^nn++++=hearth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
spots ^nns++++=spots
where ^wrb+who+++=where
the ^ati++++=the
figures ^nns++++=figures
had ^vb+hv+aux++=had
almost ^rb+hdg+splt++=almost
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
also ^rb++++=also
a ^at++++=a
clean ^jj+atrb+++=clean
room ^nn++++=room,
, ^zz++++=EXTRAWORD
chairs ^nns++++=chairs
carefully ^rb++++=carefully
dusted ^vbd+++xvbn+=dusted,
, ^zz++++=EXTRAWORD
a ^at++++=a
bright ^jj+atrb+++=bright
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
seated ^vbd+++xvbn+=seated
beside ^in+pl+++=beside
a ^at++++=a
neatly ^rb++++=neatly
spread ^nn+++xvbn+=spread
tea ^nn++++=tea-table.
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
the ^ati++++=the
apartment ^nn+nom+++=apartment
wore ^vbd+++xvbn+=wore
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable
aspect ^nn++++=aspect
of ^in++++=of
home ^nr++++=home.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
somewhat ^rb+down+++=somewhat
old ^jj+pred+++=old,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
replied ^vbd+vpub++xvbnx+=replied;
; ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
answer ^vb++++=answer
a ^rb++++=a
little ^rb"++++=little
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
Martha ^np+++??+=Martha."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Answer!"
answer ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cartwright ^np++++=Cartwright
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
answer ^vb++++=answer
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
cousin ^nn++++=cousin
Sally ^np++++=Sally
has ^vbz+hvz+vrb++=has
everything ^pn++++=everything
handsome ^jj++++=handsome.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
must ^md+nec+++=must
she ^pp3a+pp3+++=she
think ^vb+vprv+++=think
when ^wrb+who+whcl++=when
she ^pp3a+pp3+++=she
comes ^vbz++++=comes
into ^in+ppvb+++=into
a ^at++++=a
room ^nn++++=room
like ^in++++=like
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
should ^md+nec+++=should
she ^pp3a+pp3+++=she
think ^vb+vprv+tht0++=think
anything ^pn++++=anything
unkind ^jj++++=unkind?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knows ^vbz+vprv+++=knows
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
salary ^nn++++=salary
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
large ^jj++++=large."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cartwright ^np++++=Cartwright
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
" ^zz++++="People
people ^nns++++=EXTRAWORD
may ^md+pos+++=may
know ^vb+vprv+++=know
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
things ^nns++++=things
and ^cc++++=and
yet ^rb++++=yet
form ^nn++++=form
their ^pp$+pp3+++=their
opinions ^nns++++=opinions
from ^in++++=from
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
Sally ^np++++=Sally
will ^md+prd+++=will
not ^xnot++not++=not
say ^vb+vpub+++=say
a ^at++++=a
word ^nn++++=word;
; ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
her ^pp$+pp3+++=her
way ^nn++++=way.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
will ^md+prd+++=will
be ^vb+be+vrb++=be
open ^jj+pred+++=open."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
was ^vbd+bedz+vrb++=was
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
in ^in++++=in
deliberate ^jj+atrb+++=deliberate
dishonesty ^nn++++=dishonesty,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
in ^in++++=in
a ^at++++=a
wish ^nn++++=wish
to ^to+ncmp+++=to
injure ^vbi++++=injure
another ^dt++++=another,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
temptation ^nn+nom+++=temptation
first ^od++++=first
approach ^nn++++=approach
that ^tht+rel+++=that
fireside ^nn++++=fireside.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
came ^vbd+++xvbn+=came
in ^in++++=in
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
faded ^jj+atrb++xvbn+=faded
carpet ^nn++++=carpet
and ^cc++++=and
the ^ati++++=the
imagined ^jj+atrb++xvbn+=imagined
eyes ^nns++++=eyes
of ^in++++=of
cousin ^nn++++=cousin
Sally ^np++++=Sally.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
desire ^nn++++=desire
to ^to+ncmp+++=to
appear ^vbi+seem+++=appear
what ^wdt+who+++=what
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
even ^cs+sub+++=even
though ^cs+sub+++=though
it ^pp3+it+++=it
enters ^vbz++++=enters
under ^in++++=under
so ^rb+emph+++=so
slight ^jj++++=slight
a ^at++++=a
covering ^nvbg+++xvbg+=covering,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
dangerous ^jj+atrb+++=dangerous
visitor ^nn++++=visitor;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
admitted ^vwbn+vpub++xvbn+=admitted,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seldom ^rb++++=seldom
remains ^nns++++=remains
content ^nn++++=content
with ^in++++=with
the ^ati++++=the
smallest ^jjt+atrb+++=smallest
room ^nn++++=room
in ^in++++=in
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Cartwright ^np++++=Cartwright
folded ^vbd+++xvbn+=folded
his ^pp$+pp3+++=his
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
much ^rb++++=much
would ^md+prd+++=would
a ^at++++=a
plain ^nn++++=plain,
, ^zz++++=EXTRAWORD
serviceable ^jj+atrb+++=serviceable
carpet ^nn++++=carpet
cost ^nn++++=cost?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
one ^cd1++++=one
yesterday ^nr+tm+++=yesterday,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub+tht0+xvbn+=answered
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
too ^rb++++=too
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
" ^zz++++="It
