In ^in++++=In
those ^dt+dem+++=those
portions ^nns+nom+++=portions
of ^in++++=of
Texas ^np++++=Texas
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
early ^jj+atrb+++=early
eighties ^nns+++??+=eighties,
, ^zz++++=EXTRAWORD
the ^ati++++=the
district ^nn++++=district
court ^nn++++=court
sat ^vbd+++xvbn+=sat
at ^rb++++=at
long ^rb++++=long
intervals ^nns+nom+++=intervals
and ^cc++++=and
justice ^npt++++=justice
traveled ^vbd+++xvbn+=traveled
on ^in++++=on
a ^at++++=a
tired ^jj+atrb++xvbn+=tired
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
men ^nns++++=men
were ^vbd+bed+aux++=were
sometimes ^rb++splt++=sometimes
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
appeal ^vbi++++=appeal
from ^in++++=from
the ^ati++++=the
statutes ^nns++++=statutes
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
to ^in++++=to
a ^at++++=a
tribunal ^nn+nom+++=tribunal
of ^in++++=of
more ^rbr++++=more
immediate ^jj+atrb+++=immediate
jurisdiction ^nn+nom+++=jurisdiction.
. ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Colt ^nn++++=Colt
commonly ^rb++++=commonly
presided ^vbd+++xvbn+=presided
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
with ^in++++=with
Judge ^nn++++=Judge
Parker ^np++++=Parker's
's ^$++++=EXTRAWORD
double ^jj++++=double-barreled
- ^zz++++=EXTRAWORD
barreled ^jj+++xvbn+=EXTRAWORD
associate ^nn+nom+++=associate
upon ^in++++=upon
the ^ati++++=the
woolsack ^nn+++??+=woolsack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
the ^ati++++=the
decisions ^nns++++=decisions
of ^in++++=of
that ^dt+dem+++=that
court ^npl++++=court
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
always ^rb++++=always
sound ^jj+atrb+++=sound
law ^nn++++=law,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
seldom ^rb++splt++=seldom
misunderstood ^vprf+++xvbn+=misunderstood.
. ^zz++++=EXTRAWORD
The ^ati++++=The
case ^nn++++=case
of ^in++++=of
Gray ^np++++=Gray
against ^in++++=against
Sheriff ^np++++=Sheriff
Ninde ^np+++??+=Ninde
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
fortunate ^jj+atrb+++=fortunate
causes ^nns++++=causes
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
judges ^nns++++=judges
were ^vbd+bed+aux++=were
brought ^vpsv++agls+xvbnx+=brought
into ^in++++=into
court ^nn++++=court,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
opinion ^nn++++=opinion
was ^vbd+bedz+aux++=was
delivered ^vpsv++agls+xvbnx+=delivered.
. ^zz++++=EXTRAWORD
Gray ^np++++=Gray
was ^vbd+bedz+vrb++=was
a ^at++++=a
ranchman ^nn+nom+++=ranchman
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
school ^nn++++=school,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
accumulated ^vprf+++xvbnx+=accumulated
nearly ^rb+down+++=nearly
two ^cd++++=two
hundred ^cd++++=hundred
head ^jjb++++=head
of ^in++++=of
horses ^nns++++=horses,
