In ^in++++=In
Florence ^np+nom+++=Florence,
, ^zz++++=EXTRAWORD
a ^at++++=a
city ^npl++++=city
distinguished ^vbd+++xvbn+=distinguished
in ^in++++=in
former ^ap++++=former
times ^nns++++=times
no ^at++++=no
less ^rbr++++=less
by ^in++++=by
the ^ati++++=the
courtesy ^nn++++=courtesy
of ^in++++=of
its ^pp$+it+++=its
gentlemen ^nns++++=gentlemen
than ^in++++=than
by ^in++++=by
the ^ati++++=the
splendor ^nn++++=splendor
of ^in++++=of
its ^pp$+it+++=its
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
a ^at++++=a
young ^jj+atrb+++=young
nobleman ^nn+nom+++=nobleman
named ^vbd+++xvbn+=named
Federigo ^np+++??+=Federigo
degli ^&fw++++=degli
Alberighi ^np+++??+=Alberighi,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
lineage ^nn+nom+++=lineage
was ^vbd+bedz+vrb++=was
ancient ^jj+pred+++=ancient,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
manners ^nns+nom+++=manners
were ^vbd+bed+vrb++=were
gracious ^jj+pred+++=gracious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
skill ^nn++++=skill
in ^in++++=in
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
horsemanship ^nn+nom+++=horsemanship,
, ^zz++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
chase ^nn++++=chase
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi+vbi+aux++=be
esteemed ^vpsv++agls+xvbnx+=esteemed
among ^in++++=among
the ^ati++++=the
most ^ql+emph+++=most
accomplished ^jj+atrb++xvbn+=accomplished
men ^nns++++=men
of ^in++++=of
Tuscany ^np+++??+=Tuscany.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
nature ^nn++++=nature
had ^vbd+hvd+aux++=had
joined ^vprf+++xvbnx+=joined
to ^in++++=to
these ^dt+dem+++=these
gifts ^nns++++=gifts
a ^at++++=a
generous ^jj+atrb+++=generous
heart ^nn++++=heart
and ^cc++++=and
an ^at++++=an
ardent ^jj+atrb+++=ardent
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
in ^in++++=in
prosperity ^nn+nom+++=prosperity
and ^cc++++=and
honor ^nn++++=honor,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
not ^xnot++not++=not
love ^nn++++=love,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
often ^rb++++=often
makes ^vbz++++=makes
the ^ati++++=the
wisest ^jjt++++=wisest
imprudent ^jj++++=imprudent
and ^cc++++=and
the ^ati++++=the
prudent ^jj++++=prudent
prodigal ^jj++++=prodigal,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
him ^pp3o+pp3+++=him
into ^in++++=into
great ^jj+atrb+++=great
and ^cc+phrs+++=and
ruinous ^jj+atrb+++=ruinous
expenses ^nns++++=expenses.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lady ^npt++++=lady
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
was ^vbd+bedz+vrb++=was
Monna ^np+++??+=Monna
Giovanna ^np+++??+=Giovanna,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
by ^in++++=by
all ^abn++++=all
who ^whp+who+++=who
knew ^vbd+vprv++xvbn+=knew
her ^pp$+pp3+++=her
to ^to++++=to
be ^vbi++vrb++=be
among ^in++++=among
the ^ati++++=the
fairest ^jjt++++=fairest
and ^cc++++=and
most ^ql+emph+++=most
virtuous ^jj+atrb+++=virtuous
women ^nns++++=women
in ^in++++=in
Florence ^np+nom+++=Florence.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married
to ^in++++=to
a ^at++++=a
wealthy ^jj+atrb+++=wealthy
citizen ^nn++++=citizen
and ^cc++++=and
guarded ^jj+++xvbn+=guarded
her ^pp3o+pp3+++=her
reputation ^nn+nom+++=reputation
with ^in++++=with
such ^abl++++=such
care ^nn++++=care
that ^tht+rel+obj++=that
neither ^dt++neg++=neither
Federigo ^np++++=Federigo's
's ^$++++=EXTRAWORD
praises ^nns++++=praises
nor ^cc++neg++=nor
his ^pp$+pp3+++=his
magnificence ^nn+nom+++=magnificence
could ^md+pos+++=could
persuade ^vb++++=persuade
her ^pp$+pp3+++=her
to ^to++++=to
show ^vbi+vprv+++=show
him ^pp3o+pp3+++=him
any ^dti++++=any
favor ^nn++++=favor
