# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
How ^wrb+who+++=HOW
Ville ^np+++??+=VILLE-AUX-DAMES
- ^zz++++=EXTRAWORD
aux ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dames ^nns++++=EXTRAWORD
Was ^vbd+bedz+aux++=WAS
Won ^vpsv++agls+xvbnx+=WON
In ^in++++=In
the ^ati++++=the
year ^nn++++=year
of ^in++++=of
grace ^nn++++=grace
fifteen ^cd++++=fifteen
hundred ^cd++++=hundred
and ^cc++++=and
twenty ^cd++++=twenty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
unhappy ^jj+atrb+++=unhappy
business ^nns+nom+++=business
of ^in++++=of
Pavia ^np+++??+=Pavia,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
courage ^nn+nom+++=courage
was ^vbd+bedz+vrb++=was
plentiful ^jj+pred+++=plentiful
but ^cc+phrs+++=but
good ^jj+atrb+++=good
counsel ^npt++++=counsel
as ^ql++++=as
scarce ^jj++++=scarce
as ^ql++++=as
figs ^nns++++=figs
at ^in++++=at
Christmas ^np++++=Christmas,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
most ^ql+emph+++=most
Christian ^jj+atrb+++=Christian
King ^npt++++=King
Francis ^np++++=Francis
the ^ati++++=the
First ^rb++++=First
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
the ^ati++++=the
hands ^nns++++=hands
of ^in++++=of
the ^ati++++=the
Emperor ^nn++++=Emperor
Charles ^np++++=Charles
the ^ati++++=the
Fifth ^nn++++=Fifth,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
under ^in++++=under
strong ^jj+atrb+++=strong
guard ^nn++++=guard
to ^in++++=to
Madrid ^np++++=Madrid.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
his ^pp$+pp3+++=his
majesty ^nn++++=majesty
was ^vbd+bedz+aux++=was
lodged ^vpsv++agls+xvbnx+=lodged
honourably ^rb+cnj+++=honourably,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
ambassadors ^nns++++=ambassadors,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
means ^nns++++=means
that ^tht+rel+obj++=that
the ^ati++++=the
doors ^nns++++=doors
were ^vbd+bed+aux++=were
bolted ^vpsv++agls+xvbnx+=bolted,
, ^zz++++=EXTRAWORD
the ^ati++++=the
windows ^nns++++=windows
watched ^vbd+++xvbn+=watched,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dishes ^nns++++=dishes
tasted ^vprf+++xvbn+=tasted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
bow ^nn++++=bow
made ^vbd+++xvbn+=made
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him
by ^in++++=by
a ^at++++=a
man ^nn++++=man
carrying ^vwbg+++xvbg+=carrying
keys ^nns++++=keys.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
captivity ^nn+nom+++=captivity
is ^vbz+bez+vrb++=is
grievous ^jj+pred+++=grievous
to ^in++++=to
all ^abn++++=all
creatures ^nns++++=creatures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
linnet ^nn+++??+=linnet
beats ^nns++++=beats
its ^pp$+it+++=its
breast ^nn++++=breast
against ^in++++=against
the ^ati++++=the
cage ^nn++++=cage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wolf ^nn++++=wolf
gnaws ^nns+++??+=gnaws
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
a ^at++++=a
bishop ^npt++++=bishop
deprived ^vbd+++xvbn+=deprived
of ^in++++=of
his ^pp$+pp3+++=his
revenues ^nns++++=revenues
becomes ^vbz++++=becomes
melancholy ^nn++++=melancholy.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
King ^npt++++=King
Francis ^np++++=Francis,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
every ^at++++=every
reader ^nn++++=reader
knows ^vbz+vprv+++=knows
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
warm ^jj++++=warm
in ^in++++=in
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick
in ^in++++=in
compliment ^nn+nom+++=compliment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
diligent ^nn++++=diligent
in ^in++++=in
love ^nn++++=love
as ^in++++=as
in ^in"++++=in
war ^nn++++=war,
, ^zz++++=EXTRAWORD
prison ^nn++++=prison
had ^vb+hv+vrb++=had
a ^at++++=a
particular ^jj+atrb+++=particular
bitterness ^nns+nom+++=bitterness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
endure ^vb++++=endure
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
liberty ^nn++++=liberty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
demands ^nns++++=demands
of ^in++++=of
the ^ati++++=the
emperor ^nn++++=emperor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sermons ^nns++++=sermons
of ^in++++=of
Spanish ^jj+atrb+++=Spanish
councillors ^nns++++=councillors;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
ladies ^nns++++=ladies
reduced ^vwbn+++xvbn+=reduced
him ^pp3o+pp3+++=him
to ^in++++=to
such ^abl++++=such
a ^at++++=a
condition ^nn+nom+++=condition
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
physicians ^nns++++=physicians,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
inspected ^vprf+++xvbn+=inspected
his ^pp$+pp3+++=his
tongue ^nn++++=tongue,
