From ^in++++=From
the ^ati++++=the
ridge ^nn++++=ridge
the ^ati++++=the
colliery ^npl+nom+++=colliery
appeared ^vbd+seem++xvbn+=appeared
less ^rbr++++=less
like ^in++++=like
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
buildings ^nns++++=buildings
than ^in++++=than
a ^at++++=a
black ^jj+atrb+++=black
principality ^nn+nom+++=principality,
, ^zz++++=EXTRAWORD
established ^j+++xvbn+=established
in ^in++++=in
defiance ^nn+nom+++=defiance
of ^in++++=of
the ^ati++++=the
green ^nn++++=green
hills ^nns++++=hills
surrounding ^vwbg+++xvbg+=surrounding
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
breaker ^nn++++=breaker
rose ^vbd+++xvbn+=rose
above ^in+ppvb+++=above
the ^ati++++=the
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
gaunt ^np++++=gaunt
and ^cc++++=and
ponderous ^jj++++=ponderous,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
long ^rb++++=long
chutes ^nns+++??+=chutes
slanting ^nn++++=slanting
from ^in++++=from
its ^pp$+it+++=its
ribs ^nns++++=ribs,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
windows ^nns++++=windows
filmed ^vbd+++xvbn+=filmed
with ^in++++=with
coal ^nn++++=coal
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Smoke ^vb++++=Smoke
streamed ^vbd+++xvbn+=streamed
from ^in++++=from
several ^ap++++=several
stacks ^nns++++=stacks
and ^cc++++=and
spread ^vpsv++agls+xvbn+=spread
beneath ^in+pl+++=beneath
the ^ati++++=the
morning ^nn++++=morning
sky ^nn++++=sky
until ^cs+sub+++=until
the ^ati++++=the
sun ^nn++++=sun
looked ^vbd+++xvbn+=looked
through ^in++++=through
it ^pp3+it+++=it
like ^in++++=like
a ^at++++=a
tarnished ^jj+atrb++xvbn+=tarnished
coin ^nn++++=coin.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below,
, ^zz++++=EXTRAWORD
locomotives ^nns++++=locomotives
dragged ^vbd+++xvbn+=dragged
lines ^nns++++=lines
of ^in++++=of
cars ^nns++++=cars
across ^in+pl+++=across
the ^ati++++=the
scarred ^jj+atrb++xvbn+=scarred
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
shrieked ^vbd+++xvbnx+=shrieked,
, ^zz++++=EXTRAWORD
collided ^j+++xvbn+=collided,
, ^zz++++=EXTRAWORD
retreated ^xvbn+++xvbn+=retreated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
advanced ^jj+++xvbn+=advanced
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
obedient ^jj+atrb+++=obedient
creatures ^nns++++=creatures
serving ^vwbg+++xvbg+=serving
an ^at++++=an
appetite ^nn++++=appetite
greater ^jjr++++=greater
than ^in++++=than
their ^pp$+pp3+++=their
own ^ap++++=own.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
as ^ql++++=as
visitors ^nns++++=visitors.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
distinction ^nn+nom+++=distinction
seemed ^vbd+seem++xvbn+=seemed
important ^jj++++=important
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
ridge ^nn++++=ridge
among ^in++++=among
sumac ^nn+++??+=sumac
and ^cc++++=and
late ^jj+atrb+++=late
goldenrod ^nn+++??+=goldenrod,
, ^zz++++=EXTRAWORD
with ^in++++=with
clean ^jj+atrb+++=clean
cuffs ^nns++++=cuffs,
, ^zz++++=EXTRAWORD
polished ^jj+atrb+++=polished
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
privilege ^nn++++=privilege
of ^in++++=of
departure ^nn++++=departure.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
hundred ^cd++++=hundred
yards ^nns++++=yards
below ^rb++++=below
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ground ^nn++++=ground
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
stripped ^vpsv++agls+xvbnx+=stripped
of ^in++++=of
grass ^nn++++=grass
and ^cc++++=and
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
Culm ^np+++??+=Culm
banks ^nns++++=banks
lifted ^vbd+++xvbn+=lifted
their ^pp$+pp3+++=their
sombre ^jj+atrb+++=sombre
backs ^nns++++=backs
beside ^in+pl+++=beside
pools ^nns++++=pools
stained ^vbd+++xvbn+=stained
orange ^np++++=orange
by ^in++++=by
mine ^nn++++=mine
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Houses ^nns++++=Houses
huddled ^vbd+++xvbn+=huddled
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
waste ^nn++++=waste,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
wooden ^jj+atrb+++=wooden
structures ^nns++++=structures
whose ^whp+rel+obj++=whose
laundry ^nn++++=laundry,
, ^zz++++=EXTRAWORD
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
broken ^xvbn+++xvbn+=broken
fences ^nns++++=fences
were ^vbd+bed+aux++=were
powdered ^vpsv++agls+xvbnx+=powdered
alike ^rb++++=alike
with ^in++++=with
black ^nn++++=black.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
the ^ati++++=the
creek ^npl++++=creek
had ^vbd+hvd+aux++=had
accepted ^vprf+++xvbnx+=accepted
the ^ati++++=the
color ^nn++++=color
of ^in++++=of
the ^ati++++=the
place ^nn++++=place
and ^cc++++=and
crawled ^vprf+++xvbn+=crawled
under ^in++++=under
the ^ati++++=the
railway ^nn++++=railway
trestle ^nn++++=trestle
like ^in++++=like
a ^at++++=a
stream ^nn++++=stream
of ^in++++=of
ink ^nn++++=ink.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
breaker ^nn++++=breaker
sounded ^vbd+++xvbn+=sounded
its ^pp$+it+++=its
whistle ^nn++++=whistle.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
call ^nn++++=call.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
bellow ^nn+++??+=bellow
from ^in++++=from
an ^at++++=an
iron ^nn++++=iron
throat ^nn++++=throat,
, ^zz++++=EXTRAWORD
a ^at++++=a
declaration ^nn+nom+++=declaration
that ^tht+ncmp+obj++=that
the ^ati++++=the
monster ^nn+nom+++=monster
was ^vbd+bedz+vrb++=was
awake ^jj+pred+++=awake
and ^cc++++=and
must ^md+nec+++=must
be ^vb+be+aux++=be
fed ^vpsv++agls+xvbnx+=fed.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
guide ^nn++++=guide,
, ^zz++++=EXTRAWORD
a ^at++++=a
square ^jj+atrb+++=square
man ^nn++++=man
named ^vbd+++xvbn+=named
Harlan ^np+++??+=Harlan,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
thirty ^cd++++=thirty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
in ^in++++=in
and ^cc++++=and
around ^in++++=around
the ^ati++++=the
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
fingers ^nns+nom+++=fingers
were ^vbd+bed+vrb++=were
absent ^jj+pred+++=absent
from ^in++++=from
his ^pp$+pp3+++=his
left ^jj+atrb++xvbn+=left
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
noticed ^vbd+vprv+tht0+xvbnx+=noticed
us ^pp1o+pp1+++=us
noticing ^vbg+++xvbg+=noticing
the ^ati++++=the
mutilation ^nn+nom+++=mutilation
and ^cc++++=and
held ^vbd+vprv++xvbn+=held
it ^pp3+it+++=it
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
dry ^jj+atrb+++=dry
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Breaker
breaker ^jjr++++=EXTRAWORD
took ^vbd+++xvbn+=took
them ^pp3o+pp3+++0='em
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
lad ^nn++++=lad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
quicker ^jjr+pred+++=quicker
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
maybe ^rb+hdg+++=maybe
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
slower ^jjr+pred+++=slower."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
descended ^vbd+++xvbn+=descended
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
approached ^vbd+++xvbn+=approached,
, ^zz++++=EXTRAWORD
the ^ati++++=the
building ^nn++++=building
enlarged ^vbd+++xvbn+=enlarged
until ^cs+sub+++=until
it ^pp3+it+++=it
abolished ^vbd+++xvbn+=abolished
the ^ati++++=the
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
beams ^nns++++=beams
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
sides ^nns++++=sides
trembled ^vbd+++xvbn+=trembled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj++++=whole
enormous ^jj++++=enormous
carcass ^vbz+++??+=carcass
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
shudder ^vbi++++=shudder
with ^in++++=with
digestion ^nn+nom+++=digestion.
. ^zz++++=EXTRAWORD
Coal ^nn++++=Coal
cars ^nns++++=cars
climbed ^vbd+++xvbn+=climbed
an ^at++++=an
inclined ^jj+atrb++xvbn+=inclined
plane ^nn++++=plane
and ^cc++++=and
vanished ^vpsv++agls+xvbn+=vanished
through ^in++++=through
an ^at++++=an
opening ^jj+++xvbg+=opening
near ^in+pl+++=near
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
A ^at++++=A
moment ^nn++++=moment
later ^rbr+tm+++=later
came ^vbd+++xvbn+=came
crash ^nn++++=crash
and ^cc++++=and
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rolling ^jj+atrb++xvbg+=rolling
concussion ^nn++++=concussion
of ^in++++=of
tons ^nns++++=tons
released ^vwbn+++xvbn+=released
upon ^in++++=upon
iron ^nn++++=iron.
. ^zz++++=EXTRAWORD
Wheels ^nns++++=Wheels
screamed ^vbd+++xvbn+=screamed;
; ^zz++++=EXTRAWORD
chains ^nns++++=chains
clanked ^vbd+++xvbn+=clanked;
; ^zz++++=EXTRAWORD
screens ^vbz++++=screens
rattled ^vbd+++xvbn+=rattled;
; ^zz++++=EXTRAWORD
chutes ^nns+++??+=chutes
boomed ^vbd+++xvbn+=boomed;
