Skeleton ^nn++++=Skeleton
Lake ^nn++++=Lake
lies ^vbz++++=lies
beyond ^in++++=beyond
the ^ati++++=the
last ^rb++++=last
lumber ^vb++++=lumber
road ^nn++++=road,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
region ^nn++++=region
of ^in++++=of
black ^jj++++=black
spruce ^jj++++=spruce,
, ^zz++++=EXTRAWORD
granite ^nn++++=granite
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
innumerable ^jj+atrb+++=innumerable
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
in ^in++++=in
those ^dt+dem+++=those
days ^nns++++=days,
, ^zz++++=EXTRAWORD
the ^ati++++=the
maps ^nns++++=maps
were ^vbd+bed+vrb++=were
less ^rbr++++=less
trustworthy ^jj+pred+++=trustworthy
than ^in++++=than
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
an ^at++++=an
Indian ^nn++++=Indian.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
lake ^npl++++=lake
acquired ^vbd+++xvbn+=acquired
its ^pp$+it+++=its
lugubrious ^jj+atrb+++=lugubrious
name ^nn++++=name
I ^pp1a+pp1+++=I
never ^rb++++=never
learned ^jj+++xvbn+=learned.
. ^zz++++=EXTRAWORD
Hank ^np++++=Hank
Barlow ^np++++=Barlow
maintained ^vbd+vpub++xvbn+=maintained
that ^tht+vcmp+++=that
a ^at++++=a
surveyor ^nn++++=surveyor
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
found ^vprf+++xvbnx+=found
human ^jj+atrb+++=human
bones ^nns++++=bones
upon ^in++++=upon
the ^ati++++=the
north ^nr+pl+++=north
shore ^nn++++=shore;
; ^zz++++=EXTRAWORD
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
cook ^nn++++=cook
and ^cc++++=and
general ^jj+atrb+++=general
factotum ^nn+++??+=factotum,
, ^zz++++=EXTRAWORD
declared ^nn+++xvbn+=declared
that ^tht+ncmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
called ^jj+++xvbn+=called
because ^cs+cos+++=because
its ^pp$+it+++=its
bays ^nns++++=bays
ran ^vbd+++xvbn+=ran
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
main ^jjb+atrb+++=main
body ^nn++++=body
like ^in++++=like
ribs ^nns++++=ribs
from ^in++++=from
a ^at++++=a
spine ^nn++++=spine.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
the ^ati++++=the
origin ^nn++++=origin,
, ^zz++++=EXTRAWORD
the ^ati++++=the
name ^nn++++=name
had ^vb+hv+vrb++=had
an ^at++++=an
unpleasant ^jj+atrb+++=unpleasant
fitness ^nns+nom+++=fitness
which ^whp+rel+obj++=which
none ^rb++++=none
of ^in++++=of
us ^pp1o+pp1+++=us
remarked ^vbd+vpub++xvbn+=remarked
until ^in++++=until
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
camp ^nn++++=camp
for ^in++++=for
eleven ^cd++++=eleven
days ^nns++++=days
when ^wrb+who+++=when
Rushton ^np++++=Rushton
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
party ^nn++++=party
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
Professor ^npt++++=Professor
Willoughby ^np+++??+=Willoughby
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife;
; ^zz++++=EXTRAWORD
Morris ^np++++=Morris,
, ^zz++++=EXTRAWORD
an ^at++++=an
American ^jj++++=American
sportsman ^jj++++=sportsman;
; ^zz++++=EXTRAWORD
myself ^ppl+pp1+++=myself;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
two ^cd++++=two
guides ^nns++++=guides,
, ^zz++++=EXTRAWORD
Hank ^np++++=Hank
and ^cc++++=and
Silver ^nn++++=Silver
Fizz ^np+++??+=Fizz.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter's
's ^vbz+bez+vrb++0=EXTRAWORD
proper ^jj+atrb+++=proper
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Silas ^np+++??+=Silas
Fitzgibbon ^np+++??+=Fitzgibbon,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
camps ^nns++++=camps
no ^at++++=no
man ^nn++++=man
is ^vbz+bez+vrb++=is
long ^jj++++=long
permitted ^jj+++xvbn+=permitted
the ^ati++++=the
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
name ^nn++++=name
his ^pp$+pp3+++=his
mother ^nn++++=mother
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
occupied ^vbd+++xvbn+=occupied
an ^at++++=an
old ^nn++++=old
hunting ^vwbg+++xvbg+=hunting
lodge ^npl++++=lodge
built ^vbd+++xvbn+=built
on ^in++++=on
a ^at++++=a
low ^jj+atrb+++=low
rise ^nn++++=rise
above ^jjb++++=above
the ^ati++++=the
eastern ^jj+atrb+++=eastern
shore ^nn++++=shore.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
it ^pp3+it+++=it
the ^ati++++=the
forest ^npl++++=forest
stood ^vbd+++xvbn+=stood
impenetrably ^jj++++=impenetrably
dark ^jj++++=dark;
; ^zz++++=EXTRAWORD
before ^cs+sub+++=before
it ^pp3+it+++=it
the ^ati++++=the
lake ^npl++++=lake
stretched ^vwbn+++xvbn+=stretched
six ^cd++++=six
miles ^nns++++=miles
westward ^rb+cnj+++=westward,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
islands ^nns++++=islands
lying ^vwbg+++xvbg+=lying
along ^in++++=along
the ^ati++++=the
pale ^jj+atrb+++=pale
autumn ^nn++++=autumn
water ^nn++++=water
like ^in++++=like
sleeping ^xvbg+++xvbg+=sleeping
animals ^nns+nom+++=animals.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weather ^nn++++=weather
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
with ^in++++=with
frosts ^nns++++=frosts
at ^in++++=at
night ^nn++++=night
and ^cc++++=and
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
bright ^jj+atrb+++=bright
days ^nns++++=days.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
afternoon ^nn++++=afternoon
of ^in++++=of
the ^ati++++=the
twenty ^cd++++=twenty-third
- ^zz++++=EXTRAWORD
third ^od++++=EXTRAWORD
of ^in++++=of
September ^nr+nom+++=September
the ^ati++++=the
wind ^nn++++=wind
changed ^vbd+++xvbn+=changed.
. ^zz++++=EXTRAWORD
Clouds ^nns++++=Clouds
gathered ^vbd+++xvbn+=gathered
above ^jjb++++=above
the ^ati++++=the
western ^jj+atrb+++=western
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
hitherto ^rb++++=hitherto
blue ^jj++++=blue
and ^cc+phrs+++=and
mild ^jj+atrb+++=mild,
, ^zz++++=EXTRAWORD
became ^jj+atrb++xvbn+=became
iron ^nn++++=iron-grey,
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
short ^jj+atrb+++=short
waves ^nns++++=waves
that ^tht+rel+subj++=that
slapped ^vprf+++xvbn+=slapped
resentfully ^rb++++=resentfully
among ^in++++=among
the ^ati++++=the
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
early ^jj++++=early
from ^in++++=from
hunting ^xvbg+++xvbg+=hunting
and ^cc++++=and
were ^vbd+bed+aux++=were
seated ^vpsv++agls+xvbnx+=seated
about ^in++++=about
the ^ati++++=the
cedar ^nn++++=cedar
fire ^nn++++=fire
when ^wrb+who+++=when
Hank ^np++++=Hank,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
for ^in++++=for
water ^nn++++=water,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
to ^in++++=to
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
