# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Who ^whp+rel+subj++=WHO
Are ^vb+ber+vrb++=ARE
The ^ati++++=THE
Poor ^jj++++=POOR?
? ^zz++++=EXTRAWORD
After ^cs+sub+++=After
an ^at++++=an
absence ^nn+nom+++=absence
of ^in++++=of
nearly ^rb+down+++=nearly
eight ^cd++++=eight
years ^nns++++=years,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
returned ^vbd+++xvbnx+=returned
to ^in++++=to
L ^zz++++=L
, ^zz++++=,
the ^ati++++=the
pleasant ^jj+atrb+++=pleasant
town ^nn++++=town
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
better ^jjr+atrb+++=better
part ^nn++++=part
of ^in++++=of
my ^pp$+pp1+++=my
youth ^nn++++=youth
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
spent ^vpsv++agls+xvbnx+=spent.
. ^zz++++=EXTRAWORD
Few ^ap++++=Few
experiences ^nns+nom+++=experiences
are ^vb+ber+vrb++=are
more ^ql++++=more
affecting ^jj+++xvbg+=affecting
than ^in++++=than
such ^abl++++=such
a ^at++++=a
return ^nn++++=return.
. ^zz++++=EXTRAWORD
Streets ^nns++++=Streets
which ^whp+rel+obj++=which
memory ^nn++++=memory
hath ^vbz+hvz+aux++=hath
peopled ^vprf+++xvbnx+=peopled
with ^in++++=with
familiar ^jj+atrb+++=familiar
forms ^nns++++=forms
seem ^vb+seem+++=seem
at ^rb++++=at
first ^rb"++++=first
unchanged ^jj++++=unchanged;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
look ^vb++++=look
more ^rbr++++=more
closely ^rb+cnj+++=closely,
, ^zz++++=EXTRAWORD
new ^jj+atrb+++=new
signs ^nns++++=signs
meet ^vb++++=meet
the ^ati++++=the
eye ^nn++++=eye,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
dwellings ^nns+nom+++=dwellings
have ^vb+hv+aux++=have
passed ^vprf+++xvbnx+=passed
into ^in++++=into
other ^ap++++=other
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
faces ^nns++++=faces
once ^rb+tm+++=once
seen ^vprf+++xvbn+=seen
at ^rb++++=at
every ^at++++=every
corner ^nn++++=corner
are ^vb+ber+vrb++=are
nowhere ^rb+pl+++=nowhere
to ^to++++=to
be ^vbi+vbi+aux++=be
found ^vpsv++agls+xvbnx+=found.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
evening ^nn++++=evening
of ^in++++=of
my ^pp$+pp1+++=my
arrival ^nn++++=arrival,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
with ^in++++=with
an ^at++++=an
early ^jj+atrb+++=early
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
conversing ^jj+++xvbg+=conversing
of ^in++++=of
those ^dt+pdem+++=those
whom ^whp+rel+obj++=whom
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
Wightmans ^nns+nom++??+=Wightmans?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
inquired ^vbd+++xvbnx+=inquired.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
of ^in++++=of
them ^pp3o+pp3+++=them?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
down ^rp++++=down
sadly ^rb++++=sadly
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
remember ^nn+nom+++=remember
Wightman ^np+nom+++=Wightman's
's ^$++++=EXTRAWORD
store ^nn++++=store?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
failed ^vbd+++xvbnx+=failed
about ^in++++=about
five ^cd++++=five
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lost ^vbd+++xvbn+=lost
every ^at++++=every
thing ^nn++++=thing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
business ^nns+nom+++=business
was ^vbd+bedz+aux++=was
wound ^vpsv++agls+xvbnx+=wound
up ^rp++++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
handsome ^jj+atrb+++=handsome
house ^npl++++=house
sold ^vwbn+++xvbn+=sold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
family ^nn++++=family
compelled ^vwbn+++xvbn+=compelled
to ^to+vcmp+++=to
seek ^vbi++++=seek
a ^at++++=a
livelihood ^nn+nom+++=livelihood
as ^in++++=as
best ^jjt++++=best
they ^pp3a+pp3+++=they
could ^md+pos+++=could.
. ^zz++++=EXTRAWORD
Wightman ^np+nom++??+=Wightman
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now
a ^at++++=a
clerk ^nn++++=clerk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
and ^cc++++=and
daughters ^nns+nom+++=daughters?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
are ^vb+ber+aux++=are
living ^vbg+++xvbgx+=living
with ^in+ppvb+++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
small ^jj+atrb+++=small
house ^npl++++=house
at ^rb++++=at
the ^ati++++=the
northern ^jj+atrb+++=northern
extremity ^nn+nom+++=extremity
of ^in++++=of
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
very ^ql+amp+++=very
poor ^jj++++=poor."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Very
very ^ql+amp+++=EXTRAWORD
poor ^jj++++=poor!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
painful ^jj+atrb+++=painful
remembrance ^nn+nom+++=remembrance
of ^in++++=of
their ^pp$+pp3+++=their
former ^ap++++=former
