# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Lost ^vbd+++xvbn+=Lost
in ^in++++=in
a ^at++++=a
London ^np++++=London
Fog ^nn++++=Fog
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
during ^in++++=during
our ^pp$+pp1+++=our
first ^od++++=first
winter ^nn++++=winter
in ^in++++=in
London ^np++++=London
that ^tht+rel+obj++=that
my ^pp$+pp1+++=my
sister ^nn++++=sister
Kate ^np++++=Kate
and ^cc++++=and
I ^pp1a+pp1+++=I
acquired ^vbd+++xvbnx+=acquired
the ^ati++++=the
wisdom ^nn++++=wisdom
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
like ^in++++=like
most ^ql+emph+++=most
valuable ^jj+atrb+++=valuable
wisdom ^nn++++=wisdom,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
too ^ql++++=too
late ^jj++++=late
to ^to++++=to
be ^vbi++vrb++=be
useful ^jj+pred+++=useful
on ^in++++=on
the ^ati++++=the
occasion ^nn++++=occasion
that ^tht+rel+subj++=that
produces ^vbz++++=produces
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
spending ^vbg+++xvbgx+=spending
an ^at++++=an
evening ^nn++++=evening
with ^in++++=with
some ^dti++++=some
American ^jj+atrb+++=American
friends ^nns++++=friends
in ^in++++=in
Bloomsbury ^np++++=Bloomsbury.
. ^zz++++=EXTRAWORD
The ^ati++++=The
evening ^nn++++=evening
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
harmless ^jj+atrb+++=harmless
music ^nn++++=music,
, ^zz++++=EXTRAWORD
weak ^jj+atrb+++=weak
tea ^nn++++=tea,
, ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
opinions ^nns++++=opinions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
prolonged ^jj+atrb++xvbn+=prolonged
discussion ^nn++++=discussion
as ^in++++=as
