# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Little ^ap++++=Little
River ^nn++++=River
Az ^np+++??+=Az
lie ^nn++++=lie
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
plantation ^nn+nom+++=plantation
store ^nn++++=store
twice ^rb++++=twice
in ^in++++=in
one ^cd1++++=one
week ^nn++++=week,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
Saturday ^nr++++=Saturday
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
yard ^nn++++=yard
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
a ^at++++=a
large ^jj+atrb+++=large
tin ^nn++++=tin
pail ^nn++++=pail
that ^tht+rel+subj++=that
struck ^vprf+++xvbn+=struck
her ^pp$+pp3+++=her
knee ^nn++++=knee
at ^in++++=at
every ^at++++=every
other ^ap++++=other
step ^nn++++=step.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pail ^nn++++=pail
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+aux+xvbnx+=been
painted ^vpsv++agls+xvbnx+=painted
green ^np++++=green,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
color ^nn++++=color
remained ^vbd+++xvbn+=remained
only ^rb+down+++=only
beneath ^in+pl+++=beneath
the ^ati++++=the
handle ^nn++++=handle
and ^cc++++=and
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
chipped ^jj+++xvbn+=chipped
islands ^npl++++=islands
around ^rp++++=around
the ^ati++++=the
bottom ^nn++++=bottom.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
faded ^jj+atrb++xvbn+=faded
blue ^jj+atrb+++=blue
calico ^nn+++??+=calico
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
tight ^jj++++=tight
across ^in+pl+++=across
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
hanging ^jj+++xvbg+=hanging
loose ^jj++++=loose
at ^in++++=at
the ^ati++++=the
waist ^nn++++=waist.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
shoes ^nns++++=shoes
were ^vbd+bed+vrb++=were
thick ^jj+pred+++=thick
with ^in++++=with
pale ^nn++++=pale
dust ^nn++++=dust
from ^in++++=from
the ^ati++++=the
river ^nn++++=river
road ^npl++++=road.
. ^zz++++=EXTRAWORD
' ^zz++++='Polyte
polyte ^nn+++??+=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
her ^pp$+pp3+++=her
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
store ^nn++++=store
door ^nn++++=door
and ^cc++++=and
made ^vbd+++xvbn+=made
a ^at++++=a
sound ^nn++++=sound
of ^in++++=of
impatience ^nn+nom+++=impatience.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
balancing ^nn++++=balancing
the ^ati++++=the
week ^nn++++=week's
's ^$++++=EXTRAWORD
accounts ^nns++++=accounts
on ^in++++=on
a ^at++++=a
high ^jj+atrb+++=high
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
foot ^nn++++=foot
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
the ^ati++++=the
rung ^nn++++=rung
of ^in++++=of
a ^at++++=a
stool ^nn++++=stool.
. ^zz++++=EXTRAWORD
The ^ati++++=The
store ^nn++++=store
was ^vbd+bedz+vrb++=was
close ^jj+pred+++=close
and ^cc+phrs+++=and
pungent ^jj++++=pungent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
smelled ^vbd+++xvbn+=smelled
of ^in++++=of
molasses ^nn++++=molasses,
, ^zz++++=EXTRAWORD
coal ^nn++++=coal
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
salt ^jj+atrb+++=salt
meat ^nn++++=meat,
, ^zz++++=EXTRAWORD
damp ^nn++++=damp
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sharp ^jj+atrb+++=sharp
brown ^jj+atrb+++=brown
soap ^nn++++=soap
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
blocks ^nns++++=blocks
under ^in++++=under
the ^ati++++=the
counter ^nn++++=counter.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
wish ^vb+vprv+tht0++=wish
she ^pp3a+pp3+++=she
would ^md+prd+++=would
go ^vb++++=go
' ^zz++++='way
way ^nn++++=EXTRAWORD
f ^zz++++=f'om
'om ^nn+++??+=EXTRAWORD
yere ^nn+++??+=yere,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
one ^pn++++=one
near ^in+pl+++=near
enough ^qlp++++=enough
to ^to++++=to
hear ^vbi+vprv+++=hear
except ^in++++=except
old ^jj+atrb+++=old
Baptiste ^np+++??+=Baptiste,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
slept ^vbd+++xvbn+=slept
on ^in++++=on
a ^at++++=a
flour ^nn++++=flour
barrel ^nn++++=barrel
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
Az ^np+++??+=Az
lie ^vb++++=lie
stopped ^vbd+++xvbn+=stopped
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
step ^nn++++=step
in ^in++++=in
until ^in++++=until
' ^zz++++='Polyte
polyte ^jj+++??+=EXTRAWORD
looked ^jj+++xvbn+=looked
at ^in++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="W'at
w ^zz++++=EXTRAWORD
'at ^nn+++??+=EXTRAWORD
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
pail ^nn++++=pail
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
an ^at++++=an
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Pa
pa ^npt++++=EXTRAWORD
say ^vb+vpub+++=say
fo ^nn+++??+=fo'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
to ^to++++=to
give ^vbi++++=give
us ^pp1o+pp1+++=us
some ^dti++++=some
meal ^nn++++=meal."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
pa ^nn++++=pa
been ^vprf+ben+aux+xvbn+=been
had ^vb+hv+vrb++=had
meal ^nn++++=meal
Tuesday ^nr++++=Tuesday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
all ^abn++++=all
gone ^vprf+++xvbn+=gone."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Gone!
gone ^vprf+++xvbn+=EXTRAWORD
! ^zz++++=EXTRAWORD
Bont ^np+++??+=Bont
! ^zz++++=!
