There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^at++++=a
merchant ^nn+nom+++=merchant
so ^rb+emph+++=so
wealthy ^jj++++=wealthy
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
have ^vb+hv+aux++=have
paved ^vprf+++xvbnx+=paved
the ^ati++++=the
whole ^jj+atrb+++=whole
market ^nn++++=market-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
with ^in++++=with
silver ^nn++++=silver
coins ^nns++++=coins
and ^cc++++=and
still ^rb++++=still
had ^vb+hv+vrb++=had
enough ^qlp++++=enough
left ^jj+++xvbn+=left
to ^to++++=to
pave ^vbi++++=pave
the ^ati++++=the
little ^ap++++=little
lane ^nn++++=lane
behind ^in+pl+++=behind
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
do ^vb+do+vrb++=do
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
understood ^vbd+vprv++xvbnx+=understood
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
a ^at++++=a
rarer ^jjr++++=rarer
understanding ^jj+++xvbg+=understanding
than ^in++++=than
many ^ap++++=many
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
son ^nn++++=son
understood ^vwbn+vprv+tht0+xvbn+=understood
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
merchant ^nn+nom+++=merchant
died ^vbd+++xvbn+=died,
, ^zz++++=EXTRAWORD
the ^ati++++=the
son ^nn++++=son
inherited ^vbd+++xvbn+=inherited
warehouses ^nns++++=warehouses,
, ^zz++++=EXTRAWORD
ships ^nns++++=ships,
, ^zz++++=EXTRAWORD
houses ^nns++++=houses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^rbr++++=more
gold ^nn++++=gold
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
could ^md+pos+++=could
count ^vb++++=count
without ^in++++=without
growing ^xvbg+++xvbg+=growing
tired ^jj+++xvbn+=tired.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
splendid ^jj+atrb+++=splendid
dinners ^nns+nom+++=dinners
to ^in++++=to
people ^nns++++=people
whose ^whp+rel+obj++=whose
names ^nns++++=names
he ^pp3a+pp3+++=he
scarcely ^rb+down+++=scarcely
knew ^vbd+vprv++xvbn+=knew;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
kites ^nns++++=kites
out ^rp+pl+++=out
of ^in++++=of
banknotes ^nns++++=banknotes
and ^cc++++=and
watched ^vbd+++xvbn+=watched
them ^pp3o+pp3+++=them
sail ^vb++++=sail
away ^rp+pl+++=away
over ^in++++=over
the ^ati++++=the
chimneys ^nns++++=chimneys;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
merely ^rb+down+++=merely
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
splash ^vb++++=splash,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
threw ^vbd+++xvbnx+=threw
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
gold ^nn++++=gold
pieces ^nns++++=pieces
into ^in++++=into
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
" ^zz++++="Money
money ^nn++++=EXTRAWORD
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
to ^to+vcmp+++=to
go ^vbi++++=go
round ^rb+cnj+++=round,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
round ^in++++=round
it ^pp3+it+++=it
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
never ^rb++++=never
came ^vbd+++xvbn+=came
round ^rb++++=round
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
long ^rb++++=long
the ^ati++++=the
ships ^nns++++=ships
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
other ^ap++++=other
merchants ^nns+nom+++=merchants,
, ^zz++++=EXTRAWORD
the ^ati++++=the
warehouses ^nns++++=warehouses
were ^vbd+bed+vrb++=were
empty ^jj+pred+++=empty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
great ^jj+atrb+++=great
house ^npl++++=house
had ^vb+hv+vrb++=had
so ^ql++++=so
many ^ap++++=many
creditors ^nns++++=creditors
at ^in++++=at
the ^ati++++=the
door ^nn++++=door
that ^tht+rel+obj++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
hardly ^rb+down+++=hardly
room ^nn++++=room
for ^in++++=for
the ^ati++++=the
owner ^nn++++=owner
to ^to++++=to
get ^vbi++++=get
out ^rb+phrv+++=out.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
nothing ^pn++++=nothing
left ^vbd+++xvbn+=left
but ^cc++++=but
a ^at++++=a
flowered ^jj+atrb+++=flowered
dressing ^jj+atrb++xvbg+=dressing
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
embroidered ^jj+atrb++xvbn+=embroidered
slippers ^nns+nom+++=slippers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
four ^cd++++=four
copper ^nn++++=copper
coins ^nns++++=coins.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friends ^nns++++=friends
disappeared ^vbd+seem++xvbn+=disappeared
with ^in++++=with
his ^pp$+pp3+++=his
fortune ^nn++++=fortune.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
alone ^rb++++=alone
remembered ^vbd+vprv++xvbn+=remembered
him ^pp3o+pp3+++=him
and ^cc++++=and
sent ^vbd+++xvbn+=sent
him ^pp3o+pp3+++=him
an ^at++++=an
old ^jj+atrb+++=old
wooden ^jj+atrb+++=wooden
trunk ^nn++++=trunk
with ^in++++=with
a ^at++++=a
note ^nn++++=note:
: ^zz++++=EXTRAWORD
" ^zz++++="Pack
pack ^vb++++=EXTRAWORD
up ^rp++++=up
and ^cc++++=and
be ^vb+be+vrb++=be
off ^in+strn+++=off!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
advice ^nn++++=advice
was ^vbd+bedz+vrb++=was
excellent ^jj+pred+++=excellent,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
had ^vb+hv+vrb++=had
nothing ^pn++++=nothing
to ^in++++=to
pack ^nn++++=pack.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
therefore ^rb+cnj+++=therefore
climbed ^vbd+++xvbn+=climbed
into ^in++++=into
the ^ati++++=the
trunk ^nn++++=trunk
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moment ^nn++++=moment
he ^pp3a+pp3+++=he
pressed ^vbd+++xvbnx+=pressed
down ^rp++++=down
the ^ati++++=the
lock ^nn++++=lock,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trunk ^nn++++=trunk
gave ^vbd+++xvbn+=gave
a ^at++++=a
creak ^vb++++=creak,
, ^zz++++=EXTRAWORD
sprang ^j+++xvbn+=sprang
through ^in++++=through
the ^ati++++=the
open ^jj+atrb+++=open
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flew ^vpsv++agls+xvbn+=flew
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="Dear
dear ^jj++++=EXTRAWORD
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
son ^nn++++=son,
, ^zz++++=EXTRAWORD
clutching ^vbg+++xvbg+=clutching
the ^ati++++=the
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
roofs ^nns++++=roofs
and ^cc++++=and
steeples ^nns++++=steeples
it ^pp3+it+++=it
carried ^vbd+++xvbn+=carried
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
higher ^jjr++++=higher
than ^in++++=than
the ^ati++++=the
larks ^nns++++=larks
and ^cc++++=and
faster ^rbr++++=faster
than ^in++++=than
the ^ati++++=the
clouds ^nns++++=clouds.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
passed ^vbd+++xvbnx+=passed
forests ^nns++++=forests,
, ^zz++++=EXTRAWORD
mountains ^npl++++=mountains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
strip ^nn++++=strip
of ^in++++=of
shining ^xvbg+++xvbg+=shining
sea ^npl++++=sea;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
toward ^in++++=toward
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trunk ^nn++++=trunk
descended ^vbd+++xvbn+=descended
in ^in++++=in
a ^at++++=a
strange ^jj+atrb+++=strange
country ^nn++++=country
and ^cc++++=and
set ^nn+++xvbn+=set
him ^pp3o+pp3+++=him
down ^rp++++=down
among ^in++++=among
trees ^nns++++=trees
outside ^jjb++++=outside
a ^at++++=a
great ^jj+atrb+++=great
city ^nn++++=city.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hid ^vbd+++xvbnx+=hid
the ^ati++++=the
trunk ^nn++++=trunk
under ^in++++=under
dry ^jj+atrb+++=dry
leaves ^nns++++=leaves
and ^cc++++=and
walked ^vpsv++agls+xvbn+=walked
toward ^in++++=toward
the ^ati++++=the
city ^nn++++=city
in ^in++++=in
his ^pp$+pp3+++=his
dressing ^nvbg+++xvbg+=dressing
gown ^nn++++=gown
and ^cc++++=and
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
people ^nns++++=people
there ^ex+pex+++=there
wore ^vbd+++xvbn+=wore
long ^jj+atrb+++=long
robes ^nns++++=robes
and ^cc++++=and
bright ^jj+atrb+++=bright
turbans ^nns+nom+++=turbans,
, ^zz++++=EXTRAWORD
so ^ql++++=so
they ^pp3a+pp3+++=they
supposed ^vbd+vprv+tht0+xvbnx+=supposed
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
dressed ^vpsv++agls+xvbnx+=dressed
in ^in++++=in
some ^dti++++=some
distant ^jj+atrb+++=distant
fashion ^nn++++=fashion
and ^cc++++=and
paid ^jj+++xvbn+=paid
him ^pp3o+pp3+++=him
little ^jj+atrb+++=little
heed ^nn++++=heed.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
city ^nn++++=city
is ^vbz+bez+vrb++=is
this ^dt+pdem+++=this?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked
a ^at++++=a
seller ^nn++++=seller
of ^in++++=of
sweet ^jj+atrb+++=sweet
cakes ^nns++++=cakes.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
city ^nn++++=city
of ^in++++=of
Turkey ^nn++++=Turkey,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
that ^tht+vcmp+++=that
castle ^npl++++=castle
yonder ^jjb++++=yonder
belongs ^vbz++++=belongs
to ^in++++=to
the ^ati++++=the
king ^nn++++=king."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
One ^cd1++++=One
tower ^nn++++=tower
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle
rose ^vbd+++xvbn+=rose
so ^ql++++=so
high ^np++++=high
that ^tht+rel+obj++=that
its ^pp$+it+++=its
windows ^nns++++=windows
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
look ^vbi++++=look
straight ^rb++++=straight
into ^in++++=into
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
lives ^vbz++++=lives
up ^rp++++=up
there ^rn+pl+++=there?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
princess ^nns+nom+++=princess,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
cake ^nn++++=cake
seller ^nn++++=seller.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
wise ^jj+atrb+++=wise
woman ^nn++++=woman
foretold ^nn+++??+=foretold
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+aux++=be
made ^vpsv++agls+xvbnx+=made
unhappy ^jj++++=unhappy
by ^in++++=by
a ^at++++=a
lover ^nn++++=lover,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
the ^ati++++=the
king ^nn++++=king
and ^cc++++=and
queen ^nn++++=queen
have ^vb+hv+aux++=have
shut ^vprf+++xvbnx+=shut
her ^pp$+pp3+++=her
in ^in++++=in
the ^ati++++=the
tower ^nn++++=tower.
. ^zz++++=EXTRAWORD
No ^at++++=No
man ^nn++++=man
can ^md+pos+++=can
reach ^vb++++=reach
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No
no ^at++++=EXTRAWORD
man ^nn++++=man
on ^in++++=on
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
son ^nn++++=son.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
into ^in++++=into
the ^ati++++=the
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
pressed ^j+++xvbn+=pressed
the ^ati++++=the
lock ^nn++++=lock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flew ^vbd+++xvbn+=flew
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
princess ^nns+nom+++=princess's
's ^$++++=EXTRAWORD
window ^nn++++=window.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stood ^vbd+++xvbn+=stood
open ^jj++++=open
because ^cs+cos+++=because
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sailed ^vbd+++xvbnx+=sailed
straight ^jj++++=straight
into ^in++++=into
her ^pp$+pp3+++=her
chamber ^nn++++=chamber
and ^cc++++=and
landed ^vpsv++agls+xvbn+=landed
on ^in++++=on
a ^at++++=a
carpet ^nn++++=carpet
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
princess ^nns+nom+++=princess
awoke ^vbd+++xvbn+=awoke
and ^cc+phrs+++=and
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
scream ^vb++++=scream.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
not ^xnot++not++=not
