# ^zz++++=##
# ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
Going ^vbg+++xvbg+=Going
to ^in++++=to
Heaven ^nn++++=Heaven
Yet ^rb++++=Yet
By ^in++++=By
nine ^cd++++=nine
o'clock ^rb++++=o'clock
on ^in++++=on
Tuesday ^nr++++=Tuesday
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
justice ^nn++++=justice
court ^nn++++=court
of ^in++++=of
Bellweather ^np+nom++??+=Bellweather,
, ^zz++++=EXTRAWORD
Iowa ^np+++??+=Iowa,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
one ^cd1++++=one
broken ^jj+atrb++xvbn+=broken
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
two ^cd++++=two
muddy ^jj+atrb+++=muddy
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
seven ^cd++++=seven
spectators ^nns++++=spectators
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
no ^at++++=no
business ^nns+nom+++=business
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
case ^nn++++=case
that ^tht+rel+obj++=that
nobody ^pn++++=nobody
understood ^vbd+vprv++xvbn+=understood.
. ^zz++++=EXTRAWORD
By ^in++++=By
ten ^cd++++=ten,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dogs ^nns++++=dogs
understood ^vwbn+vprv++xvbn+=understood
it ^pp3+it+++=it
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
the ^ati++++=the
spectators ^nns++++=spectators
understood ^vwbn+vprv++xvbn+=understood
it ^pp3+it+++=it
best ^jjt++++=best,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Judge ^nn++++=Judge
Murphy ^np+++??+=Murphy
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
believe ^vbi+vprv+++=believe
that ^tht+vcmp+++=that
understanding ^vbg+++xvbg+=understanding
was ^vbd+bedz+vrb++=was
a ^at++++=a
necessary ^jj+atrb+++=necessary
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
law ^nn++++=law.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trouble ^nn++++=trouble
stood ^vbd+++xvbn+=stood
before ^in++++=before
him ^pp3o+pp3+++=him
in ^in++++=in
four ^cd++++=four
separate ^jj+atrb+++=separate
shapes ^nns++++=shapes.
. ^zz++++=EXTRAWORD
First ^rb++++=First
came ^vbd+++xvbn+=came
Sally ^np++++=Sally
Bell ^nn++++=Bell,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
of ^in++++=of
Noah ^np++++=Noah
Bell ^nn++++=Bell,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
under ^in++++=under
one ^cd1++++=one
arm ^nn++++=arm
a ^at++++=a
bed ^nn++++=bed
slat ^nn++++=slat
split ^vbd+++xvbn+=split
down ^rp++++=down
the ^ati++++=the
middle ^nn++++=middle.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
handsome ^jj+atrb+++=handsome
woman ^nn++++=woman
with ^in++++=with
a ^at++++=a
yellow ^jj+atrb+++=yellow
scarf ^nn++++=scarf
tied ^vbd+++xvbn+=tied
around ^rp++++=around
her ^pp$+pp3+++=her
head ^jjb++++=head
and ^cc++++=and
the ^ati++++=the
carriage ^nn+nom+++=carriage
of ^in++++=of
an ^at++++=an
injured ^jj+++xvbn+=injured
queen ^npt++++=queen
entering ^vwbg+++xvbg+=entering
a ^at++++=a
rebellious ^jj+atrb+++=rebellious
province ^nn++++=province.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
left ^vbd+++xvbn+=left
sleeve ^nn++++=sleeve
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
torn ^vpsv++agls+xvbnx+=torn
at ^rb++++=at
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
soot ^nn++++=soot
crossed ^vbd+++xvbn+=crossed
her ^pp$+pp3+++=her
forehead ^nn++++=forehead
like ^in++++=like
a ^at++++=a
military ^jj+atrb+++=military
decoration ^nn+nom+++=decoration,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
line ^nn++++=line
of ^in++++=of
her ^pp$+pp3+++=her
figure ^nn++++=figure
announced ^vbd+vpub++xvbn+=announced
that ^tht+vcmp+++=that
somebody ^pn++++=somebody
was ^vbd+bedz+vrb++=was
shortly ^rb+tm+++=shortly
to ^to++++=to
be ^vbi+vbi+aux++=be
corrected ^vpsv++agls+xvbnx+=corrected.
. ^zz++++=EXTRAWORD
Second ^od++++=Second
came ^vbd+++xvbn+=came
Silas ^np+++??+=Silas
Green ^nn++++=Green,
, ^zz++++=EXTRAWORD
tenant ^nn++++=tenant
of ^in++++=of
Noah ^np++++=Noah
Bell ^nn++++=Bell,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
coat ^nn++++=coat
that ^tht+rel+subj++=that
appeared ^vprf+++xvbn+=appeared
to ^to+vcmp+++=to
have ^vbi++++=have
been ^vprf+ben+aux+xvbn+=been
designed ^vpsv++agls+xvbnx+=designed
for ^in++++=for
a ^at++++=a
larger ^jjr++++=larger
and ^cc++++=and
more ^rbr++++=more
prosperous ^jj+atrb+++=prosperous
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Silas ^np+++??+=Silas
had ^vb+hv+vrb++=had
the ^ati++++=the
long ^jj++++=long,
, ^zz++++=EXTRAWORD
descending ^vbg+++xvbg+=descending
face ^nn++++=face
of ^in++++=of
one ^cd1++++=one
whose ^whp+rel+obj++=whose
hopes ^nns++++=hopes
had ^vb+hv+aux++=had
not ^xnot++not++=not
merely ^rb+down+++=merely
fallen ^vprf+++xvbn+=fallen
but ^cc++++=but
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
through ^in++++=through
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
lodged ^vpsv++agls+xvbn+=lodged
in ^in++++=in
the ^ati++++=the
cellar ^nn++++=cellar.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stood ^vbd+++xvbnx+=stood
with ^in++++=with
his ^pp$+pp3+++=his
knees ^nns++++=knees
turned ^vbd+++xvbn+=turned
slightly ^rb+down+++=slightly
inward ^jjb++++=inward,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
chin ^nn++++=chin
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
upon ^in++++=upon
the ^ati++++=the
bed ^nn++++=bed
slat ^nn++++=slat.
. ^zz++++=EXTRAWORD
Milton ^np++++=Milton
supplied ^vbd+++xvbn+=supplied
devils ^nns++++=devils
with ^in++++=with
more ^rbr++++=more
grandeur ^nn++++=grandeur,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
