There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
once ^rb+tm+++=once
a ^rb++++=a
little ^rb"++++=little
girl ^nn++++=girl
named ^vbd+++xvbn+=named
Karen ^np+++??+=Karen,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
poor ^jj++++=poor
that ^cs+sub+++=that
in ^in++++=in
summer ^nn++++=summer
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
barefoot ^jj++++=barefoot,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
winter ^nn++++=winter
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
heavy ^jj+atrb+++=heavy
wooden ^jj+atrb+++=wooden
shoes ^nns++++=shoes
which ^whp+rel+subj++=which
rubbed ^vbd+++xvbn+=rubbed
her ^pp$+pp3+++=her
ankles ^nns++++=ankles
until ^cs+sub+++=until
they ^pp3a+pp3+++=they
bled ^vbd+++xvbnx+=bled.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
child ^nn++++=child,
, ^zz++++=EXTRAWORD
with ^in++++=with
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes
and ^cc++++=and
soft ^jj+atrb+++=soft
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
people ^nns++++=people
praised ^vbd+++xvbn+=praised
her ^pp$+pp3+++=her
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
learned ^vbd+++xvbnx+=learned
early ^jj++++=early
to ^to++++=to
look ^vbi++++=look
into ^in+ppvb+++=into
every ^at++++=every
clear ^jj+atrb+++=clear
pool ^nn++++=pool
and ^cc++++=and
every ^at++++=every
shining ^jj+atrb++xvbg+=shining
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
was ^vbd+bedz+vrb++=was
poor ^jj+pred+++=poor
and ^cc+phrs+++=and
sickly ^jj++++=sickly.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
died ^vbd+++xvbnx+=died,
, ^zz++++=EXTRAWORD
the ^ati++++=the
neighbors ^nns++++=neighbors
laid ^vbd+++xvbn+=laid
her ^pp$+pp3+++=her
in ^in++++=in
a ^at++++=a
plain ^jj+atrb+++=plain
coffin ^nn++++=coffin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Karen ^np+++??+=Karen
followed ^vbd+vprv+tht0+xvbn+=followed
it ^pp3+it+++=it
in ^in++++=in
an ^at++++=an
old ^jj+atrb+++=old
black ^jj+atrb+++=black
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
her ^pp$+pp3+++=her
feet ^nns++++=feet
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
shoes ^nns++++=shoes
made ^vwbn+++xvbn+=made
by ^in++++=by
the ^ati++++=the
village ^nn+nom+++=village
shoemaker ^nn+nom+++=shoemaker's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
from ^in++++=from
scraps ^nns++++=scraps
of ^in++++=of
red ^jj+atrb+++=red
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
clumsy ^jj+atrb+++=clumsy
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
was ^vbd+bedz+vrb++=was
larger ^jjr+pred+++=larger
than ^in++++=than
the ^ati++++=the
other ^ap++++=other;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Karen ^np+++??+=Karen
thought ^vbd+++xvbn+=thought
them ^pp3o+pp3+++=them
splendid ^jj++++=splendid
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
behind ^in+pl+++=behind
the ^ati++++=the
coffin ^nn++++=coffin,
, ^zz++++=EXTRAWORD
a ^at++++=a
carriage ^nn+nom+++=carriage
came ^vbd+++xvbn+=came
along ^in++++=along
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
In ^in++++=In
it ^pp3+it+++=it
sat ^vbd+++xvbn+=sat
a ^at++++=a
wealthy ^jj+atrb+++=wealthy
old ^jj+atrb+++=old
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
and ^cc++++=and
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
child ^nn++++=child
in ^in++++=in
the ^ati++++=the
clumsy ^jj+atrb+++=clumsy
red ^jj+atrb+++=red
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
that ^dt+dem+++=that
little ^ap++++=little
girl ^nn++++=girl?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
that ^tht+vcmp+++=that
Karen ^np+++??+=Karen
had ^vb+hv+vrb++=had
neither ^dt++neg++=neither
father ^nn++++=father
nor ^cc++neg++=nor
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
take ^vb++++=take
her ^pp$+pp3+++=her
into ^in++++=into
my ^pp$+pp1+++=my
house ^nn++++=house
and ^cc++++=and
bring ^vb++++=bring
her ^pp$+pp3+++=her
up ^rp++++=up
properly ^rb++++=properly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Karen ^np+++??+=Karen
was ^vbd+bedz+aux++=was
given ^vpsv++agls+xvbnx+=given
clean ^jj+atrb+++=clean
linen ^nn++++=linen,
, ^zz++++=EXTRAWORD
warm ^jj+atrb+++=warm
food ^nn++++=food,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
room ^nn++++=room
with ^in++++=with
white ^jj+atrb+++=white
curtains ^nns++++=curtains.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
hair ^nn++++=hair
was ^vbd+bedz+aux++=was
combed ^vpsv++agls+xvbnx+=combed,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
hands ^nns++++=hands
were ^vbd+bed+aux++=were
washed ^vpsv++agls+xvbnx+=washed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
taught ^vpsv++agls+xvbnx+=taught
to ^to+vcmp+++=to
read ^vbn+vprv++xvbn+=read
from ^in++++=from
a ^at++++=a
great ^jj+atrb+++=great
Bible ^nn++++=Bible
with ^in++++=with
golden ^jj+atrb+++=golden
clasps ^nns+++??+=clasps.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
red ^jj+atrb+++=red
shoes ^nns++++=shoes
were ^vbd+bed+aux++=were
burned ^vpsv++agls+xvbnx+=burned,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
lady ^npt++++=lady
said ^vbd+vpub+tht0+xvbn+=said
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
ugly ^jj+pred+++=ugly
and ^cc+phrs+++=and
unsuitable ^jj++++=unsuitable.
. ^zz++++=EXTRAWORD
Karen ^np+++??+=Karen
wept ^vbd+++xvbn+=wept
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
saw ^vbd+vprv+tht0+xvbnx+=saw
the ^ati++++=the
flames ^nns++++=flames
consume ^vb++++=consume
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
because ^cs+cos+++=because
the ^ati++++=the
shoemaker ^nn+nom+++=shoemaker's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
them ^pp3o+pp3+++=them
kindly ^rb+cnj+++=kindly,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
years ^nns++++=years
passed ^vbd+++xvbn+=passed,
, ^zz++++=EXTRAWORD
Karen ^np+++??+=Karen
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
beautiful ^jj++++=beautiful.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
who ^whp+who+++=who
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
house ^npl++++=house
said ^vbd+vpub++xvbn+=said
so ^ql++++=so.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
lovely ^jj+atrb+++=lovely
face ^nn++++=face!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
graceful ^jj+atrb+++=graceful
hands ^nns++++=hands!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
fine ^jj+atrb+++=fine
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
Karen ^np+++??+=Karen
heard ^vbd+vprv++xvbn+=heard
every ^at++++=every
word ^nn++++=word.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
became ^vbd+++xvbnx+=became
proud ^jj++++=proud,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
pride ^nn++++=pride
sits ^vbz++++=sits
poorly ^rb++++=poorly
upon ^in++++=upon
the ^ati++++=the
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
worse ^jjr++++=worse
upon ^in++++=upon
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
rescued ^vpsv++by+xvbnx+=rescued
by ^in++++=by
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
princess ^nns+nom+++=princess
rode ^vbd+++xvbn+=rode
through ^in++++=through
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
a ^at++++=a
white ^jj+atrb+++=white
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
her ^pp$+pp3+++=her
feet ^nns++++=feet
were ^vbd+bed+vrb++=were
red ^jj+atrb+++=red
morocco ^np++++=morocco
shoes ^nns++++=shoes,
, ^zz++++=EXTRAWORD
delicate ^jj++++=delicate
as ^cs+sub+++=as
rose ^vbd+++xvbn+=rose
petals ^nns++++=petals
and ^cc++++=and
bright ^jj++++=bright
as ^ql++++=as
berries ^nns++++=berries
beneath ^in+pl+++=beneath
the ^ati++++=the
snow ^nn++++=snow.
. ^zz++++=EXTRAWORD
Karen ^np+++??+=Karen
saw ^vbd+vprv++xvbn+=saw
neither ^rb++neg++=neither
the ^ati++++=the
princess ^nns+nom+++=princess's
's ^vbz+bez+vrb++0=EXTRAWORD
gracious ^jj+atrb+++=gracious
smile ^nn++++=smile
nor ^cc++neg++=nor
the ^ati++++=the
poor ^jj+atrb+++=poor
people ^nns++++=people
whom ^whp+rel+obj++=whom
she ^pp3a+pp3+++=she
greeted ^vbd+++xvbnx+=greeted.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
saw ^vbd+vprv++xvbnx+=saw
only ^rb+down+++=only
the ^ati++++=the
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
" ^zz++++="Such
such ^abl++++=EXTRAWORD
shoes ^nns++++=shoes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
Karen ^np+++??+=Karen,
, ^zz++++=EXTRAWORD
" ^zz++++="would
would ^md+prd+++=EXTRAWORD
make ^vb++++=make
even ^rb++++=even
an ^at++++=an
ordinary ^jj+atrb+++=ordinary
girl ^nn++++=girl
look ^nn++++=look
royal ^jj++++=royal;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
upon ^in++++=upon
my ^pp$+pp1+++=my
feet ^nns++++=feet
they ^pp3a+pp3+++=they
would ^md+prd+++=would
be ^vb+be+vrb++=be
more ^rbr++++=more
beautiful ^jj+pred+++=beautiful
still ^rb++++=still."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
came ^vbd+++xvbn+=came
for ^in+ppvb+++=for
Karen ^np+++??+=Karen
to ^to++++=to
be ^vbi+vbi+aux++=be
confirmed ^vpsv++agls+xvbnx+=confirmed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
lady ^npt++++=lady
ordered ^vbd+vsua++xvbn+=ordered
a ^at++++=a
respectable ^jj+atrb+++=respectable
black ^jj+atrb+++=black
dress ^nn++++=dress
and ^cc++++=and
took ^vbd+++xvbn+=took
Karen ^np+++??+=Karen
to ^in++++=to
the ^ati++++=the
shoemaker ^nn+nom+++=shoemaker
so ^ql++++=so
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+vrb++=have
proper ^jj+atrb+++=proper
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
shoemaker ^nn+nom+++=shoemaker's
's ^$++++=EXTRAWORD
window ^nn++++=window
stood ^vbd+++xvbn+=stood
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
red ^jj+atrb+++=red
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
of ^in++++=of
shining ^xvbg+++xvbg+=shining
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
with ^in++++=with
narrow ^jj+atrb+++=narrow
straps ^nns++++=straps
and ^cc++++=and
small ^jj+atrb+++=small
heels ^nns++++=heels.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
made ^vpsv++agls+xvbnx+=made
for ^in+ppvb+++=for
a ^at++++=a
nobleman ^nn+nom+++=nobleman's
's ^$++++=EXTRAWORD
child ^nn++++=child,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
fit ^jj++++=fit
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Those!"
those ^dt+pdem+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Karen ^np+++??+=Karen.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
have ^vb+hv+vrb++=have
those ^dt+pdem+++=those!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
sight ^nn++++=sight
was ^vbd+bedz+vrb++=was
weak ^jj+pred+++=weak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
perceive ^vb+vprv+++=perceive
how ^wrb+who+whcl++=how
brightly ^rb++++=brightly
red ^jj++++=red
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shoemaker ^nn+nom+++=shoemaker
hesitated ^vbd+++xvbn+=hesitated.
. ^zz++++=EXTRAWORD
" ^zz++++="Red
red ^jj+atrb+++=EXTRAWORD
shoes ^nns++++=shoes
are ^vb+ber+vrb++=are
scarcely ^rb+down+++=scarcely
suitable ^jj+pred+++=suitable
for ^in++++=for
confirmation ^nn+nom+++=confirmation."
. ^zz++++=EXTRAWORD
