**the ^nn+++??+=**THE
Last ^rb++++=LAST
Dream ^nn++++=DREAM
Of ^in++++=OF
Ahasverus** ^np+++??+=AHASVERUS**
*the ^nn+++??+=*The
end ^nn++++=end
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
A ^at++++=A
deserted ^jj+atrb++xvbn+=deserted
earth ^nn++++=earth
beneath ^in+pl+++=beneath
a ^at++++=a
colorless ^jj+atrb+++=colorless
heaven ^nn++++=heaven.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
enormous ^jj++++=enormous
and ^cc+phrs+++=and
red ^jj++++=red,
, ^zz++++=EXTRAWORD
leans ^vbz++++=leans
upon ^in++++=upon
the ^ati++++=the
western ^jj+atrb+++=western
mountains ^nns++++=mountains,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
worn ^vpsv++agls+xvbnx+=worn
almost ^rb+hdg+++=almost
level ^nn++++=level
by ^in++++=by
the ^ati++++=the
ages ^nns++++=ages.
. ^zz++++=EXTRAWORD
No ^at++++=No
tree ^nn++++=tree
stands ^vbz++++=stands;
; ^zz++++=EXTRAWORD
no ^at++++=no
river ^nn++++=river
moves ^vbz++++=moves.
. ^zz++++=EXTRAWORD
On ^in++++=On
a ^at++++=a
solitary ^jj+atrb+++=solitary
rock ^npl++++=rock
lies ^vbz++++=lies
an ^at++++=an
ancient ^jj+atrb+++=ancient
man ^nn++++=man,
, ^zz++++=EXTRAWORD
wrapped ^j+++xvbn+=wrapped
in ^in++++=in
a ^at++++=a
torn ^xvbn+++xvbn+=torn
mantle ^np++++=mantle.
. ^zz++++=EXTRAWORD
Iron ^nn++++=Iron
chains ^nns++++=chains
descend ^vb++++=descend
into ^in++++=into
a ^at++++=a
cleft ^jj++++=cleft
nearby ^jjb++++=nearby.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
eagles ^nns++++=eagles
circle ^nn++++=circle
high ^jj+atrb+++=high
above.* ^nn+++??+=above.*
**ahasverus.** ^nn+++??+=**AHASVERUS.**
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
exhausted ^vbd+++xvbn+=exhausted
sun ^nn++++=sun!
! ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
hast ^&fw++++=hast
risen ^vprf+++xvbn+=risen
upon ^in++++=upon
the ^ati++++=the
bridal ^jj+atrb+++=bridal
chamber ^nn++++=chamber
and ^cc++++=and
the ^ati++++=the
battlefield ^nn++++=battlefield,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
the ^ati++++=the
cradle ^nn++++=cradle
and ^cc++++=and
the ^ati++++=the
gibbet ^nn++++=gibbet;
; ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
sink ^nn++++=sink,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rise ^vb++++=rise
no ^at++++=no
more ^rbr++++=more.
. ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
blue ^jj++++=blue
as ^ql++++=as
the ^ati++++=the
robe ^nn++++=robe
of ^in++++=of
the ^ati++++=the
Galilean ^np+nom++??+=Galilean!
! ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
bore ^vbd+++xvbn+=bore
the ^ati++++=the
dreams ^nps++++=dreams
of ^in++++=of
shepherds ^nns++++=shepherds
and ^cc++++=and
the ^ati++++=the
thunderbolts ^nns+++??+=thunderbolts
of ^in++++=of
kings ^np++++=kings!
! ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
lilies ^nns++++=lilies,
, ^zz++++=EXTRAWORD
cedars ^nns+++??+=cedars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
small ^jj+atrb+++=small
grass ^nn++++=grass
that ^tht+rel+subj++=that
pushed ^vbd+++xvbn+=pushed
between ^in++++=between
the ^ati++++=the
stones ^nns++++=stones
of ^in++++=of
Jerusalem ^np++++=Jerusalem!
! ^zz++++=EXTRAWORD
Farewell ^nn++++=Farewell,
, ^zz++++=EXTRAWORD
fountains ^nns++++=fountains
whose ^whp+rel+obj++=whose
coolness ^nns+nom+++=coolness
was ^vbd+bedz+aux++=was
denied ^vpsv++agls+xvbnx+=denied
to ^in++++=to
thirsty ^jj+atrb+++=thirsty
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
seas ^nns++++=seas
that ^tht+rel+subj++=that
divided ^xvbn+++xvbn+=divided
nations ^nns+nom+++=nations
and ^cc++++=and
swallowed ^xvbn+++xvbn+=swallowed
navies ^nns+++??+=navies,
, ^zz++++=EXTRAWORD
winds ^nns++++=winds
that ^tht+rel+subj++=that
carried ^xvbn+++xvbn+=carried
prayers ^nns+nom+++=prayers
and ^cc++++=and
pestilence ^nn+nom+++=pestilence
with ^in++++=with
equal ^jj+atrb+++=equal
indifference ^nn+nom+++=indifference!
! ^zz++++=EXTRAWORD
Earth ^nn++++=Earth,
, ^zz++++=EXTRAWORD
ancient ^jj+atrb+++=ancient
mother ^nn++++=mother
and ^cc++++=and
tireless ^jj+atrb+++=tireless
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
farewell ^nn++++=farewell!
! ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
alone ^rb++++=alone
thou ^pp2+pp2+++=thou
and ^cc++++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
art ^nn++++=art
dying ^vwbg+++xvbg+=dying;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
surety ^nn+++??+=surety,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
die ^vb++++=die
with ^in++++=with
thee ^pp2+pp2+++=thee.
. ^zz++++=EXTRAWORD
*he ^nn+++??+=*He
raises ^vbz++++=raises
himself ^ppl+pp3+++=himself
and ^cc++++=and
looks ^nns++++=looks
across ^in+pl+++=across
the ^ati++++=the
plain.* ^nn+++??+=plain.*
No ^at++++=No
smoke ^nn++++=smoke.
. ^zz++++=EXTRAWORD
No ^at++++=No
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
No ^at++++=No
footstep ^nn++++=footstep.
. ^zz++++=EXTRAWORD
No ^at++++=No
child ^nn++++=child
crying ^vwbg+++xvbg+=crying
in ^in++++=in
the ^ati++++=the
ruins ^nns++++=ruins.
. ^zz++++=EXTRAWORD
The ^ati++++=The
last ^rb++++=last
city ^nn++++=city
fell ^vbd+++xvbn+=fell
before ^in++++=before
the ^ati++++=the
last ^rb++++=last
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
forest ^nn++++=forest
perished ^vbd+++xvbn+=perished
before ^cs+sub+++=before
the ^ati++++=the
last ^rb++++=last
spring ^vb++++=spring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wolves ^nps++++=wolves
devoured ^vwbn+++xvbn+=devoured
the ^ati++++=the
sheep ^nn++++=sheep;
; ^zz++++=EXTRAWORD
hunger ^nn++++=hunger
devoured ^vwbn+++xvbn+=devoured
the ^ati++++=the
wolves ^nps++++=wolves;
; ^zz++++=EXTRAWORD
silence ^nn+nom+++=silence
devoured ^vbd+++xvbn+=devoured
hunger ^nn++++=hunger.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
O ^zz++++=O
blessed ^vbd+++xvbn+=blessed
consummation ^nn+nom+++=consummation!
! ^zz++++=EXTRAWORD
O ^zz++++=O
mercy ^nn++++=mercy
long ^jj++++=long
delayed ^jj+++xvbn+=delayed!
! ^zz++++=EXTRAWORD
There ^rn+pl+++=There
remains ^nns++++=remains
none ^pn++++=none
to ^in++++=to
command ^nn++++=command
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
none ^pn++++=none
to ^to++++=to
curse ^vbi++++=curse
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
none ^pn++++=none
to ^to++++=to
ask ^vbi++++=ask
my ^pp$+pp1+++=my
name ^nn++++=name
and ^cc++++=and
recoil ^vb++++=recoil
at ^rb++++=at
the ^ati++++=the
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sentence ^nn+nom+++=sentence
has ^vbz+hvz+aux++=has
lost ^vprf+++xvbnx+=lost
its ^pp$+it+++=its
judge ^nn++++=judge,
, ^zz++++=EXTRAWORD
the ^ati++++=the
road ^npl++++=road
its ^pp$+it+++=its
milestones ^nns+++??+=milestones,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
punishment ^nn+nom+++=punishment
its ^pp$+it+++=its
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
refused ^vbd+++xvbn+=refused
me ^pp1o+pp1+++=me
at ^in++++=at
Babylon ^np++++=Babylon,
, ^zz++++=EXTRAWORD
at ^in++++=at
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
at ^in++++=at
Antioch ^np+++??+=Antioch,
, ^zz++++=EXTRAWORD
at ^in++++=at
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
at ^in++++=at
Samarkand ^np+++??+=Samarkand
death ^nn++++=death,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
shut ^vb+++xvbn+=shut
his ^pp$+pp3+++=his
door ^nn++++=door
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
knocked ^vbd+++xvbnx+=knocked
with ^in++++=with
the ^ati++++=the
sword ^nn++++=sword,
, ^zz++++=EXTRAWORD
the ^ati++++=the
poison ^nn++++=poison,
, ^zz++++=EXTRAWORD
the ^ati++++=the
plague ^nn++++=plague,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sea ^nn++++=sea
must ^md+nec+++=must
receive ^vb++++=receive
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
own ^ap++++=own
house ^nn++++=house
is ^vbz+bez+aux++=is
falling ^nvbg+++xvbg+=falling.
. ^zz++++=EXTRAWORD
*a ^nn+++??+=*A
sound ^jj++++=sound
of ^in++++=of
iron ^nn++++=iron
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard
beneath ^in+pl+++=beneath
the ^ati++++=the
rock.* ^nn+++??+=rock.*
Who ^whp+rel+subj++=Who
stirs ^vbz++++=stirs
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
some ^dti++++=some
root ^nn++++=root
yet ^rb++++=yet
alive ^jj++++=alive?
? ^zz++++=EXTRAWORD
Some ^dti++++=Some
serpent ^nn++++=serpent
dragging ^vwbg+++xvbg+=dragging
its ^pp$+it+++=its
scales ^nns++++=scales
through ^in++++=through
the ^ati++++=the
dust ^nn++++=dust?
? ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Neither ^dt++neg++=Neither
root ^nn++++=root
nor ^cc++neg++=nor
serpent ^nn++++=serpent.
. ^zz++++=EXTRAWORD
**ahasverus.** ^nn+++??+=**AHASVERUS.**
A ^at++++=A
voice ^nn++++=voice!
! ^zz++++=EXTRAWORD
**prometheus.** ^nn+++??+=**PROMETHEUS.**
Hast ^np+++??+=Hast
