# ^zz++++=##
# ^zz++++=EXTRAWORD
What ^wdt+who+++=What
the ^ati++++=the
Wind ^nn++++=Wind
Remembered ^vwbn+vprv++xvbn+=Remembered
at ^rb++++=at
Borreby ^np+++??+=Borreby
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
heard ^vbd+vprv++xvbn+=heard
the ^ati++++=the
wind ^nn++++=wind
when ^wrb+who+++=when
it ^pp3+it+++=it
runs ^vbz++++=runs
round ^rb++++=round
an ^at++++=an
old ^jj+atrb+++=old
house ^npl++++=house
at ^rb++++=at
night ^nn++++=night?
? ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
heard ^vbd+vprv+tht0+xvbn+=heard
it ^pp3+it+++=it
put ^vbd+++xvbn+=put
its ^pp$+it+++=its
mouth ^nn++++=mouth
to ^in++++=to
the ^ati++++=the
keyhole ^nn++++=keyhole,
, ^zz++++=EXTRAWORD
groan ^vb++++=groan
in ^in++++=in
the ^ati++++=the
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shake ^vb++++=shake
the ^ati++++=the
loose ^jj+atrb+++=loose
window ^nn++++=window-frame
- ^zz++++=EXTRAWORD
frame ^nn++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
some ^dti++++=some
one ^cd1++++=one
stood ^vbd+++xvbn+=stood
without ^in++++=without
and ^cc++++=and
begged ^vbd+++xvbn+=begged
admittance ^nn+nom+++=admittance?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
stir ^vb++++=stir
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
draw ^vb++++=draw
your ^pp$+pp2+++=your
chair ^nn++++=chair
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wind ^nn++++=wind
knows ^vbz+vprv+++=knows
much ^rb++++=much.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+aux++=has
looked ^vprf+++xvbnx+=looked
beneath ^in+pl+++=beneath
crowns ^nns++++=crowns
and ^cc++++=and
cottage ^nn+nom+++=cottage-thatch;
- ^zz++++=EXTRAWORD
thatch ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
played ^vprf+++xvbnx+=played
with ^in++++=with
bridal ^jj+atrb+++=bridal
ribbons ^nns++++=ribbons
and ^cc++++=and
burial ^nn++++=burial
weeds ^nns++++=weeds;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
turned ^vprf+++xvbnx+=turned
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
books ^nns++++=books
that ^tht+rel+obj++=that
no ^at++++=no
living ^jj+atrb++xvbg+=living
hand ^nn++++=hand
opens ^vbz++++=opens
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
remembers ^nns+nom+++=remembers
what ^wdt+who+++=what
men ^nns++++=men
forget ^vb+vprv+++=forget.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
wind ^nn++++=wind!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ran ^vbd+++xvbnx+=ran
over ^rb+phrv+++=over
Borreby ^np+++??+=Borreby
Hall ^nn++++=Hall
when ^wrb+who+++=when
the ^ati++++=the
roofs ^nns++++=roofs
were ^vbd+bed+vrb++=were
new ^jj+pred+++=new
and ^cc++++=and
the ^ati++++=the
weathercocks ^nns+++??+=weathercocks
shone ^vbd+++xvbn+=shone
like ^in++++=like
flames ^nns++++=flames
against ^in++++=against
the ^ati++++=the
blue ^nn++++=blue.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
run ^vbd+++xvbnx+=run
there ^rn+pl+++=there
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
gilding ^nvbg+++xvbg+=gilding
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone
and ^cc++++=and
the ^ati++++=the
names ^nns++++=names
once ^rb+tm+++=once
spoken ^vwbn+++xvbn+=spoken
with ^in++++=with
reverence ^nn+nom+++=reverence
have ^vb+hv+aux++=have
dropped ^vprf+++xvbnx+=dropped
from ^in++++=from
memory ^nn++++=memory
like ^in++++=like
leaves ^nns++++=leaves
into ^in++++=into
a ^at++++=a
ditch ^nn++++=ditch.
. ^zz++++=EXTRAWORD
Whew ^np+++??+=Whew!
! ^zz++++=EXTRAWORD
whew ^nn+++??+=whew!
! ^zz++++=EXTRAWORD
fare ^vb++++=fare
away ^rp+pl+++=away!
! ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
old ^jj+atrb+++=old
days ^nns++++=days
Borreby ^np+++??+=Borreby
stood ^vbd+++xvbn+=stood
broad ^jj++++=broad
and ^cc+phrs+++=and
proud ^jj++++=proud
among ^in++++=among
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
gardens ^nns++++=gardens
and ^cc++++=and
deep ^jj+atrb+++=deep
woods ^nns++++=woods.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
red ^jj+pred+++=red,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
gables ^vbz+++??+=gables
stepped ^vprf+++xvbn+=stepped
high ^jj++++=high,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
windows ^nns++++=windows
caught ^vbd+++xvbn+=caught
the ^ati++++=the
morning ^nn++++=morning
sun ^nn++++=sun.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+aux++=were
carved ^vpsv++agls+xvbnx+=carved
chairs ^nns++++=chairs
from ^in++++=from
foreign ^jj+atrb+++=foreign
lands ^nns++++=lands,
, ^zz++++=EXTRAWORD
tapestries ^nns++++=tapestries
where ^wrb+who+++=where
kings ^npt++++=kings
hunted ^vbd+++xvbn+=hunted
stags ^nns+++??+=stags
that ^tht+rel+subj++=that
never ^rb++++=never
escaped ^vbd+++xvbn+=escaped,
, ^zz++++=EXTRAWORD
cups ^nns++++=cups
